Idiom (Madurese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Madurese)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Mon tak e patet, batu bisa tak onggu’",Conditional clause with verb phrase,"With persistence, even the hardest task can be done.",Nothing is impossible if you try hard enough.,B2,"Motivational, advice, daily speech","Proverbial, formal, moralistic",Derived from Madurese farming wisdom symbolizing patience and effort.,"/mon tak e patet, batu bisa tak oŋguʔ/","Ebu’ sering ngomong, ‘Mon tak e patet, batu bisa tak onggu’, ben saengko’ jhe’ gampang nyerah.",Guru ngajhi ngoca’ idiom itu pas ngajhar sabar.,Oreng tani biasana ngoca’ begitoh pas kerja berat e ladang.
Ka’ ajuna jhe’ ka’ apote,Negation with locative expression,Someone who doesn’t belong or acts out of place.,He/she doesn’t fit in here.,B1,"Social commentary, humor, family talk","Colloquial, humorous",Traditional expression referencing physical displacement to convey social mismatch.,/kaʔ ajuna ʤheʔ kaʔ apote/,"Areh, ajunan jhe’ cocok ben kelompok eah, ka’ ajuna jhe’ ka’ apote.","Guru ketawa pas anak salah duduk, ‘ka’ ajuna jhe’ ka’ apote!’","Mon oreng jhe’ ngerti aturan, sering e bilang begitoh."
Lemmah jhe’ ta’ etandur oreng jhe’ panen,Complex clause with causative verb,Someone benefits from others’ hard work.,He/she took credit for someone else’s effort.,C1,"Politics, workplace, sarcasm","Sarcastic, critical",Rooted in agrarian imagery reflecting fairness and labor ethics.,/lemah ʤheʔ taʔ etandur oreŋ ʤheʔ panen/,"Proyek e sukses, tapeh bosna se dapet pujian, lemah jhe’ ta’ etandur oreng jhe’ panen.","Ajunan kerja keras, tapeh se laen se e puji.",Ungkapan ini sering e pakeh pas oreng curhat soal keadilan.
Bhun jhe’ bantal,Nominal phrase with negation,Someone who can’t stay still or restless.,He/she can’t sit quietly.,A2,"Family talk, humor, daily life","Colloquial, playful",Traditional domestic metaphor comparing restlessness to uneven pillows.,/bhun ʤheʔ bantal/,"Ana’ itu bhun jhe’ bantal, sakedhik-sakedhik ngadeg.","Pas ngaji, se oreng tak bisa diam, e bilang bhun jhe’ bantal.",Istri e bilang suamena bhun jhe’ bantal pas libur.
Nyare’ bintang e siang hari,Gerund phrase with locative complement,Looking for something impossible or unrealistic.,That’s an impossible thing to do.,B2,"Advice, humor, philosophy","Poetic, ironic",Symbolic of futility in traditional Madurese sayings.,/ɲareʔ bintang e siang hari/,"Ajunan nyare’ kerja tanpa usaha, sama ben nyare’ bintang e siang hari.",Guru ngomong begituh pas siswa males belajar.,Idiomeh sering muncul e puisi Madura klasik.
Lemur e tengka,Nominal expression,A person who speaks bluntly or without thinking.,He/she speaks without considering others’ feelings.,B1,"Humor, social commentary, family setting","Colloquial, humorous",Refers to local food imagery; ‘lemur’ symbolizes rawness and lack of refinement.,/lemur e teŋka/,"Ajunan jhe’ bisa ngoca’ sembarangan, tak ka’ lemur e tengka.",Oreng se ceplas-ceplos sering e sebut lemur e tengka.,Guru ngingetna siswa ben tak ka’ lemur e tengka.
Atena se tolang,Nominal phrase with relative clause,Someone with a kind or pure heart.,He/she is kind-hearted.,A2,"Compliment, moral teaching, family setting","Warm, poetic",Rooted in Madurese moral expression symbolizing purity and compassion.,/atena se tolaŋ/,"Ebu’ se tolang ateh, atena se tolang.","Oreng e kampong bilang, ajunan jhe’ atena se tolang.",Idiomeh sering e gunakna pas pujian.
Nyapo’ obor e angin,Verb phrase with locative complement,Doing something doomed to fail or self-defeating.,You’re wasting your effort.,C1,"Criticism, advice, workplace, politics","Ironic, philosophical",Traditional saying based on daily experience of wind extinguishing torches.,/ɲapoʔ obor e aŋin/,"Ajunan marah ke oreng keras kepala, nyapo’ obor e angin.",Guru bilang begituh pas siswanna tak mau denger.,Idiomeh berarti usaha se percuma.
Kaco’ e laok,Noun phrase with locative element,Someone out of their depth or overwhelmed.,He/she is in a situation beyond their ability.,B2,"Workplace, humor, social commentary","Ironic, humorous",From coastal Madurese communities where frogs cannot survive in the sea.,/kaʧoʔ e laok/,"Oreng anyar e kantor tak ngerti aturan, ibarat kaco’ e laok.","Ajunan tak cocok e posisi itu, kaco’ e laok.",Idiomeh sering e pakeh pas ejekan halus.
Beli angin ben duit,Verbal phrase with conjunction,Wasting money on nothing or being scammed.,Spending money for nothing.,B1,"Finance, humor, sarcasm, advice","Colloquial, ironic",Refers to market fraud common in old Madurese trade.,/bəli aŋin ben duit/,"Ajunan beli barang online palsu, ibarat beli angin ben duit.",Oreng pasar ngomong begituh pas kena tipu.,Idiomeh sering e gunakna pas cerita lucu ekonomi.
