Idiom (Hebrew),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hebrew)",First Example Sentence,Second Example Sentence,Third Example Sentence
לתפוס טרמפ,פועל+שם עצם (לתפוס + טרמפ) — ביטוי פעלי,להפיק תועלת ממצב או מהזדמנות שנוצרה ע״י אחרים,להצטרף למשהו מבלי להתאמץ או ליזום,B1,"שיחה יומיומית, עבודה, חברה","מדובר, יומיומי","הביטוי הגיע מהתרבות המערבית בשנות ה-60, כשהתחבורה הציבורית הייתה פחות נגישה והיו נוסעים בטרמפים",lɛˈtfoːs ˈtʁɛmp (לתפוס טרמפ),הוא תמיד יודע לתפוס טרמפ על הרעיונות של אחרים.,לתפוס טרמפ על הצלחת הקבוצה זה לא תמיד מוסרי.,"במקום להשקיע, היא פשוט תפסה טרמפ על ההזדמנות."
שוברים את הכלים ולא משחקים,"משפט פועלי, בזמן הווה; קונסטרוקציה פיגורטיבית",להפסיק להשתתף בתהליך בגלל כעס או תסכול,לפרוש מהתהליך מתוך מחאה,B2,"פוליטיקה, שיחה משפחתית, עימותים","מדובר, סרקסטי",מבוסס על מטאפורה של משחק ילדים בו משתתף כועס מפסיק לשחק,ʃoˈvʁim et haˈkelim veˈlo mesaxˈkim (שוברים את הכלים ולא משחקים),"כשהם לא קיבלו את מבוקשם, הם פשוט שברו את הכלים ולא שיחקו.",זה לא פתרון לשבור את הכלים בכל פעם שלא מסכימים איתך.,המפלגה שוברת את הכלים ופורשת מהקואליציה.
חבל על הזמן,ביטוי שמני+מילית; קונסטרוקציה אירונית,"מדהים, מדהים מאוד (בדרך כלל לחיוב)",זה ממש טוב,A2,"שיחה יומיומית, נוער, פרסום","מדובר, סופרלטיבי, לעיתים אירוני","ביטוי שהתפתח מסרקזם – בתחילה משמעותו הייתה שלילית: חבל שמבזבזים את הזמן, אך כיום משתמשים בו באופן חיובי",ˈχaval al haˈzman (חבל על הזמן),המסעדה הזו – חבל על הזמן!,"הסרט היה חבל על הזמן, שווה לראות.",ההרצאה הייתה חבל על הזמן – למדתי המון.
יצא שכרו בהפסדו,"משפט פועלי, עבר; מבנה ניגודי",הרווח לא היה שווה את ההפסד,לא היה שווה את המאמץ,C1,"שיחה משפטית, עסקים, ניתוחים כלכליים","פורמלי, מושגי",מקורו בלשון התלמוד; משמש לעיתים בהקשרים מוסריים,jaˈtsa sxˈaʁo beˌhefsˈedo (יצא שכרו בהפסדו),"ההשקעה נראתה מבטיחה, אך יצא שכרו בהפסדו.","בסוף, יצא שכרה של העסקה בהפסדה.",אם תמשיך כך – יצא שכרך בהפסדך.
לאכול את הלב,ביטוי פעלי רפלקסיבי-מטפורי,"להתייסר מקנאה, חרטה או צער",להתחרט או לקנא עמוקות,B2,"חיים אישיים, אהבה, קנאה","מדובר, רגשי",ניב מושאל מספרות עברית קלאסית ותרגומים תנ״כיים; סמלי לסבל פנימי,leˈekhol et haˈlev (לאכול את הלב),הוא אכל את הלב כשהבין את הטעות.,היא אוכלת את הלב שוויתרה על ההזדמנות.,"די, אל תאכל את הלב – זה לא עוזר."
יצא מכליו,פועל + מ״ל; מבנה אידיומטי פעלי,"איבד שליטה, התפרץ בזעם או ברגש עז",התרגז מאוד,B2,"חיי משפחה, שיחה רגשית, דרמה","מדובר, רגשי",מופיע גם בספרות מקראית; מדמה אדם כ״יוצא מגופו״ מרוב רגש,jaˈtsa miˈkelav (יצא מכליו),הוא יצא מכליו כששמע את החדשות.,המורה יצא מכליו בגלל ההתנהגות בכיתה.,לא ראיתי אותו ככה—הוא פשוט יצא מכליו.
לעשות עניין,"פועל+שם עצם, בניין פיעל",להגזים או להפוך משהו לזניח לנושא חשוב,להגזים בחשיבות של משהו,A2,"שיחה יומיומית, ילדים, קונפליקטים","עממי, לעיתים גוער","נהוג בהקשרים משפחתיים ורגשיים, נפוץ בקרב הורים וילדים",laˈʕasot inˈjan (לעשות עניין),"אל תעשה מזה עניין, זה שטות.",היא תמיד עושה עניין מכל דבר קטן.,למה אתה עושה עניין? זה לא כזה נורא.
מים גנובים ימתקו,משפט פיגורטיבי מלא; שלילת מוסר/הצהרה אירונית,הדברים האסורים נראים מפתים יותר,מה שאסור – מושך יותר,C1,"אהבה, פילוסופיה, מוסר, שירה","פואטי, אירוני","מקראי, ספר משלי; שורשיו ברעיונות מוסר ותשוקה",ˈmajim ɡnuˈvim jimatˈku (מים גנובים ימתקו),"הוא ידע שזה אסור, אבל מים גנובים ימתקו.",הקשר הסודי ביניהם היה כמו מים גנובים ימתקו.,"זו קלישאה, אבל מים גנובים באמת ימתקו לפעמים."
מדבר סרה,פועל + מושא עקיף; מבנה סמי-פורמלי,לשון רעה או הכפשה על מישהו,"מלכלך, מדבר רע על אחר",C2,"ספרות, משפט, פוליטיקה","פורמלי, ביקורתי",מופיע רבות בטקסטים דתיים ומשפטיים; נושא הלשון הרעה,medaˈbeʁ ˈseʁa (מדבר סרה),אסור לדבר סרה על חברך.,"הוא מדבר סרה בפומבי, וזה לא ראוי.","לא תדבר סרה, כך כתוב גם בתורה."
כמו זבוב על הקיר,דימוי שמני – עם מילת יחס,"להיות נוכח באופן סמוי, לצפות מבלי להשתתף",להיות צופה פסיבי ואנונימי,B1,"תיאטרון, תקשורת, שיחות מרגלים, אנליזה","מטאפורי, נייטרלי","מושג בינלאומי, תורגם לעברית ומקבל פופולריות במדיה",kmo ˈzvuv al haˈkiʁ (כמו זבוב על הקיר),רק ישבתי שם כמו זבוב על הקיר והקשבתי.,העיתונאי היה כמו זבוב על הקיר בחדר הישיבות.,הייתי כמו זבוב על הקיר כשזה קרה.
