Idiom (Toki Pona),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Toki Pona)",First Example Sentence,Second Example Sentence,Third Example Sentence
pali e nena pi soweli walo,verb phrase with object (transitive),To make a situation unnecessarily complicated or extravagant,To overcomplicate something,B2,"humor, criticism, workplace","ironic, colloquial",Derived from community jokes referencing the mythical 'white animal' being complex and delicate,ˈpali e ˈnena pi ˈsoweli ˈwalo,ona li pali e nena pi soweli walo lon pali lili taso.,mi lukin e tomo sina — sina pali e nena pi soweli walo a!,"jan pi nasin pona li toki: o pali pona, o pali ala e nena pi soweli walo."
moku e kalama,verb phrase with object (transitive),To accept gossip or rumors without question,To believe rumors,B1,"daily speech, sarcasm, online chats","colloquial, sarcastic",Often used online; 'eating sound' represents absorbing spoken words uncritically,ˈmoku e ˈkalama,ona li moku e kalama tan jan ale.,o moku ala e kalama sina kepeken uta palisa!,jan utala li kama tan mi moku e kalama taso.
kule ala li pona tan suno,complex sentence with causal clause,"It's the essence, not the appearance, that matters",Don't judge based on looks,A2,"literature, advice, daily speech","poetic, thoughtful",Community idiom used in discussions on identity and value,ˈkule ˈala li ˈpona tan ˈsuno,mi toki tawa jan lili: kule ala li pona tan suno.,jan pona mi li sona e ni: kule ala li pona tan suno.,sina wile lukin insa: kule ala li pona tan suno.
kama sin kepeken len pi nena lili,complex phrase with prepositional phrase and modifier,To pretend to be poor to gain something,To feign poverty for advantage,C1,"politics, sarcasm, critique","sarcastic, ironic",Originates from political satire in Toki Pona discourse forums,ˈkama ˈsin kepeken ˈlen pi ˈnena ˈlili,ona li kama sin kepeken len pi nena lili tawa kulupu sona.,jan ante li lukin e pona la ona li kama sin kepeken len pi nena lili.,mi pilin ike tan jan li kama sin kepeken len pi nena lili.
linja li jo e wile,subject-verb-object clause with abstract noun,Physical appearance dominates desire or choice,Attraction is based on appearance,B2,"dating, criticism, social commentary","colloquial, ironic",Popularized in conversations about relationships,ˈlinja li ˈjo e ˈwile,ona li kama tawa ona tan ni: linja li jo e wile.,mi wile jan pona — taso linja li jo e wile lon ona.,sina sona e wile sina anu linja li jo e wile?
supa li moku e mi,personification of object in subject position,I’m overwhelmed by work or responsibilities,I’m buried in work,B1,"workplace, humor, venting","humorous, sarcastic",Originated from expressing modern burnout,ˈsupa li ˈmoku e ˈmi,"tenpo suno ni, supa li moku e mi a!",jan pali li pilin sama ni: supa li moku e mi.,mi ken ala tawa — supa li moku e mi!
toki lili la toki suli li lon,conditional clause,Silence speaks louder than words,Sometimes it's better to stay quiet,C2,"literature, advice, reflection","poetic, philosophical",Used in reflective teachings and poetry,ˈtoki ˈlili la ˈtoki ˈsuli li ˈlon,toki lili la toki suli li lon tan pilin.,jan sona li toki ala — toki lili la toki suli li lon.,o toki lili taso la toki suli li lon.
jan lawa li lape lon sinpin,figurative clause using verb 'lape',The leader is inattentive or negligent,The leader is neglecting their duties,B2,"politics, activism, critique","critical, ironic",Common during governance discussions,ˈjan ˈlawa li ˈlape lon ˈsinpin,jan lawa li lape lon sinpin kepeken open palisa pi sijelo mi.,toki pi kulupu utala: jan lawa li lape lon sinpin!,jan lili li sona e ike tan jan lawa li lape lon sinpin.
ijo wile ala li pana e sona,negative clause,Desire doesn't guarantee understanding,Wanting isn’t the same as knowing,C1,"teaching, discussion, self-reflection",philosophical,Rooted in teachings of humility in learning,ˈijo ˈwile ˈala li ˈpana e ˈsona,ijo wile ala li pana e sona lon tenpo sama.,jan wile sona taso ijo wile ala li pana e sona.,mi pilin ni: ijo wile ala li pana e sona kepeken tenpo.
nasin mi li wile e ni: mi pilin,complex sentence with embedded verb,I follow my heart,I act based on emotion,B1,"literature, inspiration, advice","literary, warm",Popular in stories and affirmations,ˈnasin mi li ˈwile e ˈni mi ˈpilin,nasin mi li wile e ni: mi pilin tawa ona.,mi toki tawa jan: nasin mi li wile e ni: mi pilin.,nasin mi li wile e ni: mi pilin kepeken pona.
