Idiom (Indonesian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Indonesian)",First Example Sentence,Second Example Sentence,Third Example Sentence
bagai kacang lupa kulitnya,Simile; fixed phrase,Seseorang yang melupakan asal-usul atau orang yang berjasa kepadanya setelah berhasil.,Melupakan asal-usul atau latar belakang,B2,"Budaya, keluarga","Colloquial, critical","Peribahasa Melayu, tradisi menghormati asal",/baɡai̯ ka.tʃaŋ lu.pa ku.lit.nja/,"Setelah sukses, ia bagai kacang lupa kulitnya.",Jangan menjadi bagai kacang lupa kulitnya saat sukses.,"Dia tidak mau mengaku kampung halamannya, bagai kacang lupa kulitnya."
seperti api dalam sekam,Metaphor; fixed expression,Masalah tersembunyi yang berpotensi besar namun tidak terlihat secara langsung.,Ancaman tersembunyi,C1,"Politik, hubungan sosial","Formal, serious",Gambaran pertanian tradisional di Asia Tenggara,/sə.pər.ti a.pi da.lam sə.kam/,"Permasalahan itu seperti api dalam sekam, suatu saat bisa membesar.",Kemarahan masyarakat seperti api dalam sekam.,Ketegangan antara dua negara itu seperti api dalam sekam.
air tenang menghanyutkan,Proverb; descriptive metaphor,Seseorang yang tampak tenang tetapi memiliki pengaruh atau kemampuan besar.,Seseorang pendiam yang berpengaruh,B1,"Pekerjaan, sosial","Colloquial, wise","Budaya Indonesia, sifat karakter manusia",/a.ir tə.naŋ məŋ.ha.njut.kan/,"Jangan tertipu, dia itu air tenang menghanyutkan.",Kekuatan timnya seperti air tenang menghanyutkan.,Sikap rendah hatinya menggambarkan air tenang menghanyutkan.
bagai pungguk merindukan bulan,Simile; metaphorical phrase,Seseorang yang mendambakan sesuatu yang sangat sulit atau mustahil untuk didapat.,Mengharapkan sesuatu yang tidak realistis,B2,"Percintaan, impian","Poetic, melancholic","Melayu klasik, sastra tradisional",/ba.ɡai̯ puŋ.ɡuk mə.rin.du.kan bu.lan/,Dia mencintainya bagai pungguk merindukan bulan.,Harapannya untuk bertemu idolanya bagai pungguk merindukan bulan.,Usahanya mendapatkan beasiswa itu bagai pungguk merindukan bulan.
besar pasak daripada tiang,Proverb; financial metaphor,Kondisi di mana pengeluaran lebih besar daripada pemasukan.,Kebiasaan boros,B1,Keuangan pribadi,"Formal, critical",Istilah ekonomi tradisional Indonesia,/bə.sar pa.sak da.ri.pa.da ti.aŋ/,Gajinya kecil tapi gaya hidupnya besar pasak daripada tiang.,"Tanpa perencanaan keuangan, besar pasak daripada tiang tidak terhindarkan.",Mereka hidup besar pasak daripada tiang setiap bulannya.
seperti katak dalam tempurung,Simile; metaphorical expression,Orang dengan pengetahuan atau wawasan yang sangat terbatas.,Berpikiran sempit,A2,"Pendidikan, sosial","Humorous, critical",Kearifan lokal Nusantara,/sə.pər.ti ka.tak da.lam təm.pu.ruŋ/,"Dia seperti katak dalam tempurung, tidak tahu dunia luar.","Tanpa belajar, kita seperti katak dalam tempurung.",Pemikiran konservatif itu seperti katak dalam tempurung.
bagai menegakkan benang basah,Simile; futile action,Melakukan usaha yang sia-sia karena mustahil berhasil.,Usaha sia-sia,C1,"Kritik, motivasi","Formal, ironic",Gambaran dari dunia pertanian tradisional,/ba.ɡai̯ mə.nə.ɡak.kan bə.naŋ ba.sah/,Membujuknya ibarat menegakkan benang basah.,Mengubah budaya lama itu seperti menegakkan benang basah.,Mencari keadilan di tempat itu seperti menegakkan benang basah.
ambil hati,Verb phrase; causative,Berusaha untuk mendapatkan simpati atau persetujuan seseorang.,Mencoba menyenangkan orang lain,B1,"Hubungan sosial, pekerjaan","Colloquial, friendly",Tradisi relasi sosial masyarakat Indonesia,/am.bil ha.ti/,Dia berusaha ambil hati calon mertuanya.,"Untuk diterima, kita harus ambil hati para pemimpin.",Guru itu selalu berusaha ambil hati murid-muridnya.
seperti kerbau dicucuk hidung,Simile; passive construction,Orang yang mudah dikendalikan tanpa berpikir panjang.,Mengikuti perintah tanpa berpikir,B2,"Politik, kritik sosial","Critical, colloquial",Budaya agraris Indonesia,/sə.pər.ti kər.bau di.tʃu.tʃuk hi.duŋ/,Mereka mengikuti pemimpin itu seperti kerbau dicucuk hidung.,"Tanpa berpikir panjang, ia bertindak seperti kerbau dicucuk hidung.","Anak itu nurut saja, seperti kerbau dicucuk hidung."
"berat sama dipikul, ringan sama dijinjing",Proverb; parallel structure,Semangat kerja sama dalam menghadapi kesulitan maupun kesenangan.,Kerjasama dalam suka dan duka,A2,"Keluarga, kerja tim","Formal, noble",Nilai gotong royong dalam budaya Indonesia,/bə.rat sa.ma di.pi.kul ri.ŋan sa.ma di.dʒin.dʒiŋ/,"Dalam keluarga kami, berat sama dipikul, ringan sama dijinjing.","Tim proyek itu menunjukkan berat sama dipikul, ringan sama dijinjing.","Dalam komunitas ini, prinsipnya berat sama dipikul, ringan sama dijinjing."
