Idiom (Plains Cree),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Plains Cree)",First Example Sentence,Second Example Sentence,Third Example Sentence
maskwa ka-pimipahtāt,Metaphorical animate clause with relative participle construction,Someone acting boldly or confidently without fear,to act very confidently,B2,"daily speech, storytelling, humor","colloquial, ironic",Refers to the strength and confidence associated with the bear (maskwa) in Plains Cree storytelling traditions,/ˈmaskwa ka pimipaːhtat/,ēkwa maskwa ka‑pimipahtāt ka‑isi‑pimātisit awiyak.,nīsta maskwa ka‑pimipahtāt ispīhk ē‑itōhtēyān.,kīya maskwa ka‑pimipahtāt ēkwa namōya kīkwāy kisēyihtam.
sīpiy ka‑pimipahtāy,Relative clause metaphor with motion verb,Someone who works continuously without stopping,to work nonstop,B1,"workplace, daily speech",colloquial,Draws on imagery of rivers flowing constantly across the prairie landscape,/ˈsiːpij ka pimipahtaːj/,awiya sīpiy ka‑pimipahtāy ispīhk ka‑atoskēyit.,nikosis sīpiy ka‑pimipahtāy ānōhci ē‑atoskēyit.,kīya sīpiy ka‑pimipahtāy ka‑isi‑miyo‑atoskēyan.
astotin ka‑mōsihkēy,Animate subject metaphor using participial verb phrase,Someone who avoids responsibility or slips away quietly,to avoid responsibility,B2,"family conversations, sarcasm",ironic,Derived from imagery of slipping like a mitten (astotin) from the hand in winter,/astotin ka moːsihkeːj/,awiya astotin ka‑mōsihkēy ispīhk ka‑atoskēyit.,ēkwa astotin ka‑mōsihkēy kīya ē‑itohtēyan.,namōya kīhtwām astotin ka‑mōsihkēy awiya.
pimipahtā ka‑miyo‑pimātisit,Descriptive clause with motion verb and evaluative modifier,Someone living life energetically and positively,to live actively and happily,B1,"encouragement, storytelling","positive, poetic",Reflects Plains Cree emphasis on active living and balanced life,/pimipahtaː ka mijo pimaːtisit/,nīsta pimipahtā ka‑miyo‑pimātisit ānōhci.,nikosis pimipahtā ka‑miyo‑pimātisit ispīhk ka‑kiskinwahamāt.,awiya pimipahtā ka‑miyo‑pimātisit otē.
kiskinwahamākēwin ka‑wāpamat,Nominalized verb phrase with perception verb,Someone who learns quickly by observing others,to learn by observation,B2,"education, mentorship",neutral,Reflects oral teaching traditions and observational learning in Cree communities,/kiskinwahamakeːwin ka waːpamat/,nikosis kiskinwahamākēwin ka‑wāpamat ispīhk ka‑kiskinwahamāt.,awiya kiskinwahamākēwin ka‑wāpamat otē.,kīya kiskinwahamākēwin ka‑wāpamat ānōhci.
miyo‑wīcihitowin ka‑isi‑pimātisit,Compound noun with descriptive clause,Living well through cooperation with others,to live cooperatively,B1,"community, family, cultural teachings","positive, communal",Central value in Plains Cree culture emphasizing mutual aid,/mijo wiːtʃihitowin ka isi pimaːtisit/,nēhiyawak miyo‑wīcihitowin ka‑isi‑pimātisicik.,kīya miyo‑wīcihitowin ka‑isi‑pimātisit ānōhci.,awiyak miyo‑wīcihitowin ka‑isi‑pimātisicik otē.
maskisin ka‑pikohtēy,Metaphorical clause using object noun and stative verb,Someone exhausted from long work or travel,to be extremely tired,B1,"daily speech, travel",colloquial,Imagery of worn-out moccasins after long journeys,/maskisin ka pikohteːj/,nīsta maskisin ka‑pikohtēy ānōhci.,awiya maskisin ka‑pikohtēy ispīhk ka‑pimipahtāt.,kīya maskisin ka‑pikohtēy ka‑isi‑atoskēyan.
sākihitowin ka‑miyo‑pimātisit,Abstract noun with descriptive clause,Living well through kindness and affection,to live kindly with others,A2,"family, relationships","warm, positive",Reflects traditional emphasis on kindness and relational harmony,/saːkihitowin ka mijo pimaːtisit/,nikosis sākihitowin ka‑miyo‑pimātisit.,nīsta sākihitowin ka‑miyo‑pimātisit ānōhci.,awiya sākihitowin ka‑miyo‑pimātisit otē.
namōya ka‑kiskisin,Negative clause functioning idiomatically,Someone pretending not to know something,to pretend ignorance,B1,"sarcasm, humor",ironic,Common conversational sarcasm in Cree discourse,/namoːja ka kiskisin/,awiya namōya ka‑kiskisin ēkwa kiskisin.,kīya namōya ka‑kiskisin ispīhk nit‑itwēn.,namōya ka‑kiskisin awiya otē.
pimātisiwin ka‑miyo‑ayāy,Abstract noun phrase with descriptive clause,A person enjoying a balanced and good life,to live well,A2,"daily speech, teaching","neutral, positive",Concept rooted in Cree philosophy of miyo‑pimātisiwin (the good life),/pimaːtisiwin ka mijo ajaːj/,nīsta pimātisiwin ka‑miyo‑ayāy ānōhci.,awiya pimātisiwin ka‑miyo‑ayāy ispīhk ka‑wīcihitot.,nēhiyaw pimātisiwin ka‑miyo‑ayāy.
