Idiom (Dothraki),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dothraki)",First Example Sentence,Second Example Sentence,Third Example Sentence
Shekh ma shieraki anni,Fixed noun phrase with possessive construct,"A term of endearment meaning 'my sun and stars', expressing deep affection or love.",My beloved / the one I love deeply,B2,"Romantic, family, literary, daily speech","Poetic, affectionate",Derived from Dothraki courtship traditions under the Khals’ moons; symbolizes constancy and warmth.,[ʃex ma ʃieˈraki anni],Anha ray shekh ma shieraki anni ajjin ma ray.,Yer vos dothrak mae shekh ma shieraki anni ven mae.,Mae ven mae vos hash mae shekh ma shieraki anni.
Vezhof ma khaleesi,Compound noun phrase with apposition,Used to honor someone as noble or powerful; ‘as radiant as a queen’.,A person of high grace or authority,C1,"Politics, workplace, leadership, admiration","Formal, respectful, poetic",Originates from early Dothraki reverence for female leaders; now used figuratively in speeches.,[vez̪of ma xaˈleːsi],Mae ray vezhof ma khaleesi ven okren.,Yer hash mae ven mae vezhof ma khaleesi ma vos mae.,Anha ray mae vezhof ma khaleesi ven mae anhaan.
Rhaeshisar vosechi mae,"Fixed verbal expression, negative polarity",‘The world does not move for him’; used to mean someone unimportant or powerless.,He has no influence / power,C1,"Politics, humor, sarcasm","Ironic, sarcastic",Used among Dothraki warriors to mock boastful riders who have lost prestige.,[r̪aeʃiˈsar voˈset͡ʃi mae],Anha vos ray mae ven rhaeshisar vosechi mae.,Mae hash mae ven rhaeshisar vosechi mae ven vezhvenari.,Yer ray mae ven mae vos rhaeshisar vosechi mae.
Vorsa ma ray,"Adverbial phrase, figurative extension",Means ‘in vain’ or ‘without result’.,For nothing / without success,B1,"Daily speech, work, frustration, resignation","Neutral, pragmatic","Common among nomads when efforts yield no gain, linked to failed hunts.",[ˈvors̪a ma rai],Anha dothrak mae ven mae vorsa ma ray.,Mae hash mae ven mae vorsa ma ray ajjin.,Yer ray mae ven mae vorsa ma ray ma vos mae.
Rhaesh ajjin mae ven vezhof,Fixed clause with metaphorical subject,Means ‘fortune smiles on him’.,He is lucky / fortune favors him,B2,"Daily speech, humor, gambling, storytelling","Colloquial, humorous",Draws on Dothraki belief that the world (rhaesh) has moods favoring warriors.,[r̪aeʃ ad͡ʒin mae ven vez̪of],Mae ray mae ven rhaesh ajjin mae ven vezhof.,Anha hash mae ven mae rhaesh ajjin mae ven vezhof.,Yer ray mae ven mae vos rhaesh ajjin mae ven vezhof.
Athdrivar mae ven shekh,"Verbal phrase, infinitive construction",To hide one’s true intentions.,To deceive / to conceal motives,C2,"Politics, strategy, betrayal, social dynamics","Formal, literary",Refers to warriors concealing emotion before a raid; now used metaphorically for deception.,[aθd̪riˈvar mae ven ʃex],Mae hash mae ven athdrivar mae ven shekh.,Yer vos ray mae ven mae athdrivar mae ven shekh ajjin.,Anha ray mae ven mae athdrivar mae ven shekh ma ray.
Qora mae vekha,Verbal idiom with object complement,Means ‘he is in trouble’ or ‘in deep danger’.,He’s in danger / trouble,A2,"Daily speech, warning, humor","Colloquial, dramatic",Linked to a rider falling from his horse (qora) — a symbol of peril.,[ˈqora mae ˈvekʰa],Mae hash mae ven qora mae vekha ajjin.,Yer ray mae ven mae qora mae vekha ma vos mae.,Anha ray mae ven mae qora mae vekha ven mae.
Vezh ofrak mae,Nominal idiom with genitive structure,Means ‘he boasts too much’ or ‘is full of himself’.,He’s arrogant / overconfident,B2,"Social, humor, insult, rivalry","Informal, sarcastic","Based on imagery of a stallion’s swollen chest, associated with pride.",[vez̪ ofr̪ak mae],Mae hash mae ven vezh ofrak mae ma vos mae.,Yer ray mae ven mae vezh ofrak mae ajjin.,Anha vos ray mae ven mae vezh ofrak mae ven mae.
Okren mae ven mae,"Verbal idiom, reflexive-like structure",Means ‘he meets his fate’ or ‘receives justice’.,He faces consequences / justice is done,C1,"Justice, fate, storytelling, moral lessons","Literary, formal",Used in Dothraki epics describing warriors punished by destiny.,[okˈr̪en mae ven mae],Mae hash mae ven okren mae ven mae ajjin.,Yer ray mae ven mae okren mae ven mae ma ray.,Anha ray mae ven mae okren mae ven mae ven shekh.
Vezhvenari ray mae vosi,"Fixed clause, emphatic negation",Means ‘the leader is nothing’; used when mocking fallen authority.,He has lost power / no longer important,C2,"Politics, humor, rebellion","Ironic, vulgar, sarcastic",Emerges from Dothraki war camps after failed raids; mocks dethroned khals.,[vez̪venari rai mae ˈvosi],Mae hash mae ven vezhvenari ray mae vosi ajjin.,Yer ray mae ven mae vezhvenari ray mae vosi ma vos mae.,Anha vos ray mae ven mae vezhvenari ray mae vosi ven mae.
