Idiom (Aguna),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Aguna)",First Example Sentence,Second Example Sentence,Third Example Sentence
Àgblá tá nɔ́ àdɛ́ nɛ́ àkɔ́.,Fixed clause with subject and locative complement.,To boast without real ability or value.,To speak proudly without reason.,B2,"Daily speech, humor, workplace banter.","Colloquial, ironic.",Originates from fishermen comparing nets (‘àgblá’) full of air but no fish.,/àɡblá tá nɔ́ àdɛ́ nɛ́ àkɔ́/,Ŋú tá nɛ́ àgblá tá nɔ́ àdɛ́ nɛ́ àkɔ́ kɛ́ àlɔ́.,"Mɛ́ tá àgblá tá nɔ́ àdɛ́ nɛ́ àkɔ́, kɔ́ àɖɔ́ ɖó.",Wà tá àgblá tá nɔ́ àdɛ́ nɛ́ àkɔ́ nɛ́ agbɛ́.
Kɔ́nyá tá nɛ́ àzɛ́ ɖó agbɛ́.,Subordinate clause with focus marker.,Someone who takes unnecessary risks.,To act recklessly.,B1,"Daily speech, cautionary advice.","Colloquial, proverbial.",From ancient Aguna tales about hunters crossing rivers without canoes.,/kɔ́ɲá tá nɛ́ àzɛ́ ɖó àɡbɛ́/,Mɛ́ tá nɛ́ kɔ́nyá tá nɛ́ àzɛ́ ɖó agbɛ́.,Wà tá ɖɔ́ nɛ́ kɔ́nyá tá nɛ́ àzɛ́ ɖó agbɛ́.,Ŋú tá kɔ́nyá tá nɛ́ àzɛ́ ɖó agbɛ́ àtá.
Àzɛ́ ɖó nɛ́ kɔ́nyá ɖé.,Simple declarative clause.,Good deeds are remembered longer than words.,Actions speak louder than words.,A2,"Daily life, family, moral instruction.","Proverbial, reflective.",Common Aguna proverb used in family settings.,/àzɛ́ ɖó nɛ́ kɔ́ɲá ɖé/,Ŋú tá àzɛ́ ɖó nɛ́ kɔ́nyá ɖé.,Wà tá àzɛ́ ɖó nɛ́ kɔ́nyá ɖé àtá.,Mɛ́ tá àzɛ́ ɖó nɛ́ kɔ́nyá ɖé nɛ́ àzɛ́.
Ŋú tá ɖɔ́ àɖɔ́ nɛ́ àgbɛ́.,Complex reflexive structure.,To pretend to be innocent after wrongdoing.,To feign ignorance.,C1,"Politics, workplace disputes.","Formal, ironic.",Derived from court stories in colonial Aguna administration.,/ŋú tá ɖɔ́ àɖɔ́ nɛ́ àɡbɛ́/,Mɛ́ tá ɖɔ́ àɖɔ́ nɛ́ àgbɛ́ nɛ́ agbɛ́.,Ŋú tá ɖɔ́ àɖɔ́ nɛ́ àgbɛ́ àtá.,Wà tá ɖɔ́ àɖɔ́ nɛ́ àgbɛ́ ɖé.
Àlɔ́ tá nɛ́ àɖɔ́ ɖó ɖé.,"Subjunctive mood, passive voice.",When something inevitable must happen.,"What must be, must be.",B2,"Philosophical discourse, literature.","Poetic, reflective.",Rooted in Aguna cosmology about fate (‘àlɔ́’).,/àlɔ́ tá nɛ́ àɖɔ́ ɖó ɖé/,Mɛ́ tá nɛ́ àlɔ́ tá nɛ́ àɖɔ́ ɖó ɖé.,Ŋú tá àlɔ́ tá nɛ́ àɖɔ́ ɖó àtá.,Wà tá àlɔ́ tá nɛ́ àɖɔ́ ɖó agbɛ́.
Àɖɔ́ tá nɛ́ àzɛ́ ɖé nɛ́ agbɛ́.,Fixed clause with embedded nominal phrase.,To act with overconfidence and fail.,Pride comes before a fall.,B1,"Moral teaching, children, literature.","Proverbial, moralistic.",Linked to village moral songs sung during festivals.,/àɖɔ́ tá nɛ́ àzɛ́ ɖé nɛ́ àɡbɛ́/,Mɛ́ tá nɛ́ àɖɔ́ tá nɛ́ àzɛ́ ɖé nɛ́ agbɛ́.,Ŋú tá àɖɔ́ tá nɛ́ àzɛ́ ɖé nɛ́ agbɛ́.,Wà tá àɖɔ́ tá nɛ́ àzɛ́ ɖé nɛ́ agbɛ́ àtá.
Kɔ́nyá ɖó nɛ́ àzɛ́ àlɔ́.,Simple clause with temporal complement.,To delay unnecessarily or waste time.,To procrastinate.,A2,"Daily life, education, workplace.","Colloquial, humorous.",From stories about slow farmers during harvest season.,/kɔ́ɲá ɖó nɛ́ àzɛ́ àlɔ́/,Mɛ́ tá kɔ́nyá ɖó nɛ́ àzɛ́ àlɔ́.,Ŋú tá kɔ́nyá ɖó nɛ́ àzɛ́ àlɔ́ àtá.,Wà tá kɔ́nyá ɖó nɛ́ àzɛ́ àlɔ́ nɛ́ agbɛ́.
Mɛ́ tá ɖɔ́ àɖɔ́ nɛ́ àtá.,Complex reflexive clause with aspectual marker.,To make the same mistake twice.,To repeat one’s error.,B2,"Education, self-reflection, advice.","Reflective, advisory.",Common Aguna wisdom shared in communal gatherings.,/mɛ́ tá ɖɔ́ àɖɔ́ nɛ́ àtá/,Mɛ́ tá nɛ́ ɖɔ́ àɖɔ́ nɛ́ àtá.,Ŋú tá ɖɔ́ àɖɔ́ nɛ́ àtá nɛ́ àzɛ́.,Wà tá nɛ́ ɖɔ́ àɖɔ́ nɛ́ àtá àlɔ́.
Àzɛ́ tá nɛ́ kɔ́nyá ɖó àɖɔ́.,Subordinate clause with aspectual focus.,To achieve success after persistence.,Perseverance leads to success.,B1,"Education, business, motivation.","Formal, inspirational.",Originates from traditional Aguna proverbs of endurance.,/àzɛ́ tá nɛ́ kɔ́ɲá ɖó àɖɔ́/,Mɛ́ tá àzɛ́ tá nɛ́ kɔ́nyá ɖó àɖɔ́.,Ŋú tá àzɛ́ tá nɛ́ kɔ́nyá ɖó àɖɔ́ àtá.,Wà tá àzɛ́ tá nɛ́ kɔ́nyá ɖó àɖɔ́ nɛ́ agbɛ́.
Wà tá àzɛ́ ɖó nɛ́ àlɔ́.,Declarative clause with existential subject.,To survive difficulties with calmness.,To remain strong under hardship.,C1,"Politics, family, resilience themes.","Poetic, serious.",Derived from Aguna wartime oral poetry (‘àlɔ́’ as endurance).,/wà tá àzɛ́ ɖó nɛ́ àlɔ́/,Mɛ́ tá nɛ́ wà tá àzɛ́ ɖó nɛ́ àlɔ́.,Ŋú tá wà tá àzɛ́ ɖó nɛ́ àlɔ́ àtá.,Wà tá àzɛ́ ɖó nɛ́ àlɔ́ nɛ́ agbɛ́.
