Idiom,Syntactic Structure,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin,Phonetic Transcription,First Example Sentence,Second Example Sentence,Third Example Sentence
sDm sw r Drw,Fixed clause with third-person singular subject,To turn a deaf ear; ignore intentionally,To ignore what someone says,B1,"Daily speech, family, workplace","Colloquial, slightly dismissive",Common in Middle Kingdom court settings,/ʃeːdem suː ɾaː dɾuː/,sDm sw r Drw rdi.n=i mdw,sDm sw r Drw iw=f m Xr jb=f,sDm sw r Drw m xt n isw
Hrj jb jw m jst,Descriptive clause with noun phrase,Someone who hides their true feelings,Secretive or emotionally guarded person,B2,"Daily speech, literature, sarcasm","Colloquial, ironic",New Kingdom scribal commentaries,/ħaɾi jab jaw em jest/,Hrj jb jw m jst iw=s mAa,jr.tw Hrj jb jw m jst r DAt,ink Hrj jb jw m jst
sbA n kA iw m DAt,Metaphorical clause with passive aspect,Guidance comes only after hardship,You learn from difficult experiences,C1,"Literature, wisdom texts, education","Literary, poetic",Instruction texts of the Old Kingdom,/seːba na ka iːw em daːt/,sbA n kA iw m DAt m sS,sbA n kA iw m DAt m itn,sbA n kA iw m DAt m sXt
jmA mAa m DAt,Passive construction with noun object,Truth will be revealed,The truth will come out,B2,"Politics, law, moral tales","Formal, literary",Court records and legal pronouncements,/jema maːʔa em daːt/,jmA mAa m DAt r nTr,jmA mAa m DAt iw ir.tw,jmA mAa m DAt Hna sS
iaw m Xr nTr,Fixed metaphorical clause,Blessed by the gods,Very fortunate or lucky,A2,"Blessings, religion, everyday gratitude","Colloquial, respectful",Temple inscriptions,/jaw em ʃeːr netʃeːɾ/,iaw m Xr nTr n pr,iaw m Xr nTr iw=j snb,iaw m Xr nTr m xt n it
xai=f Hr tA,Verb phrase with pronominal suffix,To act superior or arrogant,Behave boastfully,B1,"Sarcasm, workplace, gossip","Ironic, informal",Common gossip in domestic texts,/xaiʔef ħeɾ taʔ/,xai=f Hr tA iw=k mrr sw?,xai=f Hr tA m rn=f,xai=f Hr tA iw=f mAa
di=f Hr ib,Verb-object idiom,To be emotionally moved or influenced,Touched emotionally,B1,"Romance, emotional speech","Poetic, tender",Love poems of the New Kingdom,/diːf ħeɾ ib/,di=f Hr ib iw=j rdi.t Hmw,di=f Hr ib m sDm.n=f mdw,di=f Hr ib iw=k xai n sw
m r=k xt nfr,Negative imperative,Don’t get your hopes up,Be cautious with optimism,A2,"Daily life, family, caution","Informal, cautionary",Proverbial speech in family settings,/em ɾak xat nefeɾ/,m r=k xt nfr iw=i m sxt,m r=k xt nfr n itn,m r=k xt nfr sDm mdw
jw=f m tA stX,Clause with locative verb phrase,In a bad place or situation,He’s in trouble,A2,"Warning, family, youth",Informal,Village expressions near Thebes,/juːf em taː setex/,jw=f m tA stX rdi.n=f xt,jw=f m tA stX iw=f Htp,jw=f m tA stX iw=s in sw
m xft=f nfr,Clause with possessive pronoun,To admire your enemy,Respecting your rival,C2,"Politics, philosophy, literature","Formal, reflective",Military and diplomatic texts,/em ʃeftef nefeɾ/,m xft=f nfr iw=f mAa,m xft=f nfr Hr DAt,m xft=f nfr rdi.n sw m sXt
