Idiom (Chhattisgarhi),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
नदी मं रहिके मगर संग बैर नइ कराय।,निषेधात्मक वाक्य; क्रियात्मक वाक्यांश 'बैर नइ कराय' के साथ लोकोक्ति संरचना।,"जिस पर निर्भर हों, उससे दुश्मनी नहीं करनी चाहिए।",अपने प्रभावशाली या प्रभुत्वशाली व्यक्ति से विवाद नहीं करना चाहिए।,B1,"दैनिक बातचीत, राजनीति, कार्यस्थल चेतावनी","लोकप्रचलित, चेतावनीपूर्ण",ग्रामीण जीवन और नदी-आधारित संस्कृति से उत्पन्न रूपक।,/nəd̪i mə̃ rəhike məgər səŋ bɛːr nəi kəraːj/,"तें मालिक संग झगरा करत हस, याद रख नदी मं रहिके मगर संग बैर नइ कराय।","गांव मं प्रधान ले उलझना ठीक नइ, नदी मं रहिके मगर संग बैर नइ कराय।","नवा कर्मचारी ला समझा दिस, नदी मं रहिके मगर संग बैर नइ कराय।"
खाली घड़ा जादा बजथे।,सरल कथन वाक्य; रूपकात्मक संज्ञा + क्रिया संरचना।,जो कम जानता है वही अधिक शोर मचाता है।,अल्पज्ञान व्यक्ति अधिक दिखावा करता है।,B2,"हास्य, व्यंग्य, सामाजिक टिप्पणी","व्यंग्यात्मक, लोकभाषीय",मिट्टी के घड़ों के ग्रामीण अनुभव से उपजा रूपक।,/kʰaːli ɡʱəɽa d͡ʒaːda bəd͡ʒətʰe/,"ओहा दिन भर डींग मारथे, खाली घड़ा जादा बजथे।","जेन ला कुछू पता नइ, वोच जादा बोले, खाली घड़ा जादा बजथे।",सभा मं ओकर व्यवहार देखके लगिस खाली घड़ा जादा बजथे।
जिहां चाह उहां राह।,समांतर संरचना; स्थानवाचक अव्यय पुनरावृत्ति।,इच्छा हो तो रास्ता मिल ही जाता है।,दृढ़ निश्चय से लक्ष्य प्राप्त किया जा सकता है।,A2,"प्रेरणा, शिक्षा, परिवार","प्रेरणादायक, सरल",लोककथाओं और नैतिक शिक्षाओं में प्रचलित।,/d͡ʒɪɦã t͡ʃaːh uɦã raːh/,"गरीबी के बाद घलो वो पढ़िस, जिहां चाह उहां राह।","तें मेहनत करबे त सफल होबे, जिहां चाह उहां राह।",गुरुजी हमेशा कहिथें जिहां चाह उहां राह।
आग मं घी डारना।,क्रियात्मक मुहावरा; कर्म + स्थानवाचक + क्रिया।,स्थिति को और भड़काना।,तनाव या विवाद को बढ़ाना।,B2,"राजनीति, पारिवारिक विवाद, समाचार चर्चा","रूपकात्मक, चेतावनीपूर्ण",वैदिक अग्नि अनुष्ठानों की प्रतीकात्मक पृष्ठभूमि।,/aːɡ mə̃ ɡʱi ɖaːrnaː/,झगरा मं बीच मं बोलके आग मं घी मत डार।,मीडिया के बयान आग मं घी डार देइस।,तोर कटाक्ष आग मं घी डारना जइसन रहिस।
एक हाथ ले ताली नइ बजय।,निषेधात्मक कथन; संख्या + संज्ञा + क्रिया।,विवाद या संबंध में दोनों पक्ष जिम्मेदार होते हैं।,किसी विवाद में दोनों की भूमिका होती है।,B1,"परिवार, मध्यस्थता, सामाजिक सलाह","समझाइशपूर्ण, लोकप्रचलित",सामाजिक सहअस्तित्व के अनुभव से निकला रूपक।,/ek ɦaːt̪ le t̪aːli nəi bəd͡ʒəj/,"लड़ई मं सिरिफ ओकर गलती नइ, एक हाथ ले ताली नइ बजय।","दोनों संगवारी दोषी रहिन, एक हाथ ले ताली नइ बजय।",मां समझाइस एक हाथ ले ताली नइ बजय।
जेन बोहिथे तेन पावथे।,शर्तीय संरचना; संबंधबोधक सर्वनाम पुनरावृत्ति।,"जैसा कर्म, वैसा फल।",कर्म के अनुसार परिणाम मिलता है।,B1,"नैतिक शिक्षा, साहित्य, ग्रामीण कथन","नैतिक, पारंपरिक",कृषि प्रधान समाज की कर्मफल अवधारणा।,/d͡ʒen boːɦitʰe t̪en paːvətʰe/,"तें मेहनत करबे त सफल होबे, जेन बोहिथे तेन पावथे।","ओहा दूसर ला धोखा दिस, जेन बोहिथे तेन पावथे।",दाई हमेशा कहिथे जेन बोहिथे तेन पावथे।
अंधरा ला रंग के का पता।,प्रश्नात्मक अलंकार; संज्ञा + कर्म कारक + प्रश्न।,"जिसे अनुभव नहीं, वह मूल्य नहीं समझ सकता।",अनुभवहीन व्यक्ति किसी चीज़ का महत्व नहीं जानता।,C1,"दार्शनिक चर्चा, व्यंग्य","काव्यात्मक, रूपकात्मक",लोकगीतों और कथाओं में प्रयुक्त।,/ənd̪ʱra la rəŋ ke ka pət̪a/,"संगीत के कदर ओ का जानय, अंधरा ला रंग के का पता।","जेन किताब नइ पढ़िस, ज्ञान के महत्व का समझही, अंधरा ला रंग के का पता।",ओकर टिप्पणी सुनके लगिस अंधरा ला रंग के का पता।
धीरज धरहू त फल मीठा मिलही।,शर्तीय प्रेरक वाक्य; क्रिया 'धरहू' के साथ भविष्यसूचक परिणाम।,धैर्य रखने से अच्छा परिणाम मिलता है।,धैर्य सफलता की कुंजी है।,A2,"परिवार, शिक्षा, प्रेरक भाषण","प्रेरणादायक, स्नेहपूर्ण",कृषि और प्रतीक्षा आधारित जीवन शैली से।,/d̪ʱiːrəd͡ʒ d̪ʱərəɦu t̪ə pʰəl miːʈʰa mɪlɦi/,"परीक्षा बर चिंता मत कर, धीरज धरहू त फल मीठा मिलही।","खेती मं समय लागथे, धीरज धरहू त फल मीठा मिलही।",गुरुजी समझाइन धीरज धरहू त फल मीठा मिलही।
समय ले पहिली अऊ भाग ले जादा कभू नइ मिलय।,निषेधात्मक लोकोक्ति; द्वंद्व संरचना 'समय ले पहिली' + 'भाग ले जादा'।,भाग्य और समय से पहले कुछ नहीं मिलता।,हर चीज़ का एक निर्धारित समय होता है।,C2,"दार्शनिक वार्ता, बुजुर्गों की सलाह","गंभीर, पारंपरिक",भाग्यवाद और लोकविश्वास से प्रेरित।,/səməj le pəɦili o bʱaːɡ le d͡ʒaːda kəbʱu nəi mɪləj/,"नौकरी बर जल्दबाजी मत कर, समय ले पहिली अऊ भाग ले जादा कभू नइ मिलय।","ओहा कहिस चिंता छोड़, समय ले पहिली अऊ भाग ले जादा कभू नइ मिलय।",ददा के उपदेश रहिस समय ले पहिली अऊ भाग ले जादा कभू नइ मिलय।
नाक कट जाही।,भविष्यसूचक चेतावनी; शारीरिक अंग रूपक + क्रिया।,इज्जत चली जाएगी।,प्रतिष्ठा को हानि पहुँचेगी।,B2,"परिवार, सामाजिक सम्मान, विवाह प्रसंग","चेतावनीपूर्ण, भावनात्मक",भारतीय उपमहाद्वीप में सम्मान को 'नाक' से जोड़ने की परंपरा।,/naːk kəʈ d͡ʒaːɦi/,ए काम गलत करबे त परिवार के नाक कट जाही।,गांव मं बदनामी होही त नाक कट जाही।,दाई डरावत रहिस कि नाक कट जाही।
