Idiom (Sindarin),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sindarin)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ú-chebin estel anim,Negative clause; reflexive structure,I have lost hope; used to express despair or resignation.,Im ú-aníron estel lín.,B2,"Daily speech, personal reflection, literature","Colloquial, melancholic",Used in the First Age by exiled Noldor expressing despair.,[uːˈxɛbɪn ˈɛstɛl ˈanim],"Ú-chebin estel anim, an i dû aníra ú-gwannad.","Aníron, mal ú-chebin estel anim ned i ardhon lín.","Boe naid, dan ú-chebin estel anim a síla lín ú-dúath."
Lacho calad! Drego morn!,Imperative dual command,To call for courage; face darkness with hope.,Echuio lín; estel síla an le.,B1,"Battle cry, encouragement, motivation","Heroic, poetic",Famous Sindarin battle cry from Beleriand wars.,[ˈlaxo ˈkalad ˈdrɛɡo ˈmorn],Lacho calad! Drego morn! i nguruthos ú-aníra.,Pedich lín boe lastad: Lacho calad! Drego morn!,"Avo dhrego i dae, mellon nín – Lacho calad!"
Ú-garo gûr,Negative clause; simple verb phrase,To lack courage or moral strength.,Ú-garo nauthad na narn.,B2,"Daily life, workplace, sarcasm","Colloquial, ironic",Common insult among Sindar soldiers in the First Age.,[uːˈɡaro ˈɡuːr],"Ú-garo gûr, sui i edain i gollad lín.","Pedin lín, dan ú-garo gûr ned i anglened lín.","Ú-garo gûr, a síla lín thand ú-chebin."
Pedich edhellen?,Interrogative clause,Do you understand what I mean? (used sarcastically),Istach man pedin?,A2,"Sarcasm, teaching, casual conversation","Colloquial, ironic",Used in tutor-apprentice exchanges across Lindon and Doriath.,[ˈpɛdɪx ɛˈðɛllɛn],Pedich edhellen? – when someone misses an obvious point.,"Le ista, mal pedich edhellen aníron lín.","Ú-naid, pedich edhellen sui i narn lín?"
"Ae ú-aníron, ú-mavon",Conditional negative clause,"If I don’t wish it, it won’t happen; asserting control or defiance.",Ú-mavon aníron lín.,C1,"Philosophical, political, self-determination","Formal, reflective",Attributed to Elu Thingol as a statement of sovereignty.,[aɛ uːˈaniron uːˈmavon],"Ae ú-aníron, ú-mavon, sui i aran i estel.","Pedin lín, ae ú-aníron, ú-mavon – na vedui.","Ae ú-aníron, ú-mavon – sui i dû lín."
Ú-drego ned i dhû,Imperative negative clause,Don’t fear the unknown; face darkness bravely.,Ú-bedo na i dû.,B1,"Motivational, poetic, military","Poetic, solemn",Found in old Elven poetry encouraging bravery.,[uːˈdrɛɡo nɛð i ðʊː],"Ú-drego ned i dhû, a tîro i galad.","Avo naid lín, ú-drego ned i dhû, mellon.","Ú-drego ned i dhû, an i galad síla an le."
Guren bêd enni,Possessive + dative structure,My heart tells me; used for intuition or inner feeling.,Im istathon sui nauthad lín.,B2,"Love, family, poetry","Emotional, literary",Common Sindarin idiom in songs of Lórien and Doriath.,[ˈɡurɛn ˈbɛːd ˈɛnni],"Guren bêd enni, le ú-mavon dreged.",Guren bêd enni i ven thand lín.,"Guren bêd enni, dan i dû ú-chebin."
Sui i dhû o i ardhon,Comparative clause with genitive,Like the shadow of the world; used to mean something inevitable.,Aníron peded an naid ú-gwannad.,C1,"Literature, prophecy, formal speech","Poetic, solemn",Literary imagery in Sindarin prophecies of the Elder Days.,[suːi i ðuː o i ˈarðon],Narn lín danna sui i dhû o i ardhon.,"Aníron, dan sui i dhû o i ardhon, le aphadar.","Sui i dhû o i ardhon, i ven natha ú-thand."
Ú-chebin naid bain,Negative possessive clause,I hold no riches; used to express humility or simplicity.,Im ú-garo aníron.,A2,"Moral teaching, self-reflection, poetry","Humble, moralistic",Old Sindarin moral proverb emphasizing simplicity.,[uːˈxɛbɪn naɪd ˈbaɪn],"Ú-chebin naid bain, dan gerin guren lín.","Im ú-chebin naid bain, an le aníron.","Ú-chebin naid bain, mal estel lín bain."
"Na vedui, mellon nín",Fixed phrase; interjection,"At last, my friend; expression of relief or conclusion.","Methed lín, mellon nín.",A1,"Daily speech, reunions, friendship","Warm, familiar","Famous from Rivendell greetings, often marking the end of hardship.",[na vɛˈdui ˈmɛllon niːn],"Na vedui, mellon nín! Avo dhrego i dû lín.","Na vedui, mellon nín, i ven thand athan i dû.","A na vedui, mellon nín – estel síla an le."
