Idiom (Gilaki),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gilaki)",First Example Sentence,Second Example Sentence,Third Example Sentence
دلش مثل دریا بیه,تشبیهی اسمی؛ ساختار مبتدا + قید تشبیه + اسم + فعل ربطی,فردی بسیار بخشنده، صبور و بزرگ‌منش است.,او انسان بسیار مهربان و بخشنده‌ای است.,B1,گفتار روزمره، خانواده، توصیف شخصیت,تحسین‌آمیز، عاطفی,الهام‌گرفته از نزدیکی جغرافیایی گیلان به دریای خزر و مفهوم وسعت در فرهنگ محلی,deləʃ mesl-e dæɾjɒː bie,همه می‌دانن که عمو حسن دلش مثل دریا بیه و همیشه کمک بکنه.,اگه اشتباه بکنیم، ناراحت نبه چون دلش مثل دریا بیه.,مادر بزرگم دلش مثل دریا بیه و هیچ‌وقت کسی ره رد نکنه.
با یک دست دو تا هندوانه نتونی بگیری,جمله فعلی منفی؛ ساختار امری/اخباری با فعل توانستن,نمی‌توان همزمان چند کار مهم را با کیفیت انجام داد.,تمرکز خود را روی یک کار بگذار.,B2,کار، نصیحت، آموزش,پندآمیز، عامیانه,بازارهای سنتی شمال ایران و فروش هندوانه در تابستان,bɒ jek dæst do tɒ henduvɒne netoni begiri,تو با یک دست دو تا هندوانه نتونی بگیری، اول این پروژه ره تموم بکن.,دانشجوها فکر کنن می‌تونن همه درس‌ها ره همزمان بخونن، ولی با یک دست دو تا هندوانه نتونی بگیری.,زندگی یاد بده که با یک دست دو تا هندوانه نتونی بگیری.
صبر تلخ بیه ولی میوه‌اش شیرین بیه,جمله مرکب اسنادی با تقابل معنایی,تحمل سختی‌ها در نهایت نتیجه خوبی دارد.,اگر شکیبا باشی، نتیجه مثبت خواهی گرفت.,B1,آموزش، خانواده، ادبیات,پندآمیز، ادبی,برگرفته از فرهنگ کشاورزی و باغداری منطقه گیلان,sæbɾ telx bie vali miveʃ ʃirin bie,وقتی کار سخت بیه، یاد بگیر که صبر تلخ بیه ولی میوه‌اش شیرین بیه.,پدرم همیشه بگه صبر تلخ بیه ولی میوه‌اش شیرین بیه.,در راه موفقیت بفهمی که صبر تلخ بیه ولی میوه‌اش شیرین بیه.
سنگ بزرگ علامت نزدن بیه,جمله اسنادی ثابت با فعل ربطی,ادعاهای بزرگ معمولاً عملی نمی‌شوند.,قول‌های غیرواقعی نده.,B2,سیاست، کار، طنز,طعنه‌آمیز، انتقادی,اشاره به پرتاب سنگ در بازی‌ها و ناتوانی در پرتاب سنگ بزرگ,sæŋ bozorg ælɒmæt næzdæn bie,او وعده بزرگ داه، ولی سنگ بزرگ علامت نزدن بیه.,در انتخابات زیاد بشنویم، اما سنگ بزرگ علامت نزدن بیه.,کارفرما گفت پروژه عظیم بیه، گفتم سنگ بزرگ علامت نزدن بیه.
آب که از سر گذشت، چه یک وجب چه صد وجب,جمله شرطی-توصیفی ثابت,وقتی اوضاع از کنترل خارج شود، میزان آن تفاوتی ندارد.,وقتی مشکل جدی شود، شدت آن مهم نیست.,C1,بحران، سیاست، گفتگوهای جدی,جدی، فلسفی,زندگی مردم گیلان در کنار رودخانه‌ها و خطر سیلاب,ɒb ke æz sæɾ gozaʃt tʃe jek voʤæb tʃe sæd voʤæb,وقتی بدهی زیاد ببو، آب که از سر گذشت چه یک وجب چه صد وجب.,گفت حالا که اخراج شدم، آب که از سر گذشت چه یک وجب چه صد وجب.,در بحران اقتصادی آب که از سر گذشت چه یک وجب چه صد وجب.
هر که بامش بیش، برفش بیشتر,جمله شرطی نسبی با تقابل اسمی,کسی که موقعیت یا دارایی بیشتری دارد، مسئولیت بیشتری هم دارد.,قدرت بیشتر، مسئولیت بیشتر می‌آورد.,B2,اجتماعی، مدیریتی، خانوادگی,پندآمیز، اجتماعی,زمستان‌های پربرف گیلان و خانه‌های سنتی با بام شیروانی,hær ke bɒmeʃ biʃ bæɾfeʃ biʃtær,مدیر شرکت باید بدونه هر که بامش بیش برفش بیشتر.,پدر گفت هر که بامش بیش برفش بیشتر.,در سیاست هر که بامش بیش برفش بیشتر.
چراغی که به خانه رواست به مسجد حرام بیه,جمله اسنادی با تقابل مکانی,اولویت با نیازهای نزدیک و شخصی است.,ابتدا به خانواده خود رسیدگی کن.,B2,خانواده، اقتصاد، نصیحت,اخلاقی، سنتی,برگرفته از فرهنگ دینی و اولویت‌بندی منابع در جوامع سنتی,tʃerɒɣi ke be xɒne revɒst be mæsʤed hærɒm bie,پول کم بیه، چراغی که به خانه رواست به مسجد حرام بیه.,گفت قبل از کمک بیرون، چراغی که به خانه رواست به مسجد حرام بیه.,در مدیریت هزینه‌ها چراغی که به خانه رواست به مسجد حرام بیه.
دوستی ره در سختی می‌شناسن,جمله مجهول با فعل جمع,دوستان واقعی در زمان مشکلات مشخص می‌شوند.,دوست واقعی در بحران کنار تو می‌ماند.,B1,روابط اجتماعی، خانواده، ادبیات,حکمت‌آمیز، احساسی,فرهنگ همیاری و همسایگی در روستاهای گیلان,dusti ɾæ dæɾ sæxti miʃnɒsæn,وقتی بیمار بوم فهمیدم دوستی ره در سختی می‌شناسن.,در بحران مالی دوستی ره در سختی می‌شناسن.,او کنارم موند چون دوستی ره در سختی می‌شناسن.
تا نباشد چیزکی مردم نگویند چیزها,جمله شرطی منفی با تکرار واژه,شایعات معمولاً بی‌دلیل شکل نمی‌گیرند.,احتمالاً دلیلی برای این حرف‌ها وجود دارد.,C1,اجتماعی، شایعه، سیاست,تحلیلی، کنایه‌آمیز,ادبیات کلاسیک فارسی که در گیلان نیز رایج بوده است,tɒ næbɒʃæd tʃizæki mardom nægujænd tʃizhɒ,وقتی شایعه پیچید، گفت تا نباشد چیزکی مردم نگویند چیزها.,در سیاست تا نباشد چیزکی مردم نگویند چیزها.,مادرم گفت تا نباشد چیزکی مردم نگویند چیزها.
کار ره امروز و فردا نکن,جمله امری منفی,کارها را به تعویق نینداز.,کار را همین حالا انجام بده.,A2,آموزش، خانواده، محیط کار,دستوری، نصیحتی,فرهنگ سخت‌کوشی و کشاورزی در گیلان,kɒɾ ɾæ emruz o fæɾdɒ nækon,پدرم همیشه بگه کار ره امروز و فردا نکن.,استاد گفت کار ره امروز و فردا نکن و تکلیف ره تحویل بده.,برای موفقیت کار ره امروز و فردا نکن.
