Idiom (Acehnese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Acehnese)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Peue nyang ta tanom, nyan ta tuai",Parallel biclausal proverb; declarative active construction with object fronting,One will face the consequences of one’s own actions.,Setiap tindakan akan membawa akibat.,B1,"Daily advice, parenting, education, moral instruction, sermons","Proverbial, moral, neutral-formal",Agrarian Acehnese society where planting and harvesting symbolize moral causality.,/pɤ nyɑŋ ta tanom ɲan ta tuai/,"Ayah peugah bak lon, peue nyang ta tanom, nyan ta tuai, sabab lon hana meuruno.","Lam rapat nyan, pimpinan ingatkan peue nyang ta tanom, nyan ta tuai bak kebijakan droe.","Ureuëng nyan sadar akhirnyo bahwa peue nyang ta tanom, nyan ta tuai."
Lagee ie pasang,Simile phrase using comparative marker 'lagee',A fluctuating or unstable situation or emotion.,Keadaan yang tidak stabil.,B2,"Politics, emotions, economics, humor",Colloquial-literary,Coastal Aceh life influenced by tidal movements.,/laɡe iə pasaŋ/,"Harga barang nyoe lagee ie pasang, hana menentu saban uroë.",Perasaan jih lagee ie pasang sabab masalah keluarga.,Situasi politik nyan lagee ie pasang menjelang pemilihan.
Ureuëng sabar reubah gunong,Declarative proverb; subject + adjective + verb + object,Patience can overcome great difficulties.,Kesabaran dapat menyelesaikan masalah besar.,B1,"Motivation, education, religious speech","Proverbial, inspirational",Mountain imagery reflects Aceh’s mountainous geography.,/urɤʔŋ sabar rɯbah ɡunɔŋ/,"Guru peugah, ureuëng sabar reubah gunong lam proses belajar.",Lon teupingat haba ureuëng sabar reubah gunong waktu hadapi ujian.,Bak ceramah nyan disebut ureuëng sabar reubah gunong.
Haba lagee angin lalu,Simile clause; noun + comparative + noun phrase,Words that are ignored or not taken seriously.,Ucapan yang tidak dipedulikan.,B2,"Family, criticism, workplace","Colloquial, ironic",Wind metaphor common in Malayic poetic traditions.,/haba laɡe aŋin lalu/,Nasihat lon dianggap haba lagee angin lalu bak jih.,Peringatan guru jadi haba lagee angin lalu bak murid nakal.,Haba pejabat nyan lagee angin lalu bak masyarakat.
Bak punggong jeurat,Prepositional idiomatic phrase,Being completely unaware or insensitive.,Tidak peduli atau tidak sadar.,C1,"Sarcasm, criticism, politics","Ironic, sarcastic",Jeurat (graveyard) imagery symbolizing stillness and unawareness.,/bak puŋɡɔŋ dʒɯrat/,Jih duek bak punggong jeurat watee masalah meulimpah.,Pejabat nyan lagee bak punggong jeurat terhadap kritik rakyat.,Aneuk nyan bak punggong jeurat watee dipanggil gurunya.
Lagee manok peuetong,Comparative simile structure,Acting nervously or restlessly.,Gelisah dan tidak tenang.,B2,"Humor, daily life, storytelling","Colloquial, humorous",Reference to slaughtered chicken movements in rural life.,/laɡe manok pɯtɔŋ/,Jih lagee manok peuetong sabab teungoh tunggu hasil ujian.,Lon rasa lagee manok peuetong watee presentasi.,Aneuk miet nyan lagee manok peuetong watee hana troh ibunya.
Buleuen teubit bak siang,Metaphorical declarative phrase,Something obvious yet unusual or out of place.,Hal yang sangat jelas tetapi tidak biasa.,C1,"Literature, political commentary, sarcasm","Poetic, ironic","Moon appearing in daylight, symbolic in Acehnese poetry.",/bulɯən tɤubit bak siaŋ/,"Janji nyan lagee buleuen teubit bak siang, jelas tapi hana masuk akal.",Sikap jih buleuen teubit bak siang lam rapat umum.,Keadaan nyan lagee buleuen teubit bak siang bak mata rakyat.
Ie hana meuëk,Negative descriptive clause,Lack of enthusiasm or spirit.,Tidak bersemangat.,A2,"Daily speech, education, family","Colloquial, neutral",Water metaphor symbolizing energy flow.,/iə hana mɯək/,Lon rasa ie hana meuëk watee kerja nyoe.,Aneuk nyan ie hana meuëk bak kelas pagi.,Tim nyan ie hana meuëk lam pertandingan.
Gunong hana beurubah,Negative declarative clause,A stubborn person who refuses to change.,Sangat keras kepala.,B2,"Family, politics, workplace","Critical, metaphorical",Mountain imagery reflecting permanence in Aceh landscape.,/ɡunɔŋ hana bɯrubɑh/,Jih gunong hana beurubah walaupun ka dinasihati.,Pimpinan nyan gunong hana beurubah dalam kebijakan.,Aneuk nyan gunong hana beurubah soal pendirian.
Hate lagee kaca peupeh,Simile clause with emotive noun phrase,Deep emotional hurt or heartbreak.,Sangat terluka secara emosional.,C2,"Poetry, romance, literature, drama","Poetic, emotional",Glass metaphor common in Acehnese lyrical traditions.,/hatɤ laɡe kaca pɯpɛh/,Hate lon lagee kaca peupeh watee droeneuh jak.,Lam syair nyan disebut hate lagee kaca peupeh.,Jih peugah hate jih lagee kaca peupeh sabab pengkhianatan.
