Idiom (Moldovan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Moldovan)",First Example Sentence,Second Example Sentence,Third Example Sentence
A bate apa-n piuă,"Expresie fixă verbală, formă reflexivă implicită, activă","A vorbi mult fără rost, a repeta aceleași idei fără rezultat concret",A discuta inutil despre același subiect,B2,"Conversație cotidiană, muncă, ironie","Colocvial, ironic",Provenită din obiceiul vechi de a bate apa pentru a o curăța — acțiune inutilă,[a ˈbate ˈapəŋ ˈpiwə],"Nu mai bate apa-n piuă, spune direct ce vrei!",De o oră tot batem apa-n piuă despre același raport.,Profesorul s-a enervat că studenții tot băteau apa-n piuă în loc să răspundă concret.
A rămâne cu buza umflată,"Construcție verbală activă, reflexivă parțial, cu complement prepozițional fix","A fi dezamăgit, a nu obține ceea ce aștepta cineva",A fi lăsat dezamăgit sau fără rezultat,B1,"Familie, prieteni, umor, dezamăgire","Colocvial, ironic","Se crede că vine din imaginea unei persoane care așteaptă în zadar, cu buza umflată de supărare",[a rəˈməne ku ˈbuza umˈflatə],"A promis că vine, dar am rămas cu buza umflată.",Cine se bazează pe vorbe goale rămâne cu buza umflată.,"După ce s-a anulat excursia, toți copiii au rămas cu buza umflată."
A fi cu capul în nori,Construcție predicativă cu complement prepozițional fix,"A fi visător, neatent, preocupat de gânduri proprii",A fi distras sau neconcentrat,B2,"Educație, familie, conversație, umor","Neutru, colocvial",Expresie europeană veche asociată cu visarea sau pierderea contactului cu realitatea,[a fi ku ˈkapul in ˈnorʲ],"Astăzi ești cu capul în nori, nu m-ai auzit deloc.",Elevul era cu capul în nori și n-a notat tema.,"Când visează la vacanță, e mereu cu capul în nori."
A prinde aripi,Construcție verbală tranzitivă metaforică,"A deveni mai încrezător, a prinde curaj sau energie",A căpăta încredere și motivație,B1,"Educație, sport, muncă, literatură","Neutru, poetic",Imagine metaforică inspirată din mituri despre zbor și libertate,[a ˈprinde ˈaripʲ],"După primele succese, echipa a prins aripi.","Când a fost lăudată, fata a prins aripi și a continuat cu entuziasm.",Compania a prins aripi după noua investiție.
A o da în bară,Construcție verbală reflexivă cu pronume clitic de obiect direct,A face o greșeală gravă sau stânjenitoare,A greși serios sau a eșua într-o situație,B2,"Umor, muncă, prieteni, autoironie","Colocvial, ironic","Derivat din sporturile unde bara reprezintă ținta ratată (fotbal, gimnastică)",[a o da in ˈbarə],"A vrut să impresioneze, dar a dat-o în bară rău de tot.","Am dat-o în bară la prezentare, uitând cifrele cheie.","Dacă nu verifici codul, sigur o dai în bară din nou."
A pune umărul,"Construcție verbală activă, idiomatică, cu complement fix",A contribui activ la un efort comun,A ajuta la realizarea unui obiectiv comun,B1,"Muncă, comunitate, familie, activism","Neutru, solidar","Imagine veche a oamenilor care ridicau greutăți împreună, punând umărul efectiv",[a ˈpune ˈumarul],Toți au pus umărul ca proiectul să fie gata la timp.,"Dacă punem umărul împreună, reușim orice.",Voluntarii au pus umărul la curățarea parcului.
A trage pe sfoară,Construcție verbală tranzitivă idiomatică,A înșela pe cineva prin viclenie,A păcăli sau a înșela o persoană,C1,"Afaceri, ironie, conversație, avertisment","Colocvial, ironic","Provine din comerțul tradițional, unde sfoara era măsura, iar cine trișa „trăgea pe sfoară” cumpărătorul",[a ˈtradʒe pe ˈsfoarə],L-au tras pe sfoară la cumpărarea mașinii.,"Ai grijă, să nu te tragă cineva pe sfoară cu promisiunile lor.","S-a simțit trădat, ca și cum l-ar fi tras pe sfoară prietenul său."
A face din țânțar armăsar,Construcție verbală activă idiomatică cu complement comparativ,A exagera o problemă mică,A exagera importanța unui lucru minor,B1,"Familie, școală, umor, ironie","Ironic, colocvial","Expresie veche populară din lumea rurală, cu sens de exagerare comică",[a ˈfatʃe din ˈtsəntsar arˈməsar],"Nu mai face din țânțar armăsar, problema se rezolvă ușor.",A făcut dintr-o greșeală minoră un adevărat scandal — clar a făcut din țânțar armăsar.,E tipul care face din orice fleac un țânțar armăsar.
A da din colț în colț,"Construcție verbală reflexivă, expresie fixă","A căuta scuze, a evita o situație neplăcută",A evita să răspunzi direct sau a te eschiva,B2,"Conversație, politică, ironie","Ironic, colocvial",Imagine a cuiva prins într-un colț care tot încearcă să iasă — simbol al evitării,[a da din kolts in kolts],"De când a fost întrebat direct, tot dă din colț în colț.",Politicianul dădea din colț în colț ca să nu răspundă clar.,"Când a văzut testul greu, elevul a început să dea din colț în colț."
A merge mână-n mână,"Construcție verbală idiomatică, locuțiune adverbială fixă","A se potrivi perfect, a fi strâns legat de ceva",A fi în strânsă legătură,B1,"Educație, filozofie, muncă, reflecție","Neutru, figurativ","Imaginea cooperării și unității, folosită în expresii europene vechi",[a ˈmerdʒe ˈmənəŋ ˈmənə],Răbdarea merge mână-n mână cu succesul.,Tehnologia merge mână-n mână cu educația modernă.,Respectul și bunătatea merg mână-n mână în orice relație.
