Idiom (Sranan Tongo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sranan Tongo)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wan anu wasi trawan.,"Fiksi proverb nanga tu substantifi ""anu"" en wan transitifi verbi ""wasi""; paralleli klos nanga reciproki sensi.","Suma e yepi makandra, en yepi e kon baka; ogri ten, a kan tu sori wan sisten fu fabor nanga fabor.",Sma mus yepi makandra fu den ala kan go moro fara.,B1,"Degi taki, famiri, osowroko, politik, wroko presi, wan poku fu makandra yepi.",Kolokwial; sabi-sabi; moro tru na taki fu ede nanga bun leson.,"A tori de ini Afro-Surinamsi mofo-tradisi pe kolektifi wroko, makandra yepi, nanga libisma ben de furu pawa fu tan apaiti ini moeiliki ten.",/wan ˈanu ˈwasi traˈwan/,"Te wi ben abi fu feni moni fu a geburu oso, mi granma taki, ""Wan anu wasi trawan,"" en ala famiri kon yepi.","Na ofisi den seni mi go yepi a nyun man, bikasi wan anu wasi trawan e meki timi wroko bun.","A politikaman ben e broko a taki fu wan anu wasi trawan, ma den sma ben yere wan sarki sori fu fabor nanga fabor ini en taki."
Wan anu no e tai matu.,"Negatif proverb nanga substantifi + negatiwe marker + aspektmaka ""e"" + verbi ""tai"" + objek ""matu"".","Wan sma ensrefi no kan du ala sani; fu doro bun resulta, yu abi fu wroko nanga trawan.",Wan sma nomo no kan kba grani wroko; yu abi kolaborasi.,A2,"Skowtu, klaswroko, oso, komuniti, projekti plan, kerkisani.",Kolokwial; didaktiki; bun fu gi wan srefi-tyari leson.,"A meki referensi na bundru, paki, nanga agrikultur wroko pe tai wan matu ben e aksi tu anu; a de bun nanga Surinamsi kolektifi prakseri.",/wan ˈanu no e ˈtai maˈtu/,"Te den pikin ben wani seti a presi fu a friyari, a leriman memre den taki wan anu no e tai matu.","Mi no ben wani aksi yepi fosi, ma te a wroko kisi moro bigi, mi si taki wan anu no e tai matu.","Na wan startup, ef ala sani de tapu wan sma nomo, dan wan anu no e tai matu tru tru."
"Suma no yere, a musu firi.","Proverb nanga relatifi klos; negatiwe verbi ""yere"" nanga modal verbi ""musu"" fu onavoidbare konsekwensi.","Ef wan sma no wani yere bun advaysi, a sa leri nanga en eigi skin doru pèn ofon wan tranga leson.","Sma san no e teki leson ini taki, sa leri baka na prakseri fu en eigi fowtu.",A2,"Famiritori, opvoeding, klas, mentor taki, sport, disciplini.","Kolokwial; sterni; moraliserend, ma no vulgar.",A proverb de dipi ini mofo-kulturu pe gran sma e gi pikin sma leson nanga konpareti fu yere baka bifo pèn e kon.,/ˈsuma no ˈjere a ˈmusu ˈfiri/,"Mi taigi en no go dringi tapu a boto te watra e hei, ma suma no yere, a musu firi.","Den yonguman ben panya nanga moto ini regenteni, en omi taki, suma no yere, a musu firi.","Na wroko presi te sma no e hori sekuritei-regu, suma no yere, a musu firi e tron wan srefi tru."
"Pe doro no e opo, fensre e opo.",Balansi proverb nanga tu paralleli klos; negatiwe + positiwe konstruksi fu kontrast.,"Te wan pasi tan sroto, wan tra pasi kan opo; e gi ini tak' opo-oso, krakti, nanga adaptasi.","Ef wan okasi no waka, wan tra okasi kan kon.",B1,"Degi taki, werkloosheid, skowtu, relation, migrasi, business plan, motivasi.",Kolokwial nanga inspirerendi tono; bun fu trostu.,"A meki bun sensi ini stedeliki Paramaribo nanga oso-arsitekturu, pe doro nanga fensre de klari visi neti wan metafora fu alternatifi pasi ini libi.",/pe ˈdoro no e ˈopo ˈfɛnsre e ˈopo/,"Te mi no ben kisi a baan, mi anti piki mi ede nanga taki pe doro no e opo, fensre e opo.","A pikin ben fadon ini en test, ma en pa ben memre en taki pe doro no e opo, fensre e opo.","Na biznes, ef wan kontrakti broko, pe doro no e opo, fensre e opo kan gi yu krakti fu si nyun kansi."
Sabi pe yu e poti yu futu.,"Imperatif/advaysi-konstruksi nanga verbi ""sabi"" + lokatifi klos nanga progresifi marker ""e"".","Yu musu kono yu limit, teki kibribere, en si bun pe yu de go ini wan srefi situwasi.",Yu musu waka nanga kibribere en meki desisyon nanga bun prakseri.,A2,"Famiritori, finansi, politik, internet taki, relation, straat-adisi.",Kolokwial; warnendi; srefsrefi.,"A idiom e kon fu wan brederi ide fu piki yu futu ini modru, watra, of ini wan freyti presi; bun nanga wan ede fu overlibi nanga prudenti.",/saˈbi pe ju e ˈpoti ju ˈfutu/,"Yu e teki sowtu moni fu go drape-drape, ma sabi pe yu e poti yu futu, bikasi rente no e sori sari.","Na politik, ef yu wani panya tapu en, sabi pe yu e poti yu futu fosi yu meki wan taki na radio.","Mi lobi en ati, ma mi sabi pe mi e poti mi futu, fu no lasi misrefi ini a relation."
Teki yu ai luku.,"Imperatif idiom nanga seriali verbi ""teki"" + possessifi frase + verbi ""luku"".","Payi bun ati, si san e psa, en no meki sani pasa yu sondro yu si en.",Yu musu luku bun en hori bun ati gi sani san de psa.,A1,"Degi taki, skowtu, oso, merkri, online sekuritei, parenti nanga pikin.",Kolokwial; directi; no agresi.,"A e de wan furu produktifi mofo-konstruksi ini Sranan pe ai no de nomo fisiki, ma tu pratik-pratik fu konsentras’ en sosiali alertnes.",/ˈteki ju ˈai ˈluku/,"Te yu e waka na markt, teki yu ai luku nanga yu saki, bikasi a presi de krioyo furu.",Leriman taki den pikin fu teki den ai luku bika a eksperimenti e go nanga faya.,"Na social media yu musu teki yu ai luku, bikasi no ala nyunsu na tru."
"Tapu bere, ondro bere.",Elliptiki reduplikatifi frase nanga lokatifi/nominali oposisi; fiksi idiom sondro eksplisiti verbi.,"Iets de kibri, no klari, of wan sma e du sani na kibri-sei; a kan tu sori dubbelemofotaki.",A sani no de opo nanga krin; wan pisi de kibri.,B1,"Gersi, politik, famiri tori, finansi, investigasi, romans.",Kolokwial; ironiki; pikin sarki-sarki.,A bildi fu tapu nanga ondro bere e meki den taki fu wan sani san de doro na ini ma no de visi; a na wan bun model fu kibri tori ini Sranan pragmatiki.,/ˈtapu ˈbere ˈondro ˈbere/,"Den taki moni no lasi, ma a buku no klop; fu mi a sani de tapu bere, ondro bere.","A umasma e sori wan bigi lafu na fesi, ma tapu bere, ondro bere, a ben ati broko kaba.","Na kampeni disi srefsani de tapu bere, ondro bere; den no e taki krin pe den nyun regu e kon."
Dede oso no abi fes'ede.,"Negatif proverb nanga nominali subjek ""dede oso"" en verbi frase ""no abi"" + abstrakti noun.","Na ten fu row of sori, den formalitei no de a moro prensipali sani; empati e psa fesi.","Te wan tranga sori psa, sma no e ferwacht bun serimoni of forma fu dati fosi.",B2,"Rouw, famiri, kerkisani, komuniti, literaturu, etik taki.","Moro seri, respektfuru, proverbiali.",A e kon fu rouw-praktijk ini Suriname pe dede oso na wan sosyal presi fu kondre nanga famiri; a proverb e seti menselike meki fesi baka formalitei.,/ˈdede ˈoso no ˈabi fɛsʔeˌde/,"A umasma ben kon nanga slippers na berpe, ma no wan sma taki noti, bikasi dede oso no abi fes'ede.","Te mi yere pe den no ben gi en den regelu sma-sma griti, mi piki ede nanga taki dede oso no abi fes'ede.",Na tori-buku a skrifi ben yus' a taki dede oso no abi fes'ede fu sori pe row e broko den grense fu forma.
"San yu saai, na en yu sa koti.","Relatifi proverb nanga futurali marker ""sa""; agrikulturali metafora nanga verbi ""saai"" en ""koti"".",Yu aksi baka san yu du; bun of ogri aksyon e meki bun of ogri resulta.,A konsekwensi fu yu dede e kon baka na yu srefi.,A2,"Opvoeding, religy, politik, skowtu, self-development, disciplini.",Proverbiali; moraliserend; seri ma bun sabi.,"A proverb abi lanti nanga agrikulturali libi nanga Bijbelse influwensi; a ben drape go ini kerk, oso, nanga dego-dego leson.",/san ju ˈsaːi na ɛn ju sa ˈkoti/,"Ef yu e seti trawan fadon fu yu win, memre taki san yu saai, na en yu sa koti.","Den pikin ben lobi a leson bikasi a leriman ben e meki den yere taki san yu saai, na en yu sa koti.","Na sosyali media tu a e wroko so: san yu saai, na en yu sa koti, bika yu taki e tan libi langa."
Tori abi legi.,"Nominali-verbali idiom nanga subjek ""tori"" en possessifi verbi ""abi"" + noun ""legi"".","Wan tori no de sikin te den e drape en bakaten; a sa kisi tra meaning, gersi, of deformasi te a e psa fu wan sma go na tra sma.","Te wan tori e psa fu wan sma go na tra sma, a e kenki en no e tan eksak.",B1,"Gersi, nyunsu, politik, famiri taki, media literacy, dorpsgesprek.",Kolokwial; ironiki; wan pikin waarskuwende tono.,"A idiom e meki lanti nanga mofo-kulturu pe tori ben e drai na oso-oso, strati, markt nanga werf; ""legi"" e gi a idea fu tori san e kisi futu fu en eigi.",/ˈtori ˈabi ˈlegi/,"No panya fu yu yere en wan pisi nomo, bikasi tori abi legi na disi kondre.","A interview ben srefi krin, ma te den quote ben psa online, tori abi legi kaba.","Mi granpa ben e taki fu no tyari gersi, bikasi tori abi legi en a sa kon baka nanga ogri fasi."
