Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Dua koro gye mframa a, ɛbu.",Complex conditional clause; subject + verb + object + conditional marker; fixed proverbial construction.,A single person acting alone without support will eventually fail under pressure.,One person cannot handle everything alone.,B2,"Daily speech, leadership discussions, family advice, workplace collaboration","Proverbial, advisory, semi-formal",Forest-region proverb among Anyin communities in eastern Côte d’Ivoire and western Ghana emphasizing communal survival.,dua kɔrɔ ɟe mframa a ɛbu,"Wopɛ sɛ woyɛ adwuma no wo nko ara, na wo werɛ fi sɛ dua koro gye mframa a, ɛbu.","Ɔpanin no kae sɛ dua koro gye mframa a, ɛbu bere a na abusua no regye akyinnye.","Sɛ kuw no renka abom a, dua koro gye mframa a, ɛbu."
Nsuo a ɛda fam no na ɛdɔ.,Relative clause structure; noun + relative marker + verb; fixed descriptive proverb.,Quiet or humble people are often the most thoughtful or deep.,Quiet people often have deep thoughts.,B1,"Family settings, character description, education","Reflective, proverbial",Derived from riverine life in Anyin territories where still water appears shallow but runs deep.,nsuo a ɛda fam no na ɛdɔ,"Ɔyɛ komm deɛ, nanso nsuo a ɛda fam no na ɛdɔ.","Mma no nyinaa kasa bebree, na nsuo a ɛda fam no na ɛdɔ wɔ wɔn mu baako.",Ɔkyerɛkyerɛni no kae sɛ nsuo a ɛda fam no na ɛdɔ.
"Se wo werɛ fi na wosankɔfa a, yenkyi.",Conditional-reflexive clause; subordinate clause + main clause; fixed proverb.,It is not shameful to correct your mistakes.,It is good to fix your mistakes.,B1,"Education, moral teaching, reconciliation","Advisory, moral",Widely shared Akan-Anyin moral teaching emphasizing humility and accountability.,sɛ wo werɛ fi na wosankɔfa a jɛŋkji,"Sɛ wo werɛ fi na wosankɔfa a, yenkyi enti kɔsrɛ kyɛw.","Ɔpanin no hyɛɛ no nkuran sɛ se wo werɛ fi na wosankɔfa a, yenkyi.","Me ka kyerɛɛ no sɛ se wo werɛ fi na wosankɔfa a, yenkyi."
Sika ne mogya.,Equative nominal clause; noun + copula (implicit) + noun; fixed metaphor.,Money is essential for survival.,Money is very important.,A2,"Business, youth discussions, economics","Colloquial, emphatic",Reflects trading traditions of Anyin merchants in Bondoukou and surrounding markets.,sika nɛ moɡja,Ɔkae sɛ sika ne mogya wɔ wiase yi mu.,"Adwuma no ho hia, efisɛ sika ne mogya.","Wɔde ne ho hyɛɛ adwuma no mu paa, na ɔkae sɛ sika ne mogya."
"Anoma antu a, ɔbɔ ne ho ban.",Negative conditional clause; subject + negative verb + conditional marker.,"If one does not take initiative, nothing changes.",You must act to protect yourself.,B2,"Politics, youth empowerment, debate","Motivational, proverbial",Agrarian metaphor rooted in hunting and bird imagery common in Anyin oral tradition.,anoma antu a ɔbɔ nɛ ho ban,"Ɔka kyerɛɛ mmeranteɛ no sɛ anoma antu a, ɔbɔ ne ho ban.","Bere a na kuw no retwentwɛn ne nan ase no, ɔpanin no kae sɛ anoma antu a, ɔbɔ ne ho ban.","Mekae sɛ anoma antu a, ɔbɔ ne ho ban ansa na meyɛ adwuma no."
Ɔbra yɛ akwantu tenten.,Simple declarative clause; subject + copula + noun phrase.,Life is a long journey filled with stages.,Life has many stages and challenges.,B1,"Funerals, literature, reflective speech","Poetic, philosophical",Common in Anyin funeral dirges and oral poetry traditions.,ɔbra jɛ akwantu tenten,Ɔkyerɛkyerɛni no kae sɛ ɔbra yɛ akwantu tenten.,Yɛhyehyɛɛ asɛm no ase sɛ ɔbra yɛ akwantu tenten.,Ɔka kyerɛɛ ne mma sɛ ɔbra yɛ akwantu tenten.
Abofra bo nnwene baako.,Declarative clause; subject + verb + object; metaphorical proverb.,A child does not think only one thought; children are curious and unpredictable.,Children are naturally curious.,B2,"Parenting, humor, education","Humorous, advisory",Rooted in communal child-rearing practices of Anyin villages.,abofra bo nnwene baako,"Mma no reyɛ basabasa, na mekae sɛ abofra bo nnwene baako.",Ɔmaame no serew kae sɛ abofra bo nnwene baako.,Ɔkyerɛkyerɛni no kae sɛ abofra bo nnwene baako bere a na mmofra no rebisa nsɛm pii.
Akokɔ da ne ho adi anɔpa.,Declarative clause; subject + verb phrase + temporal adverb.,Truth eventually reveals itself.,The truth will come out.,B2,"Conflict resolution, politics, family disputes","Proverbial, ironic",Linked to rural life where roosters signal dawn and visibility.,akokɔ da nɛ ho adi anɔpa,Ɔkae sɛ akokɔ da ne ho adi anɔpa bere a asɛm no da adi.,"Sɛ woka atoro a, kae sɛ akokɔ da ne ho adi anɔpa.","Yɛhwɛɛ akyiri no, na akokɔ da ne ho adi anɔpa."
Nkyene ne asaw.,Nominal juxtaposition; metaphorical pairing of nouns.,Two things that naturally complement each other.,They fit perfectly together.,A2,"Relationships, cooking metaphors, humor","Colloquial, playful",Culinary metaphor common in Anyin households.,nkjɛnɛ nɛ asaw,Wɔn baanu no te sɛ nkyene ne asaw.,Ɔkae sɛ adwuma ne ne nimdeɛ te sɛ nkyene ne asaw.,Yɛn adamfofa no yɛ nkyene ne asaw.
"Obi nnim a, obi kyere.",Conditional clause; subject + negative verb + main clause; fixed proverb.,"If someone does not know, another will teach.",People can learn from each other.,A1,"Education, mentorship, teamwork","Encouraging, communal",Core Akan-Anyin communal learning philosophy.,obi nnim a obi kyerɛ,"Ɔkyerɛkyerɛni no kae sɛ obi nnim a, obi kyere.","Yɛyɛ adwuma no bom efisɛ obi nnim a, obi kyere.","Sɛ wuntumi a, kae sɛ obi nnim a, obi kyere."
