Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Qilammi qaumajuq,Intransitive verbal clause; indicative mood; present tense descriptive construction,A sudden realization or moment of clarity,I suddenly understood,B1,"Daily speech, education, storytelling","Colloquial, reflective",Metaphor drawn from Arctic light breaking through clouds after darkness,/qi.lam.mi qau.ma.juq/,"Qilammi qaumajuq, paasiniġiga sumik uqaqtutit.",Ilinniagniq nalaani qilammi qaumajuq isumaga.,"Tavra, qilammi qaumajuq ilitchuġit."
Isumaaluġniq aġnaqtuq,Nominalized verb phrase; abstract noun + descriptive verb,Worry weighs heavily on someone,I am very worried,B2,"Family, health, serious discussion","Serious, emotional",Reflects communal responsibility and emotional burden in subsistence life,/i.su.maː.luʁ.niq aʁ.naq.tuq/,Isumaaluġniq aġnaqtuq ananaga napaaqtillugu.,Isumaaluġniq aġnaqtuq suli nalliġivunga.,Uvlaaq tamaat isumaaluġniq aġnaqtuq.
Uqsruq qangattuq,Noun + intransitive verb; metaphorical elevation construction,Tensions are rising,Conflict is increasing,C1,"Politics, debate, leadership","Metaphorical, serious",Oil rising to the surface during marine harvest imagery,/uqs.ʁuq qaŋ.at.tuq/,Katimayiit akunnattinni uqsruq qangattuq.,Uqsruq qangattuq suliqatigiinniq iluani.,"Taimma, uqsruq qangattuq tusraaqtillugu."
Iluqatigiinniq nakuuruq,Abstract noun + predicate adjective construction,Unity brings strength,Working together is good,A2,"Community gatherings, speeches, schools","Formal, motivational",Collective hunting and survival cooperation traditions,/i.lu.qa.ti.ʁin.niq na.kuu.ʁuq/,Iluqatigiinniq nakuuruq nunaqatigiinni.,"Atauqatigiinniq piviqaqtuq, iluqatigiinniq nakuuruq.","Suliqatigiiguvut, iluqatigiinniq nakuuruq."
Qamutik suŋaiqsiruq,Noun + reflexive verb; metaphorical weakening construction,Someone has lost motivation,He gave up trying,B2,"Workplace, sports, humor","Colloquial, slightly ironic",Sled becoming loose or slack in Arctic travel,/qa.mu.tik su.ŋaiq.si.ʁuq/,"Suli suli, qamutik suŋaiqsiruq.",Aullaqtillugu qamutik suŋaiqsiruq.,Ilinniaqtuq qamutik suŋaiqsiruq.
Qilalugaq takunngitchuq,Noun + negative verb; perfective negation structure,Completely unaware of what is happening,He does not notice anything,B1,"Humor, casual conversation","Humorous, teasing",Reference to missing sight of a whale during hunting,/qi.la.lu.ʁaq ta.kun.ŋit.tʃuq/,Taamna qilalugaq takunngitchuq katimavimmi.,Qilalugaq takunngitchuq suli aullaqtillugu.,"Uvva, qilalugaq takunngitchuq itnaq."
Niġiññaqtuq sivuniq,Verb + temporal noun; future-oriented metaphor,The future will take care of itself,Things will work out later,C1,"Philosophical talk, elders’ advice","Reflective, poetic",Subsistence rhythm of trusting seasonal cycles,/ni.ʁiɲ.ɲaq.tuq si.vu.niq/,"Niġiññaqtuq sivuniq, utaqqiŋa.","Isumaliuġniq piññaġnaqtuq, niġiññaqtuq sivuniq.",Anana uqaqtuq niġiññaqtuq sivuniq.
Siqiniq nuvvaqtuq,Noun + descriptive verb; atmospheric metaphor,Hope is fading,I am losing hope,B2,"Emotional discourse, literature","Poetic, melancholic",Sun disappearing behind winter clouds,/si.qi.niq nuv.vaq.tuq/,Siqiniq nuvvaqtuq isumaaluġnikkut.,"Suli taamna, siqiniq nuvvaqtuq.",Siqiniq nuvvaqtuq tavra.
Atanniq uqaqtuq,Agent noun + verb; authority assertion clause,The final decision has been made,The leader has decided,B1,"Politics, meetings, governance","Formal, authoritative",Traditional leadership council decisions,/a.tan.niq u.qaq.tuq/,"Atanniq uqaqtuq, tavra naammaktuq.",Katimayuni atanniq uqaqtuq.,Atanniq uqaqtuq suliqatigiinni.
Iñuusiq qaŋaġaqtuq,Abstract noun + descriptive verb; temporal metaphor,Life moves quickly,Time passes fast,A2,"Elders’ reflections, storytelling","Reflective, proverbial",Observation of seasonal cycles and aging,/i.ɲuː.siq qa.ŋa.ʁaq.tuq/,"Iñuusiq qaŋaġaqtuq, ilitchuġit.",Iñuusiq qaŋaġaqtuq tamatta.,"Tavra, iñuusiq qaŋaġaqtuq."
