Idiom (Guatemalan Spanish),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Guatemalan Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar como agua para chocolate,Locución verbal; estructura fija,Estar muy enojado o emocionalmente alterado,Estar extremadamente molesto,B2,"Emociones, familia, drama","Coloquial, emocional",Referente a la temperatura ideal del chocolate caliente; popularizado por literatura y cine en Hispanoamérica,[esˈtaɾ ˈkomo ˈaɰwa ˈpaɾa tʃo.k̬oˈla.te],"Después de la pelea, estaba como agua para chocolate.",¡No me hablen! Estoy como agua para chocolate.,"Cuando vio lo que pasó, se puso como agua para chocolate."
No hay tu tía,Expresión negativa fija,"No hay solución, no se puede hacer nada al respecto",No hay forma de cambiarlo,C1,"Desacuerdo, resignación, debate","Coloquial, resignado","Origen incierto, posiblemente derivado de juegos de palabras antiguos en la región",[no ai tu ˈti.a],"Ya lo decidieron, y no hay tu tía.","Con esa multa, no hay tu tía.","Aunque llore o suplique, no hay tu tía."
Salió con su domingo siete,Locución verbal figurada,Quedar embarazada sin estar casada o inesperadamente,Quedó embarazada inesperadamente,C2,"Chismes, familia, humor","Coloquial, humorístico",Origen popular latinoamericano; alude a sorpresas reveladas los domingos,[saˈljo kon su doˈminɡo ˈsjete],Dicen que la vecina salió con su domingo siete.,¿Supiste que salió con su domingo siete?,"No es sorpresa, siempre andaba saliendo con su domingo siete."
Ahí nos vidrios,Frase de despedida con deformación fonética,Nos vemos (forma graciosa de despedirse),Hasta luego,A2,"Jóvenes, humor, despedidas informales","Coloquial, gracioso","Juego de palabras entre 'vemos' y 'vidrios', típico del habla juvenil",[ai nos ˈβi.ðɾjos],"Bueno pues, ahí nos vidrios.","Ya me voy, ahí nos vidrios.","Después de clase, ahí nos vidrios."
Más perdido que el chucho de la procesión,Comparación figurada,Estar completamente desorientado,Estar totalmente perdido o confundido,B1,"Educación, trabajo, humor","Coloquial, irónico",Referente a las procesiones religiosas en Guatemala y el comportamiento errático de perros callejeros,[mas peɾˈðiðo ke el ˈtʃutʃo ðe la pɾoseˈsjon],Estaba más perdido que el chucho de la procesión en el examen.,Llegué y me sentí más perdido que el chucho de la procesión.,"Con tantas tareas, estoy más perdido que el chucho de la procesión."
Andar como alma en pena,Locución verbal figurada,"Estar triste, sin rumbo o deprimido",Estar desanimado y sin dirección,B2,"Emociones, literatura, drama","Literario, melancólico",Alusión a las almas errantes en leyendas guatemaltecas,[anˈdaɾ ˈkomo ˈalma em ˈpena],"Desde que terminó con ella, anda como alma en pena.","Lo vi en la calle, parecía alma en pena.","Después del funeral, todos andaban como alma en pena."
Le dio vuelta la tortilla,Frase verbal con objeto directo,Cambiar completamente la situación o argumento a favor propio,Cambiar las tornas,B1,"Debate, política, relaciones","Coloquial, estratégico","Hace referencia al volteo físico de una tortilla, símbolo común de cambio en Latinoamérica",[le ðjo ˈβuelta la toɾˈti.ʝa],"Pensé que iba a perder, pero le dio vuelta la tortilla.",Siempre sabe cómo darle vuelta a la tortilla.,"Con su respuesta, le dio vuelta a la tortilla en el juicio."
Estar hasta la madre,Locución verbal intensiva,Estar completamente harto de algo,Estar muy cansado o molesto con algo,C2,"Frustración, política, trabajo","Vulgar, emocional",Expresión fuerte común en Centroamérica que denota desbordamiento emocional,[esˈtaɾ ˈasta la ˈma.ðɾe],Estoy hasta la madre del tráfico de la ciudad.,Ya estoy hasta la madre de este trabajo.,Todos estamos hasta la madre de tanta corrupción.
Llover sobre mojado,Infinitivo impersonal,Empeorar una situación que ya era mala,Agravar los problemas existentes,B2,"Desastres, economía, política","Poético, resignado",Usado en literatura latinoamericana para ilustrar ciclos de desgracia,[ʝoˈβeɾ ˈso.βɾe moˈxa.ðo],"Con el desempleo y la enfermedad, ya es llover sobre mojado.",Otro problema más... está lloviendo sobre mojado.,El huracán fue llover sobre mojado para la comunidad.
Más vale maña que fuerza,Refrán comparativo,La inteligencia o astucia es mejor que el esfuerzo bruto,La astucia vence a la fuerza,B1,"Trabajo, vida cotidiana, enseñanza","Proverbial, reflexivo",Sabiduría popular arraigada en la cultura rural de Guatemala,[mas ˈβale ˈmaɲa ke ˈfweɾsa],"No rompió el frasco, usó un truco. Más vale maña que fuerza.",Mi abuela siempre decía: más vale maña que fuerza.,"No necesitas levantarlo, hay otra manera. Más vale maña que fuerza."
