Idiom (Afrihili),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Afrihili)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kufa pa uso wa jua,Infinitive verb phrase with locative prepositional phrase,To face a difficult situation bravely,Confront the challenge directly,C1,"daily speech, workplace, literature","colloquial, poetic",Derived from traditional hunter bravery rituals under harsh sun,ˈkufa pa ˈuso wa ˈd͡ʒua,Mi kufa pa uso wa jua wakati wa tatizo la familia.,Ye kufa pa uso wa jua bila woga wowote.,Wanafunzi kufa pa uso wa jua kwenye mitihani yao.
Kushika upepo kwa mikono,Infinitive verb phrase with instrumental complement,To attempt something impossible or unrealistic,Try to do the impossible,B2,"humor, daily speech","colloquial, humorous",Common saying in coastal towns mocking futile efforts,kuˈʃika uˈpepo kwa miˈkono,Ye kushika upepo kwa mikono kwa kujaribu kurudisha muda.,Kujaribu kuwa sahihi daima ni kushika upepo kwa mikono.,Mi kuona kuwa mipango yao ni kushika upepo kwa mikono.
Samaki hawezi kukimbia mvua,Complex declarative sentence with negation,One cannot escape their nature or role,You can't escape your identity or fate,B1,"literature, family, sarcasm","literary, ironic",Proverb rooted in riverine village philosophies,saˈmaki haˈwezi kuˈkimbia ˈmvua,"Baba alisema, 'Samaki hawezi kukimbia mvua'.","Ye hajaribu kubadilika, lakini samaki hawezi kukimbia mvua.","Samaki hawezi kukimbia mvua, hata akiwa sokoni."
Kula chumvi nyingi,Infinitive verb phrase with quantitative object,To be experienced or wise with age,To have much life experience,B1,"daily speech, family, workplace","colloquial, respectful",Drawn from traditional symbolism of salt as endurance,ˈkula ˈt͡ʃumvi ˈɲiɲi,Babu kula chumvi nyingi kuliko sisi sote.,Mi kufuata ushauri wa mtu aliyekula chumvi nyingi.,Ye husema kwamba kula chumvi nyingi humpa hekima.
Kucheza na simba aliyelala,Infinitive verb phrase with object complement,To provoke someone dangerous or disturb a risky situation,To take a dangerous risk,C1,"politics, sarcasm, humor","ironic, literary",Folkloric symbolism of lions across the savannah,kuˈt͡ʃeza na ˈsɪmba aˈliːjeˈlala,Wapinzani kucheza na simba aliyelala kwa kumkejeli rais.,Mi kusema ukweli ni kucheza na simba aliyelala.,Kazi hii ni kama kucheza na simba aliyelala.
Maji yakimwagika hayazoleki,Conditional clause with passive verb,What’s done is done; irreversible,You can't undo the past,A2,"family, daily speech, education","proverbial, moral",Widely used Swahili-African proverb adapted for Afrihili,ˈmad͡ʒi jaˈkimwaɡika haˈjazoleki,Walilia lakini maji yakimwagika hayazoleki.,Ye fahamu kuwa maji yakimwagika hayazoleki.,Sote tukumbuke: maji yakimwagika hayazoleki.
Kupanda mti usiozaa,Infinitive verb phrase with negated relative clause,To invest effort in something fruitless,Wasting effort on a lost cause,B2,"literature, politics, advice","poetic, advisory",Draws on agrarian metaphors common in farming communities,kuˈpanda ˈmti uˈsiozaː,Kazi yake ni kama kupanda mti usiozaa.,Mi sema usipoteze muda kupanda mti usiozaa.,Kupenda mtu asiyekupenda ni kupanda mti usiozaa.
Kuwa na jicho la pili,Infinitive verb phrase with locative possessive construction,To have foresight or deeper insight,To be insightful or perceptive,C2,"spiritual, philosophical, literature","literary, poetic",Symbolism of third eye from ancient East African mysticism,ˈkuwa na ˈd͡ʒit͡ʃo la ˈpiːli,Ye kuwa na jicho la pili kuhusu maisha.,Wasanii wengi huwa na jicho la pili.,Kuwa na jicho la pili husaidia pa uongozi.
Kupiga mbio za bure,Infinitive verb phrase with adverbial of futility,To exert effort in vain,Run around for nothing,B1,"daily speech, workplace, complaints","colloquial, sarcastic",Street idiom from urban laborers in post-colonial cities,kuˈpiɡa ˈmbio za ˈbure,Ye kupiga mbio za bure kila siku kazini.,Mi kuchoka kwa kupiga mbio za bure.,Twi kuona juhudi zao ni kupiga mbio za bure.
Kula kwa macho tu,Infinitive verb phrase with instrument of perception,To desire something one cannot have,To want without being able to get,A2,"humor, markets, youth","colloquial, humorous",Common idiom in bustling marketplaces,ˈkula kwa ˈmat͡ʃo tu,Mi kula kwa macho tu pa hoteli ya kifahari.,Ye hujua kula kwa macho tu kwenye duka la nguo.,Twi kuchoka kula kwa macho tu kila mwezi.
