Idiom (GAN),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, GAN)",First Example Sentence,Second Example Sentence,Third Example Sentence
落雨收衣,动词短语 (Verb phrase),比喻在变化前赶紧行动或准备。,快点行动。,B1,日常生活、提醒、建议,口语,出自农村生活经验，象征天变要快行动。,[lɔʔ˩˧ ȵi˨˩ səu˦ ji˥],落雨收衣喇，莫等湿晒！,妈话落雨收衣，唔然湿咯。,落雨收衣，系老祖宗讲嘅道理。
一脚两船,名词短语 (Noun phrase),比喻脚踏两条船，犹豫不决或两边讨好。,优柔寡断。,B2,爱情、职场、人际关系,口语,源自民间故事，比喻犹豫两难。,[it˩ kiau˦ liɔŋ˨˩ səuŋ˥],你咁样一脚两船，小心无落脚位！,佢对两边都好，一脚两船。,一脚两船最终冇好下场。
米粒当珠,比喻句 (Metaphorical clause),形容人目光短浅，看不清事物真相。,短视。,C1,教育、警示,文学,古代寓言典故，劝人看透表象。,[mi˦ liʔ˩ tɔŋ˦ tɕy˥],你咁样米粒当珠，真系短见。,你唔好米粒当珠啦，唔值噶。,米粒当珠系短见。
鸡毛蒜皮,名词性搭配 (Nominal compound),指微不足道的小事。,小事一桩。,A2,家庭、日常对话,口语,日常生活俗语。,[ki˦ mɔ˨˩ san˧ phi˥],唔使为鸡毛蒜皮嘅事拗啦。,鸡毛蒜皮嘅事都要讲咁耐。,鸡毛蒜皮嘅事，唔值生气。
鬼迷心窍,动宾结构 (Verb-object),形容被欲望迷惑了心智。,被欲望蒙蔽。,B2,情感、心理,文学,佛教故事引申，意指迷惑。,[kui˥ mi˨ ɕin˧ tɕhiau˥],佢被钱鬼迷心窍咯。,佢鬼迷心窍，为钱乜都肯做。,鬼迷心窍，佢变咗一个陌生人。
猫哭老鼠,主谓句 (Subject-predicate),比喻假装同情或虚情假意。,假装同情。,B1,讽刺、幽默,讽刺,讽刺语，流行于戏曲与评书。,[mau˦ khuk˩ lau˨˩ sy˧],佢猫哭老鼠，假惺惺嘅样子。,猫哭老鼠，虚情假意。,猫哭老鼠，表面热心。
眼大肚小,主谓句 (Subject-predicate),比喻贪多嚼不烂，能力有限而野心大。,能力不够却想太多。,B2,工作、饮食,口语,源自饮食习惯。,[ŋieŋ˨ ta˨ tu˥ siau˧],你眼大肚小，点食得晒噶？,眼大肚小，吃唔完又浪费。,眼大肚小，点都系浪费。
头发当针,动宾结构 (Verb-object),比喻做事过于认真或钻牛角尖。,太认真。,C1,批评、学术,书面语,江西俗语，反映勤奋精神。,[thau˧ fa˨ tɔŋ˧ tsin˥],你头发当针，太认真咯。,头发当针，冇必要太执著。,头发当针，越计较越烦。
三天打鱼两天晒网,复合句 (Compound),比喻做事没有恒心，三天打鱼两天晒网。,没有恒心。,B1,学习、生活习惯,日常,古代渔民生活表达。,[san˥ thien˧ ta˧ ŋiu˥ liɔŋ˧ thien˧ sai˥ uan˧],佢学习就系三天打鱼两天晒网。,三天打鱼两天晒网，点进步？,三天打鱼两天晒网，永远学唔好。
行得正坐得端,陈述句 (Declarative),比喻做人正直、行为端正。,正直做人。,A2,做人、教育,正式,传统道德观念之体现。,[hian˧ təʔ˩ tsen˥ tso˧ təʔ˩ tɔn˥],做人要行得正坐得端。,行得正坐得端，人先安乐。,行得正坐得端，唔怕影子斜。
