Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Pó na óia,Prepositional phrase + definite noun; metaphorical fixed expression,To die; to pass away,Morre,B1,"Daily speech, euphemistic reference, storytelling","Colloquial, euphemistic",Common across Santiago; euphemism tied to traditional beliefs about the soul returning to the earth or sea,[pɔ na ˈojɐ],"Anton morrê? N ten ki fé, el djá pó na óia.",Tudu djent sabê ku Mané pó na óia sima un semana.,"Djon podê kuxinhu nha kurason, dipôs ki el pó na óia."
Sta di brás abertu,Stative verb phrase with prepositional modifier,To be very welcoming,É muto rispetozu y kumerial,A2,"Hospitality, family, daily speech","Colloquial, positive","Refers to open arms as a symbol of hospitality, widespread in Kriolu-speaking islands",[ʃta di ˈbɾas aˈbɛɾtu],"Na kasa di nha mai, bo sta sempri di brás abertu.",Es povu na Tarrafal sta di brás abertu pa turista.,"N ben, y el sta di brás abertu sima si n’era d’famía."
Mete pé na frenti,Transitive verb + object + prepositional phrase,To create obstacles or interfere with someone’s plans,Sta fazi entrave,B2,"Workplace, politics, gossip","Colloquial, ironic",Used island-wide; possibly influenced by Portuguese expressions of rivalry,[ˈmɛtɨ pe na ˈfɾẽti],N ka ta tolera ken ki mete pé na frenti di nha trabadju.,Es gosi ta tenta mete pé na frenti di projetu.,"Si bo kontinua mete pé na frenti, bo ta bai perde midjor."
Sta ku kabésa na lúa,Stative verb + noun phrase + prepositional phrase,To be distracted or lost in thought,Sta distrídu,A2,"School, workplace, family","Colloquial, humorous",Used mostly in educational contexts; symbolic reference to dreaming or inattention,[ʃta ku kaˈbesa na ˈluɐ],Profésor fla ku Jeni sta ku kabésa na lúa tudu dia.,"N sta txomadu el, ma el sta ku kabésa na lúa sima sempri.","Si bo sta ku kabésa na lúa, bo ka ta odja ki ta pasa."
Bai tras di badju,Verb + prepositional phrase,To fall for deception; to be tricked,Kri na mintira,B1,"Politics, gossip, humor","Colloquial, sarcastic",'Badju' is a clown figure in oral narratives; used in rural storytelling,[baj ˈtɾas di ˈbadʒu],Bo ka podi bai tras di badju ku es promesa falsu.,"Sima bo bai tras di badju, agr bo ta txora.",Es mininu bai tras di badju y perda tudu dinheru.
Djobi kaba ku bóka abertu,Verb phrase + adverbial clause,To be left speechless or amazed,Sta surprendidu,B2,"Entertainment, storytelling, shock","Colloquial, expressive","Common expression in Santiago and Fogo, often humorous",[ˈdʒɔbi ˈkaba ku ˈbokɐ aˈbɛɾtu],El kantá txeu dretu ki n djobi kaba ku bóka abertu.,Tudu mundo djobi kaba ku bóka abertu na final di espetakulu.,N sta djobi kaba ku bóka abertu ku notísia.
Kume tchora,Verb + object,To suffer in silence,Aguenta dor y ka fla nada,C1,"Family, resilience, personal struggle","Poetic, melancholic","Expresses stoic endurance, used in literary and music contexts",[ˈkumɨ ˈtʃɔɾɐ],N sta kume tchora dipôs ki el larga-m.,Mama ta kume tchora pa bo n odja su dor.,"Kabésa riba almofada, n kume tchora tudu noti."
Sta na kadera di roda,Stative verb + prepositional phrase,To be in a vulnerable or dependent position,Sta dependenti o limitadu,B2,"Politics, health, workplace","Colloquial, critical",Metaphorical extension of physical disability imagery to broader powerlessness,[ʃta na kaˈdeɾɐ di ˈʁɔdɐ],"Dipôs di skandalu, el sta na kadera di roda na polítika.","Si n ka tene bo ajudanti, n ta sta na kadera di roda.",Kondison di bida ta põe-m na kadera di roda.
Txora mar di lagrima,Verb phrase with hyperbolic noun phrase,To cry excessively,Txora dimás,A2,"Family, drama, childhood","Poetic, emotional",Hyperbolic imagery used in songs and poetry,[ˈtʃɔɾɐ ˈmaɾ di ˈlaɡɾimɐ],El txora mar di lagrima so pa un jogu perdidu.,N txora mar di lagrima na aeroportu.,Es rapazin txora mar di lagrima so pa un doci.
Fiká ku rabu na bentu,Verb + prepositional phrase + noun phrase,To be exposed or vulnerable to criticism,Sta ekspozidu,C1,"Politics, gossip, literature","Ironic, critical",Derived from animal imagery; used often in public debate,[fiˈka ku ˈʁabu na ˈbẽtu],"Si bo fla es koza, bo ta fiká ku rabu na bentu.",Polítiku fla riba korupson y agr fiká ku rabu na bentu.,N sta evitá fiká ku rabu na bentu na midja.
