Idiom (Kongo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kongo)",First Example Sentence,Second Example Sentence,Third Example Sentence
Dia ntangu,Verb phrase (transitive verb + noun); fixed idiomatic clause,To remain patient and wait calmly for the right moment,Vingila malembe sambu ntangu ya mbote kuma,B1,"Daily speech, advice, family conversations","Colloquial, proverbial",Common Kongo wisdom emphasizing patience in community life,/di.a n.ta.ŋɡu/,"Tata tubaka na mwana nde: dia ntangu, mambu nyonso ke kuma na ntangu na yo.",Mono ke dia ntangu sambu na mvutu ya kisalu mono lombaka.,Bakala ya mayele ke dia ntangu ntete yandi sala lukanu.
Simba ntima,Verb phrase (verb + noun); metaphorical emotional construction,To be courageous or emotionally strong in hardship,Vanda na kikesa mpe landa malembe,A2,"Encouragement, family support, social advice","Colloquial, motivational",Rooted in Kongo cultural emphasis on inner strength,/sim.ba n.ti.ma/,"Mama tubaka na mono: simba ntima, mpasi yai ta luta.",Beto fwete simba ntima na ntangu ya mpasi.,Yandi simbisaka ntima ntangu makambu ya kisalu kumaka mpasi.
Kanga meso,Verb phrase (imperative-like expression),To ignore a situation intentionally,Zaba mambu kasi pona kutala yo ve,B2,"Politics, family disputes, workplace talk","Ironic, colloquial",Derived from everyday metaphor of closing one's eyes,/ka.ŋɡa me.so/,Bantu mingi ke kanga meso ntangu mambu ya mbi ke salama.,Direktere kanga meso na mambu yina sambu na kimia.,Keti nge ta kanga meso na makambu yai nyonso?
Zenga nzila,Verb phrase (verb + object),To make a decisive breakthrough or open opportunity,Kuma muntu ya ntete na kusala nzila,B2,"Leadership, entrepreneurship, motivation","Inspirational, semi-formal",Connected to imagery of clearing forest paths in Central African history,/ze.ŋɡa n.zi.la/,Yandi zengaka nzila na projet ya malu-malu.,Bakento yai ke zenga nzila na mambu ya bizinesi.,Mono zola zenga nzila sambu na bana ya bwala.
Baka malembe malembe,Reduplicated adverbial phrase,To proceed slowly and cautiously,Sala malembe sambu mambu tambula mbote,A1,"Daily advice, teaching children","Colloquial, instructive",Reflects cultural value of patience and careful action,/ba.ka ma.lem.be ma.lem.be/,Tata tubaka: baka malembe malembe na kisalu yai.,Beto baka malembe malembe sambu na projet yai.,Mwana yina ke longuka kutambula malembe malembe.
Tula matu,Verb phrase (verb + plural noun),To listen attentively or pay close attention,Wa mambu mbote mpe landa malongi,A2,"Education, mentoring, meetings","Neutral, instructive",Traditional oral teaching culture emphasizing attentive listening,/tu.la ma.tu/,Longuka tula matu ntangu bakulu ke tuba.,Bana nyonso tulaka matu na kelasi bubu yai.,Yandi tulaka matu na malongi ya direktere.
Kota na nitu ya nkaka,Prepositional idiomatic clause,To empathize deeply with another person's situation,Tala mambu na meso ya muntu yankaka,C1,"Counseling, moral discussions, literature","Reflective, literary",Kongo moral philosophy about community empathy,/ko.ta na ni.tu ja n.ka.ka/,Muntu ya mayele ke kota na nitu ya nkaka ntete yandi sambisa.,Beto fwete kota na nitu ya nkaka sambu na zaba mpasi na yandi.,Yandi kotaka na nitu ya nkaka ntangu yandi waka nsangu ya mpasi.
Lamba malembe,Verb phrase metaphor,To prepare something carefully over time,Sala mambu malembe malembe ti yo kuma mbote,B1,"Work planning, cooking metaphors, leadership",Colloquial metaphorical,Derived from cooking practices where slow cooking brings better flavor,/lam.ba ma.lem.be/,Direktere ke lamba malembe projet ya nene.,Mama ke lamba malembe madia ya nkokila.,Bakala ya mayele ke lamba malembe lukanu na yandi.
Tambula malembe na malembe,Verb phrase with repetition,To progress cautiously in life decisions,Keba na makambu nyonso ntete kusala lukanu,B1,"Life advice, family conversations","Proverbial, reflective",Common wisdom shared by elders in Kongo communities,/tam.bu.la ma.lem.be na ma.lem.be/,Bakulu tubaka: tambula malembe na malembe na luzingu.,Mono ke tambula malembe na malembe sambu na kusola kisalu.,Yandi tambulaka malembe na malembe na mambu ya mbongo.
Mona lumbu,Verb phrase metaphor,To experience success or better days after hardship,Kuma na kiese to mbote na ntangu ke kwisa,B2,"Motivation, storytelling, social commentary","Poetic, hopeful",Appears in many Central African oral narratives,/mo.na lum.bu/,Bakulu tubaka nde muntu nyonso ta mona lumbu.,Mono ke sala kisalu mingi sambu na mona lumbu.,Beto nyonso ta mona lumbu kana beto landa kisalu.
