Idiom (Guadeloupean Creole),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Guadeloupean Creole)",First Example Sentence,Second Example Sentence,Third Example Sentence
Chyen pa ka fè chat,Fixed clause with negation; noun–verb–negation–noun structure,Children often resemble their parents in behavior or appearance,Pitit ka sanblé manman-y é papa-y,A2,"Daily speech, family, humor","Colloquial, humorous",Traditional proverb from Guadeloupe and Martinique; used to express inherited traits,/ʃjɛ̃ pa ka fe ʃat/,"Chyen pa ka fè chat, gason-la jis menm kon papa-y!","Ou pé di sa, chyen pa ka fè chat, i ni menm vwa avè manman-y.","Nou tout ka di sa, chyen pa ka fè chat, sa ka pasé dan san."
Kannari pa ka di chodyè nwè,Fixed clause with double negation and comparison,Don’t criticize others for faults you also have,Pa kritiqué moun pou bagay ou menm ou fè,B1,"Daily speech, workplace, irony","Ironic, proverbial",Historical proverb from plantation life; derived from kitchen imagery of soot and pots,/kanari pa ka di ʃɔdjɛ nwɛ/,"Ou di mwen sal, mé kannari pa ka di chodyè nwè.","Sé on vié pawòl mé toujou vré, kannari pa ka di chodyè nwè.","An travay, i té ka ri di mwen, mé mwen réponn: kannari pa ka di chodyè nwè!"
"Lapli ka tonbé, mé tè ka rété",Compound clause with contrastive conjunction,Life goes on despite difficulties,"Malgré pwoblèm, lavi kontiné",B2,"Philosophical reflection, resilience, literature","Poetic, philosophical",Old Caribbean wisdom; reflects resilience after storms (both literal and emotional),/lapli ka tɔ̃be me tɛ ka ʁete/,"Lapli ka tonbé, mé tè ka rété — fò nou kontiné malgrésa.","Yo pèd tout bagay, mé lapli ka tonbé, tè ka rété.","Pawòl sa ka rann kè fò, lapli ka tonbé, mé tè ka rété."
Tout long chivé pa bon têt,Comparative fixed clause,Appearance can be deceiving,Tout sa ki bèl pa toujou bon,B1,"Daily life, social advice","Proverbial, cautionary",Guadeloupean saying reminding people not to judge by looks,/tut lɔ̃ ʃive pa bɔ̃ tɛt/,"Tout long chivé pa bon têt, pa gadé déwò pou konn moun.","I sanblé dous, mé tout long chivé pa bon têt.",Sa manman mwen té ka di mwen toujou: tout long chivé pa bon têt.
"Dlo ka monté, rivyè ka chanjé",Compound progressive structure,Circumstances change with time,Bagay ka chanjé évolisyon ka fèt,C1,"Politics, literature, social commentary","Formal, poetic",Proverbial metaphor tied to nature and change; used in speeches and essays,/dlo ka mɔ̃te ʁivjɛ ka ʃɑ̃ʒe/,"Dlo ka monté, rivyè ka chanjé, sé tan pou nou adpaté.","An sosyété-la ka évolué, dlo ka monté, rivyè ka chanjé.","Ou pé pa viv menm jan tout tan — dlo ka monté, rivyè ka chanjé."
On sèl dwèt pa ka manjé soup,Fixed clause with negative adverb,Teamwork is necessary to succeed,Nou bizwen lòt moun pou reyisi,A2,"Workplace, community, education","Colloquial, communal",Originates from communal eating practices where cooperation was key,/ɔ̃ sɛl dwɛ pa ka mɑ̃ʒe sup/,"On sèl dwèt pa ka manjé soup, fò nou travay ansanm.","I pa pé fè sa tousèl, on sèl dwèt pa ka manjé soup.",Sé ansanm nou ka fè fòs — on sèl dwèt pa ka manjé soup.
Sa ki ni pasyans ka manjé fri dou,Fixed relative clause with subject agreement,Patience brings good results,"Si ou ni pasyans, ou ké jwenn bon bagay",B1,"Daily speech, encouragement, family advice","Proverbial, encouraging",Agricultural metaphor referring to ripened fruit; symbolizes reward for patience,/sa ki ni pasjɑ̃s ka mɑ̃ʒe fʁi du/,"Sa ki ni pasyans ka manjé fri dou, pa pé fòsé tan.","Ou ké wè, sa ki ni pasyans ka manjé fri dou.",Pa kité anpèsyans fè-w pèdi — sa ki ni pasyans ka manjé fri dou.
Bèf ki pè dlo pa ka bwè lèt,Fixed negative causative clause,Fear prevents one from achieving success,"Si ou pè, ou pa ké janmen avansé",B2,"Motivation, humor, moral lesson","Ironic, moralizing",Pastoral image from Guadeloupean rural life; emphasizes courage,/bɛf ki pɛ dlo pa ka bwɛ lɛt/,"Bèf ki pè dlo pa ka bwè lèt, alé wout-la menm si i long.",Ou pa pé réisi si ou pè tout bagay — bèf ki pè dlo pa ka bwè lèt.,Manman té ka di mwen sa: bèf ki pè dlo pa ka bwè lèt.
Sé pa an ti dlo ki ka fè on gran lanmè,Complex clause with negation and causative logic,Big results come from accumulation of small efforts,Gwo bagay sòti an ti ti efò,C1,"Motivational, educational, workplace","Inspirational, proverbial","Proverb rooted in seafaring culture, emphasizing perseverance",/se pa ɑ̃ ti dlo ki ka fe ɔ̃ gʁɑ̃ lɑ̃mɛ/,"Sé pa an ti dlo ki ka fè on gran lanmè, travay kontinyé.","Nou pé ti, mé ansanm nou fò — sé pa an ti dlo ki ka fè on gran lanmè.","Apré chak ti pas, ou rivé — sé pa an ti dlo ki ka fè on gran lanmè."
"Tann on tifi, i ka vini doub",Clause with progressive aspect and exaggeration for humor,Waiting patiently often brings double reward,"Si ou tann, ou ké jwenn plis",B2,"Humor, family sayings, everyday life","Humorous, proverbial",Popular Guadeloupean saying reflecting optimism and faith in patience,/tɑ̃ ɔ̃ tifi i ka vini dub/,"Tann on tifi, i ka vini doub — pa pè tann an ti moman.","Yo di sa tou lé tan, tann on tifi, i ka vini doub.","Fò ou tann ti tan, paskè tann on tifi, i ka vini doub."
