Idiom (Cebuano),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cebuano)",First Example Sentence,Second Example Sentence,Third Example Sentence
Nagtulo ang laway,"Fixed clause, intransitive expression",Nagpangandoy og dakong tinguha o pagkaibog sa usa ka butang.,Gusto kaayo niya ang maong butang.,B1,"daily speech, humor","colloquial, humorous","Panultihon nga nagpasabot sa kusog nga tinguha, gikan sa obserbasyon sa tawo nga gutom o nagtinguha og pagkaon.",naɡˈtulo ʔaŋ ˈlawaɪ,Nagtulo ang laway ni Dodong pagkakita niya sa bag-ong sakyanan.,"Sa tanang pagkaon didto, nagtulo gyud ang laway nako.","Bisan wala pa niya makuha ang premyo, nagtulo na daan ang iyang laway."
Wala’y buot,Negated nominal clause,Bogo o walay hinungdan nga pagbati o hunahuna.,Walay igong pagsabot o pagkat-on.,B2,"daily speech, family, workplace","colloquial, critical",Panglantaw sa mga ginikanan sa mga bata nga walay tarong nga pangisip o disiplina.,ˈwalaʔj ˈbuʔot,"Ayaw nang isugo si Nilo, wala gyud na’y buot.","Nagbinuang ra man to siya, mura’g wala’y buot.","Ang bata nga dili makasabut, ingnon dayon nga wala’y buot."
Gikapoy ang uwak,Passive voice clause,Pagka-wala'y kusog human sa taas nga paningkamot o kalihokan.,Gikapoy siya kaayo human sa daghang gibuhat.,B2,"daily speech, humor, family","colloquial, poetic, humorous",Gikan sa mga istoryang bayolente nga nagpahulay ang langgam pagkahuman og daghang kalihokan.,ɡiˈkapoj ʔaŋ ʔuˈwak,"Pagkahuman sa tanang trabaho, gikapoy gyud ang uwak.","Bisag usa pa ko ka-adlaw magpahuway, gikapoy gihapon ang uwak.",Gibati na pud nako nga gikapoy ang uwak karon.
Murag nakakita og multo,Simile construction with aspectual marker,Nahadlok pag-ayo o nabalaka nga murag nakurat.,Nahadlok siya kaayo.,A2,"daily speech, humor, fear","colloquial, expressive",Gikan sa kahadlok nga dala sa lokal nga mga sugilanon bahin sa mga kalag.,ˈmuɾaʔ ˈnakaˈkita ʔoɡ ˈmul.to,"Pag-abli sa pultahan, mura siya'g nakakita og multo.",Niuban ra mi niya kay mura ra pud mig nakakita og multo.,"Pagkahibaw niya sa balita, iyang dagway mura og nakakita og multo."
Nagpataka og sulti,Reflexive verb phrase with object,Pagpanulti nga walay hinungdan o walay pamalandong.,Wala siya maghunahuna sa iyang gisulti.,B1,"daily speech, politics, online forums","colloquial, critical",Gigamit sa kasangkaran aron sa pagsaway sa mga bakakon o wlay klaro nga tawo.,naɡpaˈtaka ʔoɡ ˈsulti,"Nagpataka ra man ka og sulti, walay basehan.","Ayaw patakag sulti, kahibalo ka nga sayop ka.","Sa miting, murag nagpataka ra siya og sulti."
Itlog nga walay sulod,Nominal phrase with negation,Tawo nga walay hinungdan o walay sulod nga hunahuna.,Walay sulod ang iyang mga ideya.,C1,"politics, humor, workplace","colloquial, sarcastic",Gikan sa obserbasyon sa itlog nga walay sisiw o walay gamit.,ˈit.loɡ ˈŋa ˈwalaʔj suˈlod,Gisaway siya nga murag itlog nga walay sulod.,"Sige lang siyag estorya, pero itlog nga walay sulod man diay.","Ang lider ba, itlog nga walay sulod kuno."
Naunsa na pud ka?,Interrogative clause with aspectual marker,Pagpahayag sa kalibog o kasuko sa gibuhat sa usa ka tawo.,Unsa na pud imong gibuhat?,A2,"daily speech, family, informal","colloquial, ironic",Gigamit sa kadaghanan nga ginikanan ug maguwang nga nakapansin sa sayop sa ubang tawo.,naʔˈunsa na pud ka,Naunsa na pud ka nga guba na ang radyo?,Naunsa na pud ka nga nanghilabot napud ka diha?,"Naunsa na pud ka, nalingaw ka sa kagubot?"
Luwas sa mata sa unos,Prepositional phrase,Wala maapektuhi sa kalisod o kadaot.,Nakaluwas siya sa peligro.,C2,"literature, politics, spiritual contexts","literary, poetic",Gikan sa panultihon sa mga mangingisda nga nakasuway og bagyo.,luˈwas sa ˈmata sa ʔuˈnos,"Bisan grabe ang krisis, luwas siya sa mata sa unos.",Ang pamilya ni Andres luwas sa mata sa unos sa kagubot.,Ang simbahan mipatigbabaw ug luwas sa mata sa unos.
Lami pa sa lami,Comparative reduplication,Pagpasabot sa hilabihan ka lami o makapahimuot nga butang.,Pinakalami gayud kini.,B1,"food, humor, daily speech","colloquial, expressive",Pagpahimugos sa kasanag sa pagkaon o sitwasyon.,ˈla.mi ʔpa sa ˈla.mi,"Ang lechon sa iyang lola, lami pa sa lami.",Lami pa sa lami ang ilang gisa nga hipon.,"Pagtilaw nako, nakaingon gyud ko nga lami pa sa lami."
Gisud-an sa kalayo,Passive phrase,"Gipaningot, giatake o gikasaban sa kasuko.",Nasuko siya ug ayo o gipaningot tungod sa tensyon.,C1,"daily speech, family, anger","colloquial, poetic, intense",Gigamit sa mga kasinatian sa mga ginikanan nga masuko.,ɡiˈsud.ʔan sa kaˈlaj.o,"Pagdawat niya sa bill, mura siyag gisud-an sa kalayo.","Gikasaban siya ug maayo, gisud-an sa kalayo iyang nawong.","Naghilom lang siya, pero klaro nga gisud-an sa kalayo."
