Idiom (Dzongkha),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dzongkha)",First Example Sentence,Second Example Sentence,Third Example Sentence
མོ་མོ་རྩིས་འབུལ་,"Fixed clause, imperative",To put effort into a hopeless situation,Trying something despite knowing it will fail,C1,"Humor, sarcasm, daily speech","Colloquial, sarcastic",Common in rural settings when someone keeps attempting difficult manual tasks,/moː moː tsʰiː bul/,ཁྱོད་ཀྱིས་ལག་ལེན་འདི་མོ་མོ་རྩིས་འབུལ་མ་འདུག།,དེ་ནས་མི་ལས་འགྲོ་མི་ཚུལ་གཅིག་མོ་མོ་རྩིས་འབུལ་རུང་བསམ་གི་འདུག།,གྱོན་མོ་ལ་སྣང་མེད་ཀྱི་སྐབས་ལ་མོ་མོ་རྩིས་འབུལ་དུས་ཡོད།
མཚན་མོ་ལ་གློག་གི་མི་འབུལ།,"Fixed temporal clause, metaphorical",Trying to do something useless or inappropriate at the wrong time,Doing something pointless or poorly timed,B2,"Humor, sarcasm, workplace","Colloquial, ironic",Refers to the impracticality of offering electricity during blackout nights,/mt͡sʰɛ̃ moː la ɡl̥ok̚ gi miː bul/,གནམ་གྲུ་འཕྲུལ་འཁོར་གྱི་རེ་བ་མཚན་མོ་ལ་གློག་གི་མི་འབུལ་ཡོད།,རང་ཉིད་མི་འབྱོར་མེད་ནའི་བརྗེ་འཕྲུལ་འཚོལ་མཚམས་མཐུན་མེད།,ཁོང་གིས་གནས་ཚུལ་མ་ཤེས་ནས་མཚན་མོ་ལ་གློག་འབུལ་ནུས།
རྩེ་མོ་ལ་རྣམ་རོལ་བྱུང་།,Subject + locative + resultative,To be publicly exposed or embarrassed,To be found out or humiliated,C1,"Politics, workplace, media","Formal, literary",From classical poetry implying peak exposure,/t͡se moː la nam rol ʨʰuŋ/,ཁོང་གི་གསང་བ་རྩེ་མོ་ལ་རྣམ་རོལ་བྱུང་སོང་།,གསལ་བསྒྲགས་ཀྱི་ཐོག་ལས་མ་བཀོལ་ན་རྩེ་མོ་ལ་རྣམ་རོལ་འབྱུང་།,བསྐུར་བ་ལས་སྐབས་འདི་རྩེ་མོ་ལ་རྣམ་རོལ་གྱི་རེད།
རྐང་པ་གཅིག་ལ་གཉིས་འཁོར།,Noun phrase + parallel action,One person trying to do two hard tasks at once,Multitasking beyond one's capacity,B1,"Family, workplace","Colloquial, humorous",Based on the difficulty of walking with one leg in two directions,/kʰaŋ pa ʨi la ɡɲiː kʰor/,ཁྱོད་རྐང་པ་གཅིག་ལ་གཉིས་འཁོར་དུས་མི་ལེགས་པ་ཡིན།,ཁོང་གི་འགན་ཐག་དེ་རྐང་པ་གཅིག་ལ་གཉིས་འཁོར་བ་མཚམས་མཐུན་མེད།,ལས་ཀ་གཉིས་གཅིག་ཁར་བྱས་ནས་རྐང་པ་གཅིག་ལ་གཉིས་འཁོར་བརྒྱབ་ནུས།
མི་མང་བ་མེད་པར་སྣ་འཛིན་བྱུང་།,Causal clause + passive result,To receive blame despite no wrongdoing,Being falsely accused or blamed,C2,"Politics, sarcasm, debate","Ironic, formal",Common in community disputes where one is scapegoated,/mi maŋ ba meː par na ʈsin ʨʰuŋ/,ཁོང་གིས་མ་བྱས་ཀྱི་རྒྱུ་ལས་མི་མང་བ་མེད་པར་སྣ་འཛིན་བྱུང་།,ལས་ཁུངས་ནས་ཁྱོད་ཀྱིས་མི་མང་བ་མེད་པར་གྲོས་མཐུན་ལྡན་པ་ལ་སྣ་འཛིན་བྱུང་།,དེ་གསར་བར་བསྐུར་བ་ལས་ཁུངས་ལ་མི་མང་བ་མེད་པར་སྣ་འཛིན་བྱུང་ནུས།
མོ་མོ་ལྟ་བུ་གཅིག་རེད།,Simile with topic marker,Exactly the same in nature or behavior (usually said with sarcasm),Just like that (in a dismissive way),A2,"Daily speech, family, sarcasm","Colloquial, dismissive","Used in informal contexts, often about annoying or repeated behaviors",/moː moː taː bu ʨi reː/,ཁོང་གི་ལྟ་བ་མོ་མོ་ལྟ་བུ་གཅིག་རེད།,བཟང་པོ་ཡིན་ཟེར་ནས་བྱས་ན་མོ་མོ་ལྟ་བུ་གཅིག་རེད།,མི་སྟོབས་ཀྱི་རྒྱུ་ཚུལ་མོ་མོ་ལྟ་བུ་གཅིག་རེད་ནུས།
མི་བསྟན་ནས་རྒྱུན་འཛིན་མི་བྱུང་།,Conditional clause + negative result,"Without discipline, consistency cannot be maintained",No discipline means no progress,B2,"Education, workplace, literature","Formal, advisory",Often cited in schools and monastic education,/mi ten nɛː ɡʲyn ʈsin mi ʨʰuŋ/,སློབ་ཕྲུག་ཚུ་ལ་མི་བསྟན་ནས་རྒྱུན་འཛིན་མི་བྱུང་ཞིག་གསལ་བའི་དཔེ་ཡིན།,གསོ་སྐྱོང་ལམ་ལ་མི་བསྟན་ནས་རྒྱུན་འཛིན་མི་འཐུག་པ་འདུག།,ལས་ཀ་ནང་མི་བསྟན་ནས་རྒྱུན་འཛིན་མི་བྱུང་ནུས།
སྐུ་མདོག་དེ་བརྟན་པ་མིན་པའི་སྐབས།,Descriptive clause with temporal suffix,At a time when appearances are deceptive,When looks are misleading,B2,"Literature, advisory, caution","Formal, poetic",Originates from traditional Buddhist cautionary tales,/sku mɖɔʔ deː tɛn pa min peː kap/,སྐུ་མདོག་དེ་བརྟན་པ་མིན་པའི་སྐབས་ལ་རང་བཞིན་མ་བརྗོད་དགོས།,ཁོང་གི་ལུས་འདྲ་མིན་ཀྱི་སྟོབས་ལ་སྐུ་མདོག་དེ་བརྟན་པ་མིན་བསམ།,མི་རབ་མེད་ན་སྐུ་མདོག་དེ་བརྟན་པ་མིན་པའི་སྐབས་ཡིན།
ཁ་སྐོང་བྱུང་ནས་ལྕགས་རྫས་སེར་མོ་སྤོང་།,Compound clause with ablative + consequence,Overcompensating for a small mistake with an extreme action,Throwing the baby out with the bathwater,C2,"Sarcasm, commentary, legal speech","Ironic, formal",Traditional metaphors for injustice in dispute resolution,/kʰa koŋ ʨʰuŋ ne ser mo spon/,ཁ་སྐོང་བྱུང་ནས་ལྕགས་རྫས་སེར་མོ་སྤོང་དུས་ལེགས་པ་མེད།,སྤྱིར་བཏང་དེ་ཁ་སྐོང་ལ་མཁས་པ་མིན་ནས་སེར་མོ་སྤོང་བྱས།,བཀའ་མཛད་གཏོང་བའི་ཐབས་ལ་ཁ་སྐོང་ནས་སེར་མོ་སྤོང་ནུས།
མི་གཡོག་འབབ་ལས་བྱས་པ།,Agentive clause with causative verb,A task done inefficiently or clumsily,A botched job,B1,"Workplace, critique, family","Colloquial, critical",Originates from idiomatic descriptions of poor craftsmanship,/mi ɡʲokʰ ab le ʨʰɛ pa/,ཁྱོད་ཀྱིས་བྱས་ན་མི་གཡོག་འབབ་ལས་བྱས་པ་མི་ལེགས།,ལས་འགན་འདི་མི་གཡོག་འབབ་ལས་བྱས་པ་ཡིན་འདུག།,གཙོ་བོ་མེད་ན་མི་གཡོག་འབབ་ལས་བྱུང་ནུས།
