Idiom (Amazigh),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Amazigh)",First Example Sentence,Second Example Sentence,Third Example Sentence
ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⴳⵔⴰ ⵜⴰⵏⴼⵓⴷⵜ,Noun phrase + adjective (metaphorical),A person who looks gentle but is cunning underneath,Someone who seems harmless but is actually clever,C1,"family, politics, humor","ironic, colloquial",Southern Morocco; traditional reference to deceptive softness,tamaziɣt taɣra tanfudt,"ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⴳⵔⴰ ⵜⴰⵏⴼⵓⴷⵜ, ⵣⵔⵉ ⵉⴷ ⵏⵉⵏ ⴰⴼⵓⵔ ⵙ ⵜⵓⵏⵉⵎⴻⵏ.",ⴰⵣⵣⴰⵍ ⵜⵉⴼⴻⵍ ⵙ ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⴳⵔⴰ ⵜⴰⵏⴼⵓⴷⵜ ⴰⵎⴰ ⵏⴰⵎⴰⵡ.,ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⴳⵔⴰ ⵜⴰⵏⴼⵓⴷⵜ ⴰⵙⵙⴰⵎ ⵡⴰⵍⴰⵎ ⵢⴻⵍⵍⴰⵎ ⵜⵓⵔⴰⵡⴰ.
ⵉⵣⵡⵉ ⵏ ⴰⴷⵔⴰⵔ,"Verb phrase (past tense, metaphorical)",He vanished completely,He disappeared entirely,B2,"daily speech, storytelling","colloquial, poetic",Common in mountain tales of disappearance,izwi n adrar,"ⴰⵣⵡⵉⵙ ⵏ ⵉⵎⵔⴰⴽ, ⵉⵣⵡⵉ ⵏ ⴰⴷⵔⴰⵔ ⵏⴰⵡⴰⵙ ⵉⵎⴻⵣⵣⵉ.",ⵉⵣⵡⵉ ⵏ ⴰⴷⵔⴰⵔ ⴳ ⴰⵎⵓⴷⴷⵓ ⵢⵉ ⵙⵔⴰ ⴰⴷⵔⴰⵔ.,ⵏⵉⵏ ⵉⴷⵔⴰⵔ ⴰⵏⵓ ⵏⵉⵣⵡⵉ ⵏ ⴰⴷⵔⴰⵔ ⴷ ⵓⵙⵙⵓⵏⴰⵏ.
ⴰⵏⵙⴰ ⵓⵙⴻⵏ ⵏ ⵜⴰⵎⵓⵔⵜ,Noun phrase + prepositional phrase,He’s in deep trouble,He is in a difficult situation,B1,"daily speech, workplace, youth slang",colloquial,Allusion to someone caught in swampy conditions,ansa usen n tamurt,ⴰⵏⵙⴰ ⵓⵙⴻⵏ ⵏ ⵜⴰⵎⵓⵔⵜ ⵉⵙⵙⴰ ⴳ ⵉⵡⴰⵏ.,ⵉⵏⵙⴰⵏ ⵙⴻⵏ ⴰⵏⵙⴰ ⵓⵙⴻⵏ ⵏ ⵜⴰⵎⵓⵔⵜ ⴷ ⵉⵎⵔⴰⴽⵓⵏ.,"ⴰⵏⵙⴰ ⵓⵙⴻⵏ ⵏ ⵜⴰⵎⵓⵔⵜ, ⵉⵙⵙⴰ ⵓⵏⵏⴰ ⵏⵉⵏ ⵡⴰⵎⴰⴷⴷⴰⵔ."
ⵉⵙ ⵓⴽⵓⴽⵍ ⴳ ⴰⵣⵔⴰⵍ,Verb + prepositional phrase,He's going in circles / confused,He doesn’t know what to do,A2,"daily speech, youth slang",colloquial,Alludes to chasing one's tail like a lizard,iss ukukl g azral,ⵉⵙ ⵓⴽⵓⴽⵍ ⴳ ⴰⵣⵔⴰⵍ ⴰⵏⵓ ⴰⵣⵣⴰⵍ ⴷ ⴰⵏⴰⵎ.,ⴰⵎⵓⵙⵙⴰⵏ ⵙ ⵙⵙⴰ ⵉⵙ ⵓⴽⵓⴽⵍ ⴳ ⴰⵣⵔⴰⵍ.,ⵓⵎⵔⴰⴹ ⴷ ⵡⴰⵍⴰⵎ ⵉⵙ ⵓⴽⵓⴽⵍ ⴳ ⴰⵣⵔⴰⵍ ⵡⴰⵙ ⵎⵉⵖⴰⵡⴰⵍ.
ⴰⴷⵔⴰⵔ ⵓⵣⵓⵍ ⵙ ⵜⵉⴼⴻⵍ,Noun phrase + verb + object (active clause),The mountain gave birth to a mouse,Much effort for little result,C2,"literature, sarcasm, politics","literary, ironic",Shared with broader Afro-Asiatic tradition,adrar uzul s tifel,ⴰⴷⵔⴰⵔ ⵓⵣⵓⵍ ⵙ ⵜⵉⴼⴻⵍ ⴰⵎⴰ ⵉⵏⵓⵡⴰ ⵓⵙⴻⵏ ⵜⴰⴼⴻⴼⵓⵜ.,"ⵉⵏⴽⵍⴰⵡ ⵜⵓⴳⵓⵔⵜ, ⵓⵙⴻⵏ ⴰⴷⵔⴰⵔ ⵓⵣⵓⵍ ⵙ ⵜⵉⴼⴻⵍ.","ⴰⵎⴰ ⵢⴰⵏ ⵉⴼⴰⵍⴰⵡ, ⴰⴷⵔⴰⵔ ⵓⵣⵓⵍ ⵙ ⵜⵉⴼⴻⵍ ⵙⴻⵏ ⴰⵙⵍⵍⵓⵍ."
ⵜⵉⵔⵉ ⵏ ⴰⵎⴰⵣⵉⵖ,Noun phrase + genitive,The daughter of Tamazight (used for poetry or a noble woman),A poetic or noble Amazigh woman,B2,"poetry, literature, social praise","poetic, formal",Used in oral poetry and praise songs,tiri n tamaziɣt,ⵜⵉⵔⵉ ⵏ ⴰⵎⴰⵣⵉⵖ ⵓⵙⴻⵏ ⵜⵓⵙⴰⵏⵜ ⵏ ⴰⵎⴰⵣⵓⵖ.,ⴰⵎⴰⵣⵉⵖ ⵢⴰⵏ ⵜⵉⵔⵉ ⵏ ⴰⵎⴰⵣⵉⵖ ⴳ ⵉⵖⵍⵉⵍⵉⵢⵏ.,ⵜⵉⵔⵉ ⵏ ⴰⵎⴰⵣⵉⵖ ⵉⵎⵣⵡⵉⵍ ⴰⵎⵎⵓⴹ ⴷ ⵓⵔⴰⵙⴳ.
ⴰⴳⵍⴰⵙ ⵏ ⵜⴰⵎⵎⴰⵔⵜ,Noun + genitive phrase,A sharp tongue,Someone who speaks harshly or critically,B2,"family, humor, arguments","colloquial, sarcastic",Known across central High Atlas region,aglas n tammart,ⴰⴳⵍⴰⵙ ⵏ ⵜⴰⵎⵎⴰⵔⵜ ⵉⵙⴻⵏ ⴰⴷⵔⴰⵔ ⵏⴰⵡⴰⵙ.,ⵉⵡⴰⵙ ⴰⴳⵍⴰⵙ ⵏ ⵜⴰⵎⵎⴰⵔⵜ ⴰⵎⴰ ⴰⵙⴷⴰⴷⵍ.,ⴰⴳⵍⴰⵙ ⵏ ⵜⴰⵎⵎⴰⵔⵜ ⵉⵣⵣⴰⵍ ⴰⵏⵓ ⵏⵉⵎⵍⵍⴰⵡ.
ⵉⵙ ⵓⵏⵏⵓ ⴳ ⵜⵉⵍⵉⵣⵣⵓⵍ,Verb + prepositional phrase,He is caught in a lie,He was exposed for dishonesty,C1,"sarcasm, argument, politics","sarcastic, formal",Describes traps in desert logic games,iss unnu g tilizzul,ⵉⵙ ⵓⵏⵏⵓ ⴳ ⵜⵉⵍⵉⵣⵣⵓⵍ ⴰⵙⵉⵏ ⵡⴰⵎⴰⴷⴷⴰⵔ.,"ⵉⵎⵓⴹ ⴰⵏⵓ, ⵉⵙ ⵓⵏⵏⵓ ⴳ ⵜⵉⵍⵉⵣⵣⵓⵍ ⵉⵙ ⵓⵔⴰ ⵉⵎⴰⵡⵉ.",ⴰⵙ ⴳ ⵜⵉⵍⵉⵣⵣⵓⵍ ⵏⴰⵎⴰ ⵉⵙ ⵓⵏⵏⵓ ⴷ ⵉⵔⴰⴹ.
ⵉⴷ ⴰⴷⵔⴰⵔ ⵉⵣⵣⴰⵍ,Verb + noun (metaphorical),He moved mountains,He achieved the impossible,C2,"formal speech, motivation, literature","poetic, inspirational",Inspired by heroic epics of resistance,id adrar izzal,ⵉⴷ ⴰⴷⵔⴰⵔ ⵉⵣⵣⴰⵍ ⵙⴻⵏ ⴰⴷ ⵉⵎⵎⵓⵔ ⵏ ⵉⵣⵉⵏ.,"ⵢⴰⵏ ⵉⴷ ⴰⴷⵔⴰⵔ ⵉⵣⵣⴰⵍ, ⵉⵙ ⵓⵎⴰⵡⵉ ⵙ ⵜⵉⵣⵉⵏⵉ.",ⵉⴷ ⴰⴷⵔⴰⵔ ⵉⵣⵣⴰⵍ ⴰⵙⵙⴰⵎ ⴰⵙ ⵉⵙⴰⵏ.
