Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin,IPA,First Example Sentence,Second Example Sentence,Third Example Sentence
"Bang dayn in dagat, maglawm in pangandoy",Compound metaphorical clause,"Naglalahad na habang lumalawak ang karanasan, lumalalim ang pagnanais",Lumalaki ang ambisyon habang tumatagal,C1,"literature, reflection, advice",poetic,Rooted in seafaring Tausug worldview,/baŋ dajn ʔin dagaʔ mag.lawm ʔin paŋandɔj/,"Bang dayn in dagat, maglawm in pangandoy sin tao.","Sabab sin iya mga naagian, bang dayn in dagat, maglawm in pangandoy niya.","Ini nga pulong nagpapahinumdom: bang dayn in dagat, maglawm in pangandoy."
In dila may lason,Simple declarative clause,Ang salita maaaring makasakit kahit walang pisikal na pananakit,Makasakit ang sinasabi,B2,"daily speech, conflict",colloquial,Common Tausug warning about speech,/ʔin dila maj lasɔn/,Ayaw pag-ingon kay in dila may lason.,Nakasakit hiya kay in dila niya may lason.,"Maghinay-hinay kaw, kay in dila may lason."
Parang ulan in kapalaran,Simile structure,Ang kapalaran ay pabago-bago at hindi tiyak,Hindi tiyak ang buhay,B1,"philosophy, daily speech",poetic,Rain as metaphor in island climate,/paraŋ ʔulan ʔin kapalaran/,"Parang ulan in kapalaran, indi mo masabtan.","Ha kinabuhi, parang ulan in kapalaran.",Ini nga kahimtangan parang ulan in kapalaran.
In tao way ugat,Nominal clause,Tumutukoy sa taong walang pinanggalingan o prinsipyo,Walang pinanggalingan o prinsipyo,B2,"criticism, social",colloquial,Refers to importance of lineage,/ʔin tao waj ʔugat/,Indi ka dapat maging tao way ugat.,In iba parang tao way ugat kay wala prinsipyo.,"Ayaw pagkalimot sin imo asal, indi kaw tao way ugat."
"In kusog bukun ha lawas, ha kabarakat",Contrastive clause,"Ang tunay na lakas ay nasa kalooban, hindi sa katawan",Ang lakas ay nasa loob,B2,"motivation, advice",proverbial,Islamic-influenced moral teaching,/ʔin kusog bukun ha lawas ha kabarakat/,"In kusog bukun ha lawas, ha kabarakat sin tao.","Maskin mahina hiya, in kusog bukun ha lawas.","Tunay nga in kusog bukun ha lawas, ha kabarakat."
Naglalang sin hangin,Verb phrase idiom,Gumagawa ng walang kabuluhan o nagsasayang ng oras,Nagsasayang ng oras,A2,daily speech,informal,Common humorous idiom,/nag.lalaŋ sin haŋin/,Ayaw kaw naglalang sin hangin.,Imo trabaho puro naglalang sin hangin.,Indi kita mag-usik oras naglalang sin hangin.
In mata indi bulag pero indi kita,Complex clause,May kakayahan pero pinipiling hindi makita ang katotohanan,Nagbubulag-bulagan,C1,"criticism, politics",ironic,Used in political commentary,/ʔin mata ʔindi bulaɡ pɛrɔ ʔindi kita/,In mata indi bulag pero indi kita hiya ha kamatuuran.,Parang in mata niya indi bulag pero indi kita.,"Ini nga lider, in mata indi bulag pero indi kita."
Bang puthaw in kasingkasing,Simile,Matigas ang puso o walang awa,Walang awa,B1,"emotion, storytelling",dramatic,Derived from warrior culture,/baŋ puthaʊ ʔin kasiŋkasiŋ/,Bang puthaw in kasingkasing niya.,Indi hiya naluoy kay bang puthaw in kasingkasing.,"Sa iya batasan, bang puthaw in kasingkasing."
In kinabuhi parang ligid,Simile,"Ang buhay ay paikot-ikot, may taas at baba",Paikot-ikot ang buhay,A2,"daily speech, philosophy",colloquial,Wheel metaphor from trade culture,/ʔin kinabuhi paraŋ liɡid/,"In kinabuhi parang ligid, usahay taas usahay ubos.","Sabra sin kalisod, hinumdumi in kinabuhi parang ligid.","Ayaw kaw mawawalan paglaum, in kinabuhi parang ligid."
Nalunod ha kaugalingon nga hunahuna,Reflexive metaphor,Labis na pag-iisip na nakakasama sa sarili,Overthinking,B2,"mental health, reflection",modern,Contemporary Tausug usage,/nalunɔd ha kaʊɡaliŋɔn ŋa hunahuna/,Nalunod hiya ha kaugalingon nga hunahuna.,"Bang sobra na in pag-isip, nalulunod kaw ha hunahuna.",Ayaw pagpalabi kay malunod kaw ha kaugalingon nga hunahuna.
