Idiom (Castilian Spanish),Syntactic Structure & Grammatical Form,Figurative Meaning (Castilian Spanish),Non-Idiomatic Equivalent in Castilian Spanish,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Castilian Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar en Babia,Fixed prepositional phrase with copulative verb,"Estar distraído o absorto, sin prestar atención a lo que ocurre alrededor.",Estar distraído o no prestar atención,B1,"daily speech, humor, literature","informal, whimsical","Refers to the region of Babia in León, historically a retreat for royalty, suggesting absent-mindedness.",[esˈtaɾ em ˈba.βja],"Perdona, ¿qué decías? Estaba en Babia pensando en mis vacaciones.",El profesor me pilló en Babia y me pidió que repitiera la pregunta.,Siempre estás en Babia cuando hablamos de cosas importantes.
Dar calabazas,Fixed verbal phrase with direct object,Rechazar una propuesta amorosa o suspender a alguien en un examen.,Rechazar a alguien o suspender en un examen,B2,"romantic rejection, education, humor","colloquial, humorous",Linked to old university customs; 'calabaza' as a symbol of academic failure or rejection.,[daɾ ka.laˈβa.θas],"Le declaró su amor, pero ella le dio calabazas sin dudarlo.","El examen me fue fatal, seguro que me dan calabazas.",No sé cómo decirle que no me interesa sin darle calabazas.
Tener más cara que espalda,Comparative idiomatic phrase,Ser descarado o tener mucha desfachatez.,Ser muy atrevido o descarado,B2,"daily speech, workplace, sarcasm","colloquial, sarcastic","Reflects Spanish wit, comparing shamelessness with anatomy humorously.",[teˈneɾ mas ˈka.ɾa ke esˈpal.da],Ese tipo tiene más cara que espalda: llegó tarde y encima pidió un café.,Me pidió dinero sin saludar. ¡Tiene más cara que espalda!,No te lo vas a creer: se presentó sin invitación. ¡Menuda cara!
Montar un pollo,Fixed verbal phrase with indefinite object,"Armar un escándalo o alboroto, especialmente en público.",Hacer una escena o protestar de forma exagerada,B1,"daily speech, family, workplace, sarcasm","colloquial, critical",Possibly from market scenes involving poultry chaos or rural slang.,[monˈtaɾ um ˈpo.ʎo],Montó un pollo en el restaurante porque se equivocaron con su pedido.,"No montes un pollo por tonterías, por favor.","Cada vez que discutimos, monta un pollo delante de todo el mundo."
Ser la leche,Nominal predicate with copulative verb,"Ser extraordinario, tanto en sentido positivo como negativo.",Ser increíble o asombroso,C1,"daily speech, humor, youth slang","informal, emphatic","The word 'leche' in Spanish slang can intensify meaning, with regional variance.",[seɾ la ˈle.tʃe],¡Esa película fue la leche! No paré de reír.,Ese tío es la leche: llega tarde y se va el primero.,"Este ordenador nuevo es la leche, va rapidísimo."
Quedarse de piedra,Pronominal verb with prepositional complement,"Quedarse muy sorprendido o impactado, sin reacción.",Quedarse muy sorprendido o paralizado,B2,"daily speech, news, drama","neutral, expressive","Evokes mythological imagery (e.g., Medusa turning to stone) and strong surprise.",[keˈdaɾ.se ðe ˈpje.ðɾa],Me quedé de piedra cuando me dijo que se casaba.,Se quedó de piedra al ver la cuenta del restaurante.,Nos quedamos de piedra con la noticia del despido.
Irse por los cerros de Úbeda,Pronominal verb with directional phrase,Desviarse del tema principal en una conversación.,Hablar de algo que no tiene relación con el tema,C1,"literature, formal speech, politics","formal, ironic","Refers to a historical anecdote during the Reconquista, linked to military distraction.",[ˈiɾ.se poɾ los ˈθe.rros ðe ˈu.βe.ða],"Cuando le pregunté por su proyecto, se fue por los cerros de Úbeda.",El político se fue por los cerros de Úbeda para evitar responder.,No te vayas por los cerros de Úbeda y contesta la pregunta.
Tirar la casa por la ventana,Infinitival verbal phrase,Gastar mucho dinero en una ocasión especial.,Gastar sin medida,B2,"celebrations, family, economy","neutral, celebratory",Originates from Spanish lotteries and festive overindulgence.,[tiˈɾaɾ la ˈka.sa poɾ la βenˈta.na],Tiraron la casa por la ventana en su boda.,Este año hemos tirado la casa por la ventana con los regalos.,"Cada Navidad, mi madre tira la casa por la ventana cocinando."
Estar como una cabra,Simile with copulative verb,Estar loco o comportarse de forma extravagante.,Estar un poco loco,B1,"humor, daily speech, youth culture","informal, humorous",Goats' erratic behavior inspired this idiom’s colorful imagery.,[esˈtaɾ ˈko.mo u.na ˈka.βɾa],"Esa chica está como una cabra, ¡subió a la fuente a bailar!","Mi tío está como una cabra, siempre hace locuras.",¿Te has tatuado la cara? ¡Estás como una cabra!
Ser un manitas,Nominal phrase with indefinite article,Ser hábil con las manos para reparar o construir cosas.,Ser habilidoso o tener destreza manual,A2,"daily speech, household, workplace","colloquial, admiring",Diminutive 'manitas' implies affection and skill with hands.,[seɾ un maˈni.tas],"Juan es un manitas, arregló el grifo en diez minutos.","Si tienes problemas con la lámpara, llama a Pedro, que es un manitas.","Eres un manitas con la carpintería, te quedó perfecto."
