Idiom (Georgian),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Georgian)",First Example Sentence,Second Example Sentence,Third Example Sentence
თითზე ჩამოსათვლელი,ფიქსირებული ზედსართავი გამოხატულება,ძალიან იშვიათი ან მცირე რაოდენობის,ძალიან ცოტაა,B1,"დღიური საუბარი, სტატისტიკა, მიმოხილვა","ზოგადი, ნეიტრალური","მეტყველების ბუნებრივი სტილი, საყოველთაოდ გავრცელებული",tʰitʰze tʃʼamosɑtʰvlɛli (თითზე ჩამოსათვლელი),ასეთი კეთილი ადამიანები თითზე ჩამოსათვლელები არიან.,შესანიშნავი ღვინოები ამ რეგიონში თითზე ჩამოსათვლელია.,მისნაირი პროფესიონალები თითზე ჩამოსათვლელია მთელ ქვეყანაში.
ჭკუა არ მოუკლია,"უარყოფითი ფორმა, არაპირდაპირი შეფასება",სულელურად მოიქცა ან ნაკლებად გონიერი გადაწყვეტილება მიიღო,გონივრულად არ მოიქცა,B2,"საუბარი, იუმორი, კრიტიკა","ირონიული, კოლოქვიური",სამეგრელოს რეგიონის იუმორისტული მეტყველება,tʃʼkʼuɑ ɑr mʊɔkʼliɑ (ჭკუა არ მოუკლია),"ეს რომ გააკეთა, ჭკუა აშკარად არ მოუკლია.","ისეთი მანქანა იყიდა, ჭკუა არ მოუკლია ნამდვილად.","ამ საქმეში ასე რომ მოიქცა, ჭკუა არ მოუკლია."
სისხლი გაუყინა,პირდაპირი მოქმედებითი ფორმა,ძალიან შეაშინა ან შეძრა,ძალიან შეაშინა,C1,"ლიტერატურა, თრილერი, ემოციური საუბარი","პოეტური, დრამატული",ქართული თხრობითი ტრადიციები,sisχli ɡɑʊqʼinɑ (სისხლი გაუყინა),ამ ამბავმა მას სისხლი გაუყინა.,მოულოდნელმა ხმაურმა სისხლი გაუყინა.,"ფილმმა ისეთი შთაბეჭდილება მოახდინა, სისხლი გაუყინა."
ცხარე პილპილი შეჭამა,"წარმოადგენელი ფრაზა, მოქმედებითი ფორმა",ძალიან გაბრაზდა ან გამწარდა,გააღიზიანდა,B2,"ხუმრობა, ყოველდღიური საუბარი","იუმორისტული, მსუბუქი",კახური ლექსიკა და იუმორი,tsχɑrɛ pilpili ʃɛtʃʼɑmɑ (ცხარე პილპილი შეჭამა),"როცა ასე უთხრეს, ცხარე პილპილი შეჭამა.","ცხარე პილპილი შეჭამა, როცა ხუმრობით დასცინეს.","მისი რეაქცია აშკარად აჩვენებდა, რომ ცხარე პილპილი შეჭამა."
თხა ძაღლს გაუშვა,"მითიური სტრუქტურა, მოქმედებითი",უპასუხისმგებლოდ მოიქცა,უპასუხისმგებლო ქმედება,C1,"საზოგადოებრივი კრიტიკა, პოლიტიკური ლექსიკა","ირონიული, სატირული",ძველი ზღაპრებიდან და ანდაზებიდან მომდინარე,tʰχɑ dzɑɣls ɡɑʊʃvɑ (თხა ძაღლს გაუშვა),"ასეთ თანამდებობაზე რომ დანიშნა, თხა ძაღლს გაუშვა.","თუ ამ კომპანიას მიხედავს, თხა ძაღლს გაუშვია.","ქაოსური შედეგი აჩვენებს, რომ თხა ძაღლს გაუშვეს."
ძმაკაცური ქუდი დაიხურა,"მეტაფორა, მოქმედებითი ფორმა","დაიკავა პოზიცია, რომელიც მეგობრობის გავლენით მიღწია",მეგობრის დახმარებით მიიღო რაიმე პოზიცია,C1,"სოციალური კომენტარი, პოლიტიკური რეალობა","სატირული, იუმორისტული","თანამედროვე თბილისური ენა, სატირული მეტყველება",dzmɑkʼɑtsʼuri kʼudi dɑixurɑ (ძმაკაცური ქუდი დაიხურა),"არც განათლება ჰქონდა და არც გამოცდილება, მაგრამ ძმაკაცური ქუდი დაიხურა.",ბოლოს კიდევ ერთი ძმაკაცური ქუდი დაიხურა ჩვენს სამინისტროში.,"ამ ქვეყანაში ძმაკაცური ქუდი უფრო მუშაობს, ვიდრე დიპლომი."
ხაშლამა აადუღა,"მოქმედებითი სტრუქტურა, ირონიული ლექსიკა","მოთმინება დაკარგა, განრისხდა",ძალიან გაბრაზდა,B2,"დღიური საუბარი, იუმორი, ოჯახური კონტექსტი","კოლოქვიური, იუმორისტული",კახური სამზარეულო და მეტაფორა,χɑʃlɑmɑ ɑɑdʊɣɑ (ხაშლამა აადუღა),"შვილებმა ისეთი არეულობა მოაწყეს, დედამ ხაშლამა აადუღა.","ყოველთვის მშვიდია, მაგრამ დღეს ხაშლამა აადუღა.",მეზობლის ქცევამ ხაშლამა აადუღა ყველას.
ძალა ეყო სიმართლე ეთქვა,"რთული ნაწარმოები, სუბიექტ-ობიექტური თანხვედრა",მამაცურად სიმართლე თქვა,"სიმართლე თქვა, მიუხედავად სირთულისა",C2,"ლიტერატურა, საჯარო გამოსვლა","სერიოზული, მორალური",მატიანეების ენა და ეთიკა,dzɑlɑ ɛqʼɔ simɑrtʰlɛ ɛtʰkʰvɑ (ძალა ეყო სიმართლე ეთქვა),"საშიში იყო, მაგრამ მას ძალა ეყო სიმართლე ეთქვა.",ყველას არ ჰყოფნის ძალა სიმართლე თქვას.,მხოლოდ გამბედავებს ძალა ეყოფათ სიმართლე ეთქვათ.
თავი ქუდში აქვს ჩადებული,"ფიქსირებული მეტაფორა, მოქმედებითი ფორმა","თავადშია დარწმუნებული, უსაფრთხოდ გრძნობს თავს",შეიძლება მშვიდად იყოს,B1,"დაიჯესტი, საუბარი, სიახლე","ზოგადი, ნეიტრალური",საომარი დროიდან მომდინარე მეტაფორა,tʰɑvi kʼʊtʰʃi ɑqʼvs tʃʼɑdɛbʊli (თავი ქუდში აქვს ჩადებული),ფული იშოვა და თავი ქუდში აქვს ჩადებული.,ამ სამსახურში თავი ქუდში აქვს ჩადებული.,"ისე აწყნარდა, თავი ქუდში აქვს ჩადებული."
სხვისი ჭირი ღობეს ჩხირი,"შედარებითი, ორმაგი სტრუქტურა",სხვისი ტკივილი მისთვის უმნიშვნელოა,არ აინტერესებს სხვისი პრობლემები,C1,"საზოგადოებრივი, ირონია, მორალური კრიტიკა","ირონიული, თარგმნადი ანდაზა",ძველი ქართული ანდაზების საფუძველზე,sxvisɪ tʃʼiri ɣɔbɛs tʃʼχiri (სხვისი ჭირი ღობეს ჩხირი),სხვისი ჭირი ღობეს ჩხირი — ასე ფიქრობს ეს კაცი.,ნაცნობების პრობლემებზე ყოველთვის ამბობს: სხვისი ჭირი ღობეს ჩხირი.,"მისი დამოკიდებულება აშკარად აჩვენებს, რომ სხვისი ჭირი ღობეს ჩხირია მისთვის."
