Idiom (Kazakh),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kazakh)",First Example Sentence,Second Example Sentence,Third Example Sentence
Төбесі көкке жетті,Фиксацияланған етістік тіркесі (метафоралық мағынада),"Қатты қуанды, ерекше шаттық сезіміне бөленді",Қатты қуанды,B1,"Күнделікті сөйлеу, отбасылық жағдайлар, достар арасында","Күнделікті, бейтарап","Көк — аспан, ежелгі түркілік дүниетанымда қуаныш, аспанмен байланысқан",[tœbʲesi kɵkˈkʲe ʒetˈtɪ],Баламның диплом алғанын естігенде төбем көкке жетті.,Мектепке алғаш барғанда төбесі көкке жеткендей болды.,Ұзақ күттірген жаңалықты естігенде төбем көкке жетті.
Жүрегі тас төбесіне шықты,"Етістік тіркес, идиомалық құрылым",Қатты қорықты немесе алаңдады,Қатты қорықты,B2,"Драмалық жағдайлар, отбасылық ахуал, әдебиет","Көркем әдеби, эмоциялық","Қазақ әдебиетінде қолданылған ежелгі идиома, жүрек пен тас метафорасы",[ʒʏrʲɛɡɪ tɑs tœbʲɛsɪnɛ ʃɯqˈtɯ],Баланы көрмей қалғанда жүрегі тас төбесіне шықты.,Көлікті қатты тежегенде жүрегім тас төбеме шықты.,Апат жайлы хабарды естігенде жүрегі тас төбесіне шықты.
Құлақ аспау,"Болымсыз етістік тіркесі, сөзбе-сөз құрылым, идиомалық мағынада","Назар аудармау, тыңдамау",Назар аудармау,A2,"Жастар тілі, отбасылық қарым-қатынас, мектеп","Күнделікті, кейде ирониялық","Қазақы сөз қолданыста кең таралған, тыңдау мен немқұрайдылық арасындағы эмоциялық бояу",[qʊˈlɑq ɑsˈpɑw],Ол айтқан сөзіме құлақ аспады.,Мұғалімнің ескертуіне балалар құлақ аспады.,Ата-анасының кеңесіне құлақ аспау жастарға тән.
Қыр астында,"Фразеологиялық тіркес, бейнелі мекен пысықтауыш",Жақын арада болғалы тұрған немесе белгісіз жерде,Жақында немесе белгісіз жерде,B1,"Көркем әдебиет, философиялық әңгіме, ауыл өмірі","Әдеби, бейнелі","Қыр — дала, ауыл тіршілігінде қолданылатын кеңістіктік бейне",[qɯr ɑstɯnˈdɑ],Тағы бір таң қыр астында.,Қыр астында не жатқанын кім білсін?,Бақыт кейде қыр астында жатады.
Бетінен оты шықты,"Етістік тіркесі, бейнелі құрылым","Ұялды, беті ду етті",Қатты ұялды,B2,"Күнделікті сөйлеу, мектеп, отбасылық әңгіме","Күнделікті, эмоциялық","Ұят — қазақ мәдениетінің негізі, от — эмоция метафорасы",[bʲetʲɪnʲɛn ɔtɯ ʃɯqˈtɯ],"Сынып алдында ұрысып еді, бетінен оты шықты.","Бәрі қарап тұрғанда қателесіп, бетінен оты шықты.",Ұялғаннан бетінен оты шықты.
Ат үсті қарау,"Фразалық етістік, бейнелі тіркес","Беткей қарап шығу, үстірт қарау","Нақтылап, мұқият қарамау",C1,"Ғылыми сын, жұмыс орны, бюрократиялық қатынас","Ресми, сыншыл","Ат үсті — көшпенді тұрмыс, асығыстық бейнесі",[ɑt ʏstɪ qɑˈrɑw],Бұл жобаны ат үсті қарауға болмайды.,"Есепті ат үсті қарап, көп қателік жіберді.",Ат үсті қараған жауап қабылданбайды.
Қолы қысқа,Идиомалық сын есімді тіркес,Қаржылай мүмкіндігі жоқ немесе шектеулі,"Ақшасы аз, көмектесе алмайды",B1,"Әлеуметтік жағдай, отбасы, достық","Күнделікті, бейтарап","Қазақта қол — іс-әрекет, мүмкіндік метафорасы",[qɔˈlɯ qɯsˈqɑ],Қолы қысқа болған соң көмектесе алмады.,"Қазір қолым қысқа, кейін міндетті түрде қайтарамын.",Оның қолы қысқа екенін бәрі түсінді.
Аузын ашса жүрегі көрінеді,"Күрделі метафоралық сөйлем, шартты құрылым","Шыншыл, пәк, өтірік айтпайтын адам","Адал, шынайы адам",C1,"Әдебиет, поэзия, сыйластық","Поэтикалық, жоғары стиль","Жүрек — адалдық бейнесі, қазақ поэзиясында жиі кездеседі",[ɑwˈzɯn ɑʃˈsɑ ʒʏrʲɛˈɡʲɪ kœrʲɪnˈɪdɪ],Аузын ашса жүрегі көрінетін адамдар сирек.,Ол — аузын ашса жүрегі көрінетін жан.,Аузын ашса жүрегі көрінетін пәк ниетті досым бар.
"Астыңда су ақса, сенбеңіз",Ескерту түріндегі шартты сөйлем,"Күдіктен, сенбе, бәрі көрінгендей емес","Күмәндан, алданба",C2,"Мақал-мәтел, саясат, алдау туралы әңгімелер","Мақал түрінде, ирониялық","Су — тазалық, аққан су — өтпелі құбылыс, көрініс пен шындықтың айырмасы",[ɑstɯnˈdɑ sʊ ɑqˈsɑ sɛnˈbɛŋɪz],Бұл ұсынысқа астыңда су ақса да сенбеңіз.,Саясаткердің сөзіне астыңда су ақса да сенбе.,"Астыңда су ақса, сенбеңіз — үлкендер айтқандай."
Беті бүлк етпеді,"Фразеологизм, етістік тіркесі, болымсыз форма","Ұялмады, еш эмоция білдірмеді","Ұялмады, жайбарақат болды",B2,"Сын, мысқыл, әлеуметтік жағдайлар","Ирониялық, әдеби",Бет — сезім айнасы ретінде қабылданады,[bʲetʲɪ bʏlk ʲetˈpɛdɪ],"Ұрысып жатса да, беті бүлк етпеді.",Беті бүлк етпей өтірік айтты.,"Сын естіп тұрып, беті бүлк етпеді."
