Idiom (Tokelauan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tokelauan)",First Example Sentence,Second Example Sentence,Third Example Sentence
E lē mafai ne te tagata e tasi ke amo te motu katoa,Fixed clause; declarative structure with modal verb 'mafai',No one person can bear all responsibilities alone.,Everyone must share responsibility.,B2,"Community, leadership, workplace, family","Formal, proverbial",Traditional communal saying from Tokelau emphasizing collective duty.,e leː mafaɪ ne te taŋata e tasi ke amo te motu katoa,E masani o fakaaogā te kupu 'E lē mafai ne te tagata e tasi ke amo te motu katoa' i te fono.,"Ne fai atu te toeaina, 'E lē mafai ne te tagata e tasi ke amo te motu katoa.'","I te galuega, e manatua ne te tino katoa, e lē mafai ne te tagata e tasi ke amo te motu katoa."
E fua te niu i te fua muamua,Declarative fixed expression with comparative construction,A person’s future can often be predicted from early signs.,Early behavior shows future character.,C1,"Education, parenting, evaluation","Proverbial, reflective",Draws from the coconut tree — central in Tokelauan life — as a metaphor for growth.,e fua te niu i te fua muamua,"Ko te mātua ne fai, 'E fua te niu i te fua muamua' i te ako a te tamaiti.","E fai mālie te toeaina, 'E fua te niu i te fua muamua,' i te fono.",E fakaaoga te kupu nei ke fakamanatu ki te tāua o te ako i te fanau.
E lē fai fua te matagi e aunoa mā te galu,Conditional-like clause with prepositional complement,There is no effect without a cause.,Everything happens for a reason.,B1,"Daily speech, advice, reasoning","Philosophical, neutral","Derived from the maritime life of Tokelau, where wind and waves are intertwined.",e le fai fua te mataŋi e aunoa ma te ŋalu,"E lē fai fua te matagi e aunoa mā te galu, ko te uiga, e iai te pogai o mea katoa.","Ne fakamatala te faifeau, 'E lē fai fua te matagi e aunoa mā te galu.'","I te fono, e talia te manatu, e lē fai fua te matagi e aunoa mā te galu."
"Ko te tagata mālie, ko te tagata poto",Parallel nominal clause with copular structure,A calm person is a wise person.,Wisdom is shown in calmness.,B2,"Moral teaching, family, education","Proverbial, moralistic",Traditional Tokelauan teaching promoting humility and patience.,ko te taŋata maːlie ko te taŋata poto,"E fai mālie te mātua, 'Ko te tagata mālie, ko te tagata poto.'","Ne lagona ne au i te ekalesia, 'Ko te tagata mālie, ko te tagata poto.'","E fakamālie te fanau ki te manatu, ko te tagata mālie, ko te tagata poto."
"E mou te lā, e lē mou te manatu",Fixed parallel structure; antithetical phrase,"Time may pass, but memories remain.",Memories last even when time passes.,C1,"Poetic speech, mourning, remembrance","Poetic, solemn",Commonly used in remembrance speeches and traditional songs.,e mou te laː e le mou te manatu,"I te lotu, ne fai te faifeau, 'E mou te lā, e lē mou te manatu.'","Ne tusi te pese, 'E mou te lā, e lē mou te manatu' mō te māvae.","E mafaufau te tagata i te māvae mā te manatu, e mou te lā, e lē mou te manatu."
E iloa te tagata i tena galuega,Declarative active clause,A person is known by their work.,People are judged by what they do.,B1,"Workplace, evaluation, praise","Neutral, respectful",Reflects communal Tokelauan values on diligence and integrity.,e iloa te taŋata i tena ŋaluŋa,"Ne fai atu te pule, 'E iloa te tagata i tena galuega.'","E tāua te manatu, e iloa te tagata i tena galuega.","E masani o fakaaogā i te galuega, e iloa te tagata i tena galuega."
E lē toe fakataulaga te ika kua māvae,Negated declarative with perfective marker 'kua',What is lost cannot be regained.,You can’t undo what’s done.,B2,"Advice, loss, reflection","Philosophical, reflective",Relates to Tokelauan fishing culture and the irreversible nature of mistakes.,e le toe fakataulaga te ika kua maːvae,"Ne fai atu te toeaina, 'E lē toe fakataulaga te ika kua māvae.'","E fakaaoga i taimi o te fakanoanoa, e lē toe fakataulaga te ika kua māvae.","E manatu te tino katoa, e lē toe fakataulaga te ika kua māvae."
"Ko te vā o te tagata mā te lagi, e tasi",Nominal clause with prepositional phrase,Human and spiritual realms are deeply connected.,Humans and the heavens are one.,C2,"Spiritual, ceremonial, poetic","Spiritual, formal",Traditional belief from Tokelauan cosmology emphasizing unity between heaven and earth.,ko te vaː o te taŋata ma te laŋi e tasi,"I te lotu, ne fai atu, 'Ko te vā o te tagata mā te lagi, e tasi.'","E mafaufau te tagata ki te vā, 'Ko te vā o te tagata mā te lagi, e tasi.'","E lagona i te pese tuai, 'Ko te vā o te tagata mā te lagi, e tasi.'"
E lē māvae te alofa i te taimi,Declarative clause with negative and temporal complement,True love does not fade over time.,Love lasts forever.,B2,"Romantic, poetic, spiritual","Poetic, affectionate",Common in Tokelauan love songs and oral traditions.,e le maːvae te alofa i te taimi,"E tusi te pese, 'E lē māvae te alofa i te taimi.'","E fai mālie te mātua, 'E lē māvae te alofa i te taimi.'","E manatua ne ia, e lē māvae te alofa i te taimi."
"E fano te tagata mā te matagi, a e tu tonu te loto",Compound declarative clause with contrastive conjunction,"Though life changes, a steadfast heart remains true.","People may change, but character endures.",C1,"Philosophical, resilience, leadership","Proverbial, wise",Reflects Tokelauan seafaring heritage and the value of steadfastness.,e fano te taŋata ma te mataŋi a e tu tonu te loto,"E masani o fakaaogā, 'E fano te tagata mā te matagi, a e tu tonu te loto.'","E fai atu te toeaina, 'E fano te tagata mā te matagi, a e tu tonu te loto.'","E manatu te faifeau, 'E fano te tagata mā te matagi, a e tu tonu te loto.'"
