Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Shan)",First Example Sentence,Second Example Sentence,Third Example Sentence
ၵိၼ်ၶ้าวလၢတ်ႈလူင်,Verb phrase with metaphorical object,Speaking arrogantly without substance,ၵူၼ်းလၢတ်ႈယိုင်ႈယႂ်,B2,"Daily speech, sarcasm, politics","Colloquial, ironic",Used in Shan villages to mock boastful speakers,/kin kʰaːw laːt lɯŋ/,ၶဝ်လၢတ်ႈတႃႇလူင်လူင် တေႉတႃႇမီးၵိၼ်ၶ้าวလၢတ်ႈလူင်။,ပီႈၼွင်ႉတင်းလၢႆးမၼ်းဟူမ်ႈဝႃႈ မၼ်းၵိၼ်ၶ้าวလၢတ်ႈလူင်လႄႈ။,ယဝ်ႉၵူၼ်းၼႆႉၵိၼ်ၶ้าวလၢတ်ႈလူင် မိူၼ်ၼင်ႇမီးငိုၼ်းလၢႆ။
မိုဝ်းယาวတီၼယาว,Parallel adjectival idiom,Someone who steals or cheats habitually,ၵူၼ်းလၵ်းၶူဝ်း,B1,"Family, humor, warnings",Colloquial,Traditional phrase comparing thieves to long-handed people,/mɤː jaːw tiːn jaːw/,လုၵ်ႈၸၢႆးၼႆႉမိုဝ်းယาวတီၼယาว ယဝ်ႉတေလႆႈလူတ်း။,ၶႃႈတေႉဢမ်ႇယွမ်းၽၢၼ်ႇၵူၼ်းမိုဝ်းယาวတီၼယาว။,တီႈပွင်ႇၵၢင်ၵေႃႉၼႆႉ မီးမိုဝ်းယาวတီၼယาวလၢႆ။
ပၢၵ်ႇဝၢၼ်ႇၸႂ်ခူမ်,Compound descriptive clause,Sweet words hiding selfish intentions,လၢတ်ႈဝၢၼ်ႇသေတေယူႇပၢင်ၸႂ်,C1,"Politics, relationships","Poetic, ironic",Associated with courtly manipulation in old Shan states,/paːk waːn tɕai kʰum/,မၼ်းပၢၵ်ႇဝၢၼ်ႇၸႂ်ခူမ် ယွမ်းယႃႈလိူဝ်။,ယွၼ်းသင်ႇၵတ်းၵူၼ်းပၢၵ်ႇဝၢၼ်ႇၸႂ်ခူမ်။,ၽူႈၼမ်းၵၢၼ်ၼႆႉပၢၵ်ႇဝၢၼ်ႇၸႂ်ခူမ်တႃႇဢဝ်ၶะแนน။
ၸႂ်လိၼ်မိူၼ်တူၼ်ႈမႆႈ,Simile structure,Emotionally unstable or easily swayed,ၸႂ်လႅၵ်ႈလွင်ႈ,B2,"Daily speech, family",Poetic,Derived from bamboo swaying in mountain winds,/tɕai lin mɯːn ton maj/,မၼ်းၸႂ်လိၼ်မိူၼ်တူၼ်ႈမႆႈ ယွမ်းလူင်ၵူၼ်းလွင်ႈ။,ဢမ်ႇၶိုၼ်းယွမ်းၵူၼ်းၸႂ်လိၼ်မိူၼ်တူၼ်ႈမႆႈ။,လုၵ်ႈဢွၼ်ႇၼႆႉၸႂ်လိၼ်မိူၼ်တူၼ်ႈမႆႈၼႃႈ။
ႁူဝ်မီးလႅင် ဢမ်ႇမီးၽႂ်,Contrastive clause,Having power but lacking wisdom,မီးဢำนာတ်ႈသေဢမ်ႇမီးပၢႆး,C1,"Leadership, politics","Formal, sarcastic",Used in criticism of weak rulers,/huw miː lɛn ʔam miː pʰaj/,ၽူႈပွင်ၵၢၼ်ၼႆႉႁူဝ်မီးလႅင် ဢမ်ႇမီးၽႂ်။,တေမီးငိုၼ်းလၢႆၵေႃႈ ႁူဝ်မီးလႅင်ဢမ်ႇမီးၽႂ်။,ပီႈတူဝ်ၼႆႉထုၵ်ႇတီႈႁူဝ်မီးလႅင် ဢမ်ႇမီးၽႂ်။
တႃလိူၼ်မိူၼ်ငဝ်း,Simile idiom,Seeing only illusions or false hopes,မိူၼ်ယွင်ႇပၼ်ၽွင်း,B1,"Love, literature","Literary, melancholic",Connected to moon imagery in Shan poetry,/ta lɯːn mɯːn ŋaw/,ၼၢင်းၼႆႉတႃလိူၼ်မိူၼ်ငဝ်း ယွမ်းၵူၼ်းမႂ်ႇ။,ဢဝ်ၸႂ်တႃလိူၼ်မိူၼ်ငဝ်းတေမၢႆတွင်း။,လွင်ႈႁၵ်ႉၼႆႉမိူၼ်တႃလိူၼ်မိူၼ်ငဝ်း။
ၵႂၢမ်းလီတေႉ လူင်လႆႈ,Balanced proverbial phrase,Good reputation brings opportunities,မီးသဵင်လီတေလႆႈၵၢၼ်,A2,"Workplace, family advice","Neutral, proverbial",Village elders use it to teach ethics,/kwaːm liː tê lɯŋ laj/,ၵႂၢမ်းလီတေႉ လူင်လႆႈ ယွမ်းၵၢၼ်လီ။,ပေႃးမီးၵႂၢမ်းလီ တေႉလူင်လႆႈ။,မႄႈဢွၼ်ႇသွၼ်ဝႃႈ ၵႂၢမ်းလီတေႉ လူင်လႆႈ။
မႂ်ႇလီသေႁူဝ်ဝၢင်း,Sequential clause,Pretending kindness while plotting,သႂ်ႇၸႂ်ဢမ်ႇတေႉ,C2,"Politics, betrayal","Ironic, literary",Found in oral epics and political tales,/maj liː se huw waːŋ/,မၼ်းမႂ်ႇလီသေႁူဝ်ဝၢင်း တႃႇယူႇၽွင်း။,ယွၼ်းလူတ်းၵူၼ်းမႂ်ႇလီသေႁူဝ်ဝၢင်း။,ပွင်ႇၵၢင်ၼႆႉမီးၵူၼ်းမႂ်ႇလီသေႁူဝ်ဝၢင်း။
လိၵ်ႈၶိုၼ်းတိူၵ်းလူင်,Verb phrase,Trying repeatedly despite difficulty,ပၢၼ်ပမ်းသေဢမ်ႇယွမ်းပွတ်း,B2,"Education, motivation",Encouraging,Inspired by climbing steep Shan hills,/lik kʰɯn tɯk lɯŋ/,လုၵ်ႈၸၢႆးၼႆႉလိၵ်ႈၶိုၼ်းတိူၵ်းလူင် တေႉလႆႈၵၢၼ်။,ပေႃးလိၵ်ႈၶိုၼ်းတိူၵ်းလူင် တေလႆႈၽွၼ်း။,ဢမ်ႇယွမ်းၵမ်း လိၵ်ႈၶိုၼ်းတိူၵ်းလူင်ၶႃႈ။
မီးပၢင်ၸႂ်မိူၼ်ၼမ်ႉၼွင်,Simile with noun phrase,Calm and generous-hearted,ၸႂ်ယဵၼ်လီ,A2,"Family, praise",Poetic,Linked to calm lake imagery in Shan highlands,/miː paŋ tɕai mɯːn nam nɔŋ/,မႄႈထဝ်ႈၼႆႉမီးပၢင်ၸႂ်မိူၼ်ၼမ်ႉၼွင်။,ၽူႈသွၼ်ၼႆႉမီးပၢင်ၸႂ်မိူၼ်ၼမ်ႉၼွင်တေႉ။,ၵူၼ်းမီးပၢင်ၸႂ်မိူၼ်ၼမ်ႉၼွင် မီးမိတ်ႉလၢႆ။
