Idiom (Balinese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Balinese)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Ngajeng ajengan jani, ngantosang becik sane nunas",Fixed clause,Mementingkan diri sendiri tanpa memperdulikan orang lain,Makan duluan tanpa menunggu yang lain,B1,"daily speech, family, sarcasm","colloquial, sarcastic",Umum digunakan dalam keluarga dan konteks sehari-hari di Bali,ŋaˈdʒeŋ aˈdʒəŋan ˈdʒani ŋanˈtosaŋ bəˈcik sanə nuˈnas,"Ida ngajeng ajengan jani, ngantosang becik sane nunas.",Cening punika ngajeng ajengan jani padahal tamu durung rauh.,Sing becik ngajeng ajengan jani yening sareng sareng ida sane lingsir.
Ngidih suba kadadosang,Passive voice clause,Permintaan yang sudah tidak bisa diubah,Sudah terjadi dan tak bisa dibatalkan,B2,"daily speech, conflict resolution","neutral, formal",Digunakan dalam diskusi adat dan permohonan yang ditolak,ŋiˈdih suˈba kadaˈdosaŋ,"Ngidih suba kadadosang, ten wenten ajengan ne.","Ring paruman punika, ngidih suba kadadosang.","I Raka nyidangang ngidih, padahal ngidih suba kadadosang."
"Gegirang di jaba, duka ring jero",Compound clause,"Tampak bahagia di luar, tapi sebenarnya sedang sedih",Berpura-pura senang padahal sedih,C1,"literature, psychology, personal conversation","literary, poetic",Dipakai dalam puisi tradisional dan sastra Bali klasik,gəˈgiraŋ di ˈdʒaba ˈduka riŋ ˈdʒəro,"Ia selalu gegirang di jaba, duka ring jero tusing nyidang ia ungkapang.","Gegirang di jaba, duka ring jero sane nyidang rauh ring ati.","Tiang ngertiang ia gegirang di jaba, duka ring jero jani."
Nganggon urab sele,Verb phrase with object,Bersikap malu atau gugup karena melakukan kesalahan,Merasa malu karena ketahuan salah,B2,"humor, daily life","humorous, ironic","Ungkapan tradisional di Bali tengah, sering dalam konteks lucu",ŋaŋˈgon uˈrab səˈlɛ,Ia nganggon urab sele pas kedekang maling tipat.,Tiang nganggon urab sele ngajak dados lakar bohong.,Cening punika nganggon urab sele pas ngalantur.
Nyagaang urip ring alas galak,Verb clause,Berjuang hidup dalam kondisi sulit atau keras,Berusaha hidup dalam keadaan sulit,C2,"socio-political discourse, literature","formal, poetic",Diambil dari gambaran masyarakat agraris Bali timur,ɲaˈgaaŋ ˈurip riŋ ˈalas ˈgalak,Tiang nyagaang urip ring alas galak sasampun ngantosang krama alit.,Ia dados anak muda sane nyagaang urip ring alas galak ring kota.,Urip ring desa puniki kadadosang nyagaang urip ring alas galak.
"Ngidih sane napi, becik wenten asapunika dados dadosan",Conditional clause,Meminta sesuatu dengan rendah hati bisa membawa hasil baik,"Kalau sopan meminta, hasilnya bisa baik",B1,"advice, family, community","formal, wise",Sering digunakan dalam nasehat orang tua dan tetua desa,ŋiˈdih sanə ˈnapi bəˈcik ˈwənʈən asapuˈnika ˈdados ˈdadosan,"Ngidih sane napi, becik wenten asapunika dados dadosan ring piodalan.",Titiang ngajengang anak alit ngidih sane napi ring guru.,"Krama desa ngajengangang puniki: ngidih sane napi, becik wenten asapunika dados dadosan."
Ngantosang becik sane sangsaya maraga,Progressive clause,Menunggu sesuatu yang makin lama makin sulit dicapai,Menunggu hal yang kemungkinan tidak akan terjadi,B2,"daily life, frustration","colloquial, ironic",Populer di kalangan muda di Denpasar,ŋanˈtosaŋ bəˈcik sanə saŋˈsaja maˈraga,Ia nyantosang becik sane sangsaya maraga ngajengang ajengan punika.,"Ngantosang becik sane sangsaya maraga, kayang rasa ngantos ujungin.",Ngantosang becik sane sangsaya maraga ring kantor sane ten wenten kabar.
"Suwud nglaksanayang, anyar ngalaksanayang deui",Sequential clause,Melakukan hal yang sama terus-menerus tanpa akhir,Mengulang-ulang pekerjaan yang sama,B2,"workplace, fatigue","colloquial, tired",Dipakai oleh pekerja pasar dan petani di Bali barat,suˈwud ŋləkˈsanajaŋ aˈɲar ŋaləkˈsanajaŋ dəˈwi,"Suwud nglaksanayang, anyar ngalaksanayang deui ring proyek punika.","Titiang sareng becik suwud nglaksanayang, anyar ngalaksanayang deui, tiang bosan.","Ring kantor, karyawan ngalaksanayang tugas puniki suwud nglaksanayang, anyar ngalaksanayang deui."
"Saking simpang, tiang mapah ngalantur",Complex clause with cause,"Karena bingung atau tidak fokus, menjadi tersesat atau kehilangan arah",Tersesat karena tidak tahu arah,B1,"navigation, emotion, daily life","colloquial, poetic",Digunakan dalam percakapan remaja di kota dan desa,saˈkiŋ simˈpaŋ ˈʈiaŋ maˈpa hŋaˈlantur,"Saking simpang, tiang mapah ngalantur ring jalan sane wenten gang ajeng.","Ia ngalantur ring tengahing pasar, saking simpang sareng rerama.","Tiang mapah ngalantur ring galah puniki, saking simpang sareng pikayun."
Becik sampun dados panglipur,Nominal clause,Hal baik yang sudah terjadi bisa menjadi penghibur dalam kesedihan,Hal baik tetap bisa menghibur walaupun ada kesedihan,B2,"consolation, emotion, religion","formal, wise",Dipakai dalam pidato keagamaan dan upacara kematian,bəˈcik ˈsampun ˈdados paŋˈlipur,Becik sampun dados panglipur ring krama sane ngalanturang titiang.,"Ring upacara mapendem, becik sampun dados panglipur ring sane kelinggihan.",Becik sane kasuratang ring surat punika dados panglipur ring ati titiang.
