Idiom (Interglossa),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Interglossa)",First Example Sentence,Second Example Sentence,Third Example Sentence
Da sona plu via es na sofi.,Fixed clause with comparative particle 'plu' (more) and copular verb 'es'.,Said when someone acts without wisdom despite having experience — similar to 'older but not wiser.',Experience does not always mean wisdom.,B2,"Family, humor, life advice, workplace.",Colloquial and mildly ironic.,Derived from postcolonial proverb culture in the Southern Interglossa islands emphasizing humility.,/da ˈsona plu ˈvia es na ˈsofi/,"Da sona plu via es na sofi, e mi amika poka risu.","Ufa, tu pensa tu sapi, ma da sona plu via es na sofi!",Mi patri sempri dice: da sona plu via es na sofi.
Li feno es su teo.,Fixed subject-predicate clause with possessive pronoun 'su'.,Used when someone is caught red-handed or exposed.,They have been caught in the act.,B1,"Daily speech, humor, gossip.",Colloquial and humorous.,Originates from coastal trade jargon where 'feno' (hand) symbolized manual labor and 'teo' (tea) meant being observed or judged.,/li ˈfeno es su ˈteo/,"Ha! Li feno es su teo, tu non pote nega.","Na vidi an face, li feno es su teo.","Mi dice: li feno es su teo, fini historia."
Musa pa trinka su voce.,Past tense verb 'pa trinka' with reflexive-like possessive 'su voce'.,Said of someone who lost inspiration or confidence to speak.,They lost their voice or courage to express themselves.,C1,"Literature, introspection, politics.",Poetic and reflective.,From an old poetic metaphor of the 'muse' drinking the poet’s words when inspiration fades.,/ˈmusa pa ˈtrinka su ˈvotʃe/,"Post la disputa, mi senti ke musa pa trinka su voce.",Li poeta dice ke musa pa trinka su voce per silentio.,"Musa pa trinka su voce, e la scena resti morta."
Mi luna non luce tota nocte.,Negative clause with temporal adverbial phrase.,Used to admit one’s imperfection or temporary weakness.,I’m not perfect all the time.,B2,"Confession, humility, humor, workplace.","Ironic, self-deprecating.","Draws from agrarian belief in lunar influence, reflecting humility and cyclic imperfection.",/mi ˈluna non ˈluʧe ˈtota ˈnɔkte/,"Mi luna non luce tota nocte, so mi fa error.",Non juzga mi dura — mi luna non luce tota nocte.,"Mi luna non luce tota nocte, ma mi prova cado-dex."
La venti porta plu rumor ke nova.,Comparative structure with plural noun and prepositional phrase.,Refers to exaggerated or false gossip spreading quickly.,Rumors spread faster than truth.,B1,"Media, gossip, social commentary.","Colloquial, ironic.",Stems from maritime proverb traditions comparing wind and rumor’s reach.,/la ˈventi ˈporta plu ˈrumor ke ˈnova/,La venti porta plu rumor ke nova in tota vila.,Non kreda tuto — la venti porta plu rumor ke nova.,"La venti porta plu rumor ke nova, ma silenti dura plu longa."
Pe sabla non planta arbo.,Negative imperative structure.,Used to advise against building something on unstable foundations.,Don’t build on weak foundations.,B2,"Advice, education, philosophy.",Proverbial and didactic.,Common saying from coastal agricultural communities emphasizing planning and foresight.,/pe ˈsabla non ˈplanta ˈarbo/,"Pe sabla non planta arbo, dice anci mi matra.","Tu proekta es bela, ma pe sabla non planta arbo.",Pe sabla non planta arbo — pensa ante age.
"U li aqua kanta, li peixi fuji.",Conditional clause with coordinated verb phrase.,Said when someone reveals too much and causes trouble.,Loose talk drives opportunities away.,C1,"Politics, business, gossip.",Cautionary and ironic.,"Drawn from river-trade communities — water that ‘sings’ scares fish, symbolizing indiscretion.","/u li ˈakwa ˈkanta, li ˈpeɪʃi ˈfuji/","U li aqua kanta, li peixi fuji — parla tro e perde tot.","Mi memori li senyo: u li aqua kanta, li peixi fuji.","U li aqua kanta, li peixi fuji — silenti es oro."
Li cora es plu longa ke li lingua.,Comparative clause with copular verb.,Used to mean feelings run deeper than words.,The heart feels more than the tongue can say.,C1,"Love, friendship, poetry.",Poetic and emotional.,Popularized by Interglossa romantic poetry in the late 19th century.,/li ˈkora es plu ˈlɔŋga ke li ˈliŋgwa/,"Li cora es plu longa ke li lingua, dice poeta Amoni.","Mi senti tro, parla poko — li cora es plu longa ke li lingua.","Li cora es plu longa ke li lingua, e li oki parla separe."
Mi pani pa rosti ante festa.,Past tense with temporal adverbial phrase.,Means someone celebrated or assumed success too early.,Don’t count your chickens before they hatch.,B1,"Humor, workplace, cautionary advice.",Colloquial and humorous.,Originates from communal feast traditions where early roasting symbolized impatience.,/mi ˈpani pa ˈrosti ˈante ˈfesta/,Mi pani pa rosti ante festa — e la kontrakta non veni.,"Tu ja pa rosti tu pani ante festa, fratri.","Mi pani pa rosti ante festa, ma mi apreende lecion."
Non tota oro brili.,Negated existential clause with singular subject.,Warns against judging by appearances.,Not everything that looks good is valuable.,A2,"Proverbs, advice, general conversation.",Formal and moralizing.,Introduced during early standardization of Interglossa proverbs for education in the 1950s.,/non ˈtota ˈoro ˈbrili/,"Non tota oro brili, memori tu.",Mi matra dice: non tota oro brili.,Non tota oro brili — veri parola de sapiensa.
