Idiom (Tok Pisin),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–A2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tok Pisin)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Sapos pikinini i no krai, mama i no save givim susu","Conditional clause (sapos + clause, result clause)","If you don’t speak up, you won’t get what you need.",You must ask for help to receive it.,B1,"Advice, family, social interaction","Colloquial, moral",Derived from maternal customs in PNG communities emphasizing vocal self-advocacy.,"/ˈsapɔs pikinini i no ˈkɾai, ˈmama i no ˈsave ˈɡivim ˈsusu/","Em i olsem long wok tu — sapos pikinini i no krai, mama i no save givim susu.","Olgeta taim yu no tokaut, bai nogat man i helpim yu — olsem pikinini i no krai.","Mi save tokim ol yangpela olsem: ‘Sapos yu laik samting, mas krai!’"
Wara i go antap long maunten,"Metaphorical clause, indicative tense",Something impossible or highly unlikely has happened.,That will never happen.,B2,"Humor, disbelief, politics","Ironic, sarcastic",Common PNG idiom derived from the natural flow of rivers always going downwards.,/ˈwaɾa i ˈɡo anˈtap loŋ ˈmaunten/,Em tok olsem em bai kisim promosen — wara i go antap long maunten!,Tasol em tru? Wara i no save go antap long maunten!,"Em i mekim promis, tasol mipela save, wara i go antap long maunten tasol."
Tingting i stap long antap long diwai,Metaphorical noun phrase,Someone is daydreaming or thinking too much.,They are distracted or lost in thought.,A2,"Daily speech, family, school","Colloquial, humorous",Common across coastal PNG regions; compares thought to a bird high in a tree.,/ˈtiŋtiŋ i stap loŋ anˈtap loŋ ˈdiwai/,Yu harim mi o nogat? Tingting bilong yu i stap long antap long diwai!,Em i stap long klas tasol ai bilong em i stap long antap long diwai.,Mi lukim em i no harim tok — tingting bilong em i stap long antap long diwai tru.
Kaikai long maus tasol,Verb phrase with adverbial restriction,To talk without taking real action.,They only talk but do nothing.,B1,"Workplace, politics, sarcasm","Sarcastic, colloquial",Derived from PNG social critique about leadership and accountability.,/ˈkaikai loŋ ˈmaus tasol/,Ol man i save kaikai long maus tasol taim wok i kamap.,Em i save tok planti tasol — kaikai long maus tasol.,Mipela no laik man i kaikai long maus tasol long dispela projek.
Paitim han long ai bilong san,Metaphorical verb phrase,To do something hopelessly or in vain.,To waste effort on something impossible.,C1,"Poetic, literature, philosophy","Poetic, reflective","A poetic image used in literature and oratory, symbolic of futile struggle.",/ˈpaitim han loŋ ai bilong ˈsan/,"Taim yu laik senisim tingting bilong em, em olsem paitim han long ai bilong san.","Mi bin traim, tasol mi painimaut em i olsem paitim han long ai bilong san.",Yu no inap kisim tru — em olsem paitim han long ai bilong san.
Tok bilong win,Noun phrase,Empty or meaningless talk.,Words without substance or action.,B2,"Politics, workplace, social commentary","Ironic, sarcastic",Derived from oratory culture; compares empty talk to wind.,/ˈtok bilong ˈwin/,Em i save mekim tok bilong win long olgeta miting.,Tok bilong win i no inap stretim problem.,Planti taim ol lida i save mekim tok bilong win tasol.
Bungim het wantaim wara,Verb phrase (idiomatic reflexive),To face difficulties or become overwhelmed.,To encounter trouble or hardship.,B1,"Daily speech, emotion, hardship","Colloquial, sympathetic",Common in coastal PNG regions; ‘wara’ symbolizes emotion or chaos.,/ˈbuŋim ˈhet wantaim ˈwara/,"Taim em lusim wok, em bungim het wantaim wara tru.",Mi no save bai mi mekim wanem — mi bungim het wantaim wara nau.,Ol famili bilong em tu bungim het wantaim wara long dispela samting.
Rausim maus long samting,"Verb phrase (imperative, causative)",To stop talking about something taboo or sensitive.,Avoid mentioning it.,A2,"Family, taboo, social norms","Colloquial, cautionary",Linked to traditional respect codes forbidding discussion of certain matters.,/ˈɾausim ˈmaus loŋ ˈsamting/,Ol i tokim mi long rausim maus long dispela toktok.,Em i samting bilong ol bikpela — rausim maus tasol.,Mipela mas rausim maus long dispela samting long nau.
Karim hevi long bel,Verb phrase (transitive),To feel emotional pain or burden.,To be emotionally troubled.,B1,"Emotion, family, personal reflection","Colloquial, poetic",Common across PNG cultures referring to emotional weight felt in the body.,/ˈkaɾim ˈhevi loŋ ˈbel/,Mi save karim hevi long bel taim mi tingim em.,"Em i stap isi tasol, tasol mi save em i karim hevi long bel.",Mipela olgeta i karim hevi long bel long dispela taim nogut.
Putim lek long paia,"Verb phrase, metaphorical construction",To enter a dangerous or risky situation.,To take a big risk.,B2,"Adventure, politics, caution","Ironic, cautionary",Derived from the danger of stepping into fire; widespread PNG idiom.,/ˈputim ˈlek loŋ ˈpaia/,Yu laik go mekim toktok wantaim ol — yu putim lek long paia nau.,"Em i save, tasol em putim lek long paia nating.",Mipela tokim em long no go — em putim lek long paia yet.
