Idiom (Mirandese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mirandese)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar a dar burras nu naranjal,Infinitive verb phrase with prepositional phrase,To waste time or effort on something pointless or absurd,Fazer algo inútil ou sem sentido,C1,"Humor, Daily speech, Sarcasm","Colloquial, Ironic",Humorous rural imagery from Douro region,[ˈɛʃ.taɾ a ˈdaɾ ˈbu.rɐʃ nu na.ɾɐ̃ˈʒaɫ],Andeis a dar burras nu naranjal con isse problema que nun tien solução.,"Qu’esti home, semper a dar burras nu naranjal!",L burro parez qu’está a dar burras nu naranjal cuando tenta usar l computador.
Tenir l cazu al foc y l fumo al céu,Infinitive phrase with coordinated noun phrases,To be overly ambitious or distracted by grand plans,Tentar fazer demais ao mesmo tempo,B2,"Family, Work, Advice","Colloquial, Figurative",Agrarian wisdom about tending cooking fires,[teˈniɾ l ˈka.zu al ˈfɔk i l ˈfu.mu al ˈsɛw],Nun pues tenir l cazu al foc y l fumo al céu si queres rematar ben.,"Sempre quere más, ya tien l cazu al foc y l fumo al céu.",Tais assi cumo tenir l cazu al foc y l fumo al céu — acalma-te un pouco.
Puxar l burro por la cola,Infinitive verb phrase with prepositional phrase,To approach a problem in the wrong way,Fazer algo de maneira errada,B1,"Daily speech, Instruction, Humor","Colloquial, Humorous","Rural farming imagery, Mirandese folk logic",[puˈʃaɾ l ˈbu.ru puɾ la ˈko.la],Tás a puxar l burro por la cola cun esti projeto!,Nun sirbe puxar l burro por la cola — pensa primero.,"Si puxas l burro por la cola, l burro nun vai endavant."
Dar milho a porcos,Infinitive clause with dative construction,To waste something valuable on someone who doesn’t appreciate it,Desperdiçar algo bom com quem nun merece,C1,"Criticism, Literature, Sarcasm","Formal, Sarcastic",Common biblical and agrarian metaphor,[daɾ ˈmi.ʎu a ˈpoɾ.kus],"Lhei contar un poema, mas foi cumo dar milho a porcos.",Esti regalo foi dar milho a porcos — nun valoran nada.,"A falar verdade, dar milho a porcos ya me cansa."
Dar pan a quem ten fame,Infinitive phrase with dative object and relative clause,To do the right thing by helping those in need,Ajudar quem realmente precisa,A2,"Family, Morality, Religion","Formal, Moral",Christian charity tradition in rural Mirandese communities,[daɾ ˈpɐ̃ a ˈkẽj̃ ˈtẽ ˈfa.mɨ],"Siempre que puedes, dar pan a quem ten fame ye cosa boa.",Dar pan a quem ten fame fai de ti un bon cristianu.,La vieya foi dar pan a quem ten fame y toda la aldeia l’agradeceu.
Correr como un gambo,Infinitive verb phrase with simile structure,To run extremely fast,Correr mui rapidamente,A1,"Daily speech, Sports, School",Colloquial,Gambo = male deer; symbol of speed in the Mirandese wild,[kuˈʁeɾ ˈko.mu uŋ ˈɡɐ̃.bu],L rapaz correu como un gambo tras l balon.,Corro como un gambo pa nun chegar tarde.,"Quando viu l can, fugiu como un gambo!"
Ficar a ver navíos,Infinitive phrase with prepositional object,To be left with nothing or be left behind,Ficar sem nada,B2,"Workplace, Romance, Sarcasm","Colloquial, Ironic",Evokes Lisbon imagery of sailors leaving for Brazil,[fiˈkaɾ a ˈveɾ naˈvi.us],"Tantos esperaban regalo, mas ficoron a ver navíos.","Prometeron ayuda, mas fiquei a ver navíos.","Si nun traballes, vas ficar a ver navíos."
Nun ter peli na língua,Negative phrase with infinitive verb and noun object,To speak very bluntly or honestly,Falar sem rodeios,B1,"Politics, Daily speech, Family","Colloquial, Bold","Modern idiom adopted from Portuguese, normalized in spoken Mirandese",[nũ teɾ ˈpɛ.li na ˈlĩɡ.ɡwa],Esti home nun ten peli na língua — diz lo que pensa.,Ela faló sin peli na língua y eso custó-lhi l trabayo.,"Nun quero problemas, mas nun ten peli na língua cu ti!"
Meter os pes nu mesmo sapato,Infinitive verb with plural noun object and prepositional phrase,To force different people or ideas into the same mold,Tratar tudo da mesma forma indevidamente,C2,"Politics, Philosophy, Critique","Formal, Critical",Critique of forced conformity under centralization,[meˈteɾ uʃ ˈpeʃ nu ˈmeʒ.mu sɐˈpa.tu],Nun puedes meter os pes nu mesmo sapato cuando falas de culturas.,Intentan meter os pes nu mesmo sapato con la educación.,Meter os pes nu mesmo sapato ye cosa de burros.
Estar de braços cruzados,Infinitive phrase with passive posture verb and noun phrase,"To do nothing, to be idle",Estar sem fazer nada,A2,"Daily speech, Work, Criticism",Neutral,"Common across Iberian cultures, used in Mirandese speech",[ɛʃˈtaɾ dɨ ˈbɾa.suʃ kɾuˈza.ðus],Nun fiques de braços cruzados cuando hai trabayo pa fazer.,"Enquanto os otros ayudaban, él taba de braços cruzados.",Ya basta de braços cruzados — fai dalgo útil!
