Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Cangra ko wawa i riyar,Fixed metaphorical clause (Verb + subject + locative phrase),Someone acting immature despite being old enough to know better,Macaay ko tamdaw a radiw no kapah,B2,"Daily speech, family correction, mild sarcasm","Colloquial, ironic",Riyar (sea) symbolizes unpredictability in coastal Pangcah communities of Taitung,/t͡saŋɾa ko wawa i ɾijaɾ/,"Cangra ko wawa i riyar, saka pakafana' to misanga'ay.","Awaay ka, cangra ko wawa i riyar kiso.",Cangra ko wawa i riyar a radiw no kapah nira.
Malemeday to lalan,Stative verb phrase (ma- adjective + oblique object),Life becoming unexpectedly difficult,Marecay ko romi'ad no kapah,B1,"Personal reflection, storytelling, literature","Poetic, reflective",Lalan (road) symbolizes life journey in many Pangcah narratives,/malɛmɛdaj to lalan/,Malemeday to lalan ko tamdaw a romi'ad to sapalengaw.,"Malemeday to lalan nira, saka mafana' to radiw.",Saka malemeday to lalan ko niyaro nira.
Fana' ko ko'ol,Verb phrase with body-part metaphor,To lose emotional control,Mafali ko radiw,B2,"Arguments, humor, emotional narration",Colloquial,Ko'ol (heart) in Pangcah worldview represents emotional core,/fanaʔ ko koʔol/,Fana' ko ko'ol nira to sowal no kapah.,Saka fana' ko ko'ol ko wama a masadak.,"Caka fana' ko ko'ol, malacecay kita."
Pakayni to fafahiyan,Imperative metaphorical structure,Act responsibly and with maturity,Mirecay ka to kapah,B1,"Workplace, community meetings","Formal, advisory",Fafahiyan (village space) symbolizes public accountability,/pakajni to fafahijan/,"Pakayni to fafahiyan, saka ma'araw to kapah.",Pakayni to fafahiyan ko tamdaw a romi'ad.,Awaay pakayni to fafahiyan nira.
Oroma ko sowal,Fixed clause (Verb + noun),Words that hide deeper intentions,Macaay ko sowal a mapolong,C1,"Politics, debate, public discourse","Formal, critical",Used in regional political commentary in eastern Taiwan,/oɾoma ko sowal/,"Oroma ko sowal nira, awaay ko misalama.",Caka oroma ko sowal kiso.,Oroma ko sowal no tamdaw a radiw.
Mafaca' ko riyar,Stative clause with environmental metaphor,Calm after emotional turmoil,Malacecay ko radiw,B2,"Storytelling, reconciliation",Poetic,Riyar frequently symbolizes emotional states in coastal Pangcah culture,/mafat͡saʔ ko ɾijaɾ/,Mafaca' ko riyar ko radiw nira.,Saka mafaca' ko riyar a ma'araw.,Mafaca' ko riyar to misalama nira.
Radiw no faloco',Noun phrase with possessive marker,A person easily influenced by others,Mafali ko tamdaw a misanga'ay,B1,"Youth guidance, humor",Colloquial,Faloco' (wind) symbolizes instability in oral tradition,/ɾadiw no falokoʔ/,Radiw no faloco' ko wawa a romi'ad.,Awaay radiw no faloco' ko tamdaw a kapah.,Radiw no faloco' kiso saka caka to sowal.
Sapalengaw to kapah,Metaphorical verbal construction,To rebuild one's life after hardship,Pakaen ko niyaro a fali,C1,"Motivational speech, literature","Inspirational, formal",Sapalengaw (roof beam) represents structural resilience in traditional houses,/sapaleŋaw to kapah/,Sapalengaw to kapah ko tamdaw a romi'ad.,Miaraw nira a sapalengaw to kapah.,Saka sapalengaw to kapah to radiw nira.
Awaay ko lalan i lalomaay,Negative existential clause,Feeling lost internally,Marecay ko radiw,B2,"Personal reflection, poetry",Literary,Lalomaay (inside/home) symbolizes inner self in Pangcah expression,/awaʔaj ko lalan i lalomaʔaj/,Awaay ko lalan i lalomaay nira.,Saka awaay ko lalan i lalomaay ko wama.,Awaay ko lalan i lalomaay to radiw ko tamdaw.
Mirecay ko ko'ol to fali,Verb phrase with directional complement,To forgive and move forward,Mafana' to misalama,B1,"Family reconciliation, counseling","Neutral, empathetic",Fali (forward) reflects future-oriented worldview in Pangcah ethics,/miɾɛt͡saj ko koʔol to fali/,Mirecay ko ko'ol to fali ko wama.,Saka mirecay ko ko'ol to fali nira.,Caka mirecay ko ko'ol to fali kiso.
