Idiom (Dungan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dungan)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Слово — не воробей, вылетит — не поймаешь.",Complex conditional-proverbial clause with negation and future implication; fixed parallel structure.,"Once something is said, it cannot be taken back; words have lasting consequences.","Нужно думать перед тем, как говорить.",B1,"Daily speech, family advice, education, workplace warnings","Proverbial, advisory, neutral-formal",Widely used East Slavic proverb adopted into Dungan oral tradition; emphasizes honor and verbal responsibility.,[ˈslovə nʲe vɐrɐˈbʲej | ˈvɨlʲɪtʲɪt nʲe pɐjˈmaɪʂ],"Помни, слово — не воробей, вылетит — не поймаешь, поэтому говори осторожно.","Она пожалела о своих словах, ведь слово — не воробей, вылетит — не поймаешь.","В споре он забыл, что слово — не воробей, вылетит — не поймаешь."
Без труда не вытащишь и рыбку из пруда.,Negative conditional construction with infinitive verb phrase; proverbial structure.,Success requires effort; nothing is achieved without hard work.,"Чтобы добиться результата, нужно работать.",A2,"Education, parenting, motivational speech, rural life","Proverbial, motivational",Agrarian metaphor reflecting fishing culture among Dungan rural communities in Central Asia.,[bʲes truˈda nʲe vɨtɐɕˈɕiʂ i ˈrɨpkʊ ɪs pruˈda],"Учитель напомнил, что без труда не вытащишь и рыбку из пруда.","Он понял, что без труда не вытащишь и рыбку из пруда, когда начал свой бизнес.",Мать часто говорила сыну: без труда не вытащишь и рыбку из пруда.
"Семь раз отмерь, один раз отрежь.",Imperative parallel construction with numerical contrast.,Think carefully before acting.,Нужно тщательно всё обдумать перед решением.,B1,"Workplace, craftsmanship, decision-making, politics","Proverbial, advisory",Craft-based proverb common among tailoring and carpentry traditions in Dungan settlements.,[sʲemʲ ras ɐtˈmʲerʲ | ɐˈdʲin ras ɐtˈrʲeʐ],"Перед подписанием договора он вспомнил: семь раз отмерь, один раз отрежь.","В мастерской часто повторяли: семь раз отмерь, один раз отрежь.","Она действовала осторожно, зная принцип — семь раз отмерь, один раз отрежь."
Век живи — век учись.,Elliptical parallel imperative construction; repetition for emphasis.,Learning continues throughout life.,Человек учится всю жизнь.,A2,"Education, philosophy, literature, public speeches","Proverbial, reflective",Embedded in Dungan educational values influenced by Confucian and Islamic scholarly traditions.,[vʲek ʐɨˈvi | vʲek ʊˈtɕisʲ],Он всегда повторяет: век живи — век учись.,Даже в старости она верила: век живи — век учись.,"На лекции профессор напомнил, что век живи — век учись."
"Не всё то золото, что блестит.",Negative relative clause with demonstrative emphasis.,Appearances can be deceptive.,Внешний вид может обманывать.,B2,"Literature, moral instruction, politics, media commentary","Literary, reflective",Adopted from broader Eurasian proverb tradition; resonates with Dungan merchant history along Silk Road routes.,[nʲe fsʲo tɐ ˈzolətə ʂto blʲɪsˈtʲit],"Он понял, что не всё то золото, что блестит, когда столкнулся с реальностью.","Мудрец говорил: не всё то золото, что блестит.","Она напомнила подруге, что не всё то золото, что блестит."
"Лучше поздно, чем никогда.",Comparative clause with temporal contrast.,It is better to do something late than not at all.,Позднее действие лучше полного бездействия.,A2,"Daily life, apologies, workplace, family","Neutral, consolatory",Common Eurasian maxim incorporated into Dungan conversational norms.,[ˈlutʂʂe ˈpozno | tɕem nʲɪkɐˈda],"Он извинился и сказал: лучше поздно, чем никогда.","Лучше поздно, чем никогда, поэтому я всё-таки пришёл.","Она решила помочь, ведь лучше поздно, чем никогда."
"Где есть желание, там найдётся и путь.",Conditional-locative parallel clause; metaphorical path construction.,"If there is determination, a solution will be found.",При сильном желании можно найти решение.,B2,"Motivation, leadership, education, entrepreneurship","Inspirational, rhetorical",Reflects migrant resilience of Dungan communities adapting across Central Asia.,[ɡdʲe jest ʐɨˈlanʲɪje | tam nɐjˈdʲɵtsə i putʲ],"Он верит, что где есть желание, там найдётся и путь.","В трудные времена они повторяли: где есть желание, там найдётся и путь.","Предприниматель доказал, что где есть желание, там найдётся и путь."
Терпение и труд всё перетрут.,Coordinated noun phrase with future verb; proverbial compression.,Patience and hard work overcome difficulties.,Настойчивость помогает преодолеть трудности.,B1,"Family advice, workplace, rural life, education","Proverbial, motivational",Popular among Dungan farming communities emphasizing endurance.,[tʲɪrˈpʲenʲɪje i trud fsʲo pʲɪrʲɪˈtrut],"Бабушка говорила, что терпение и труд всё перетрут.","Он знал, что терпение и труд всё перетрут.",В сложном проекте они убедились: терпение и труд всё перетрут.
Держать язык за зубами.,Fixed infinitive verbal phrase; metaphorical body-part expression.,To keep a secret or remain silent.,Молчать и не раскрывать информацию.,B2,"Politics, workplace, family secrets, humor","Colloquial, mildly ironic",Body-metaphor idiom common in Dungan oral storytelling traditions.,[dʲɪrˈʐatʲ jɪˈzɨk zɐ zuˈbamʲɪ],Ему пришлось держать язык за зубами на собрании.,"Она умеет держать язык за зубами, когда это необходимо.",В политике важно держать язык за зубами.
Как снег на голову.,Comparative simile construction; elliptical clause.,Something happens suddenly and unexpectedly.,Это произошло неожиданно.,B1,"Daily speech, storytelling, humor","Colloquial, expressive",Climatic metaphor relevant to Central Asian winter experiences.,[kak snʲek nɐ ɡɐlɐˈvu],Новость пришла как снег на голову.,Его визит был как снег на голову для всей семьи.,Проверка нагрянула как снег на голову.
