Idiom (Liberian Kreyol),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Liberian Kreyol)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Monkey de wok, baboon de chop.",Fixed bipartite clause with parallel subject-verb structure; habitual aspect marker de; contrastive proverb formula.,"One person does the hard work while another person takes the reward, profit, or public credit.",Somebody else is benefiting from another person’s labor.,B1,"Daily speech, politics, workplace, community disputes, humor, social commentary.","Colloquial, proverbial, ironic, critical.","Widely recognized in Liberian proverbial speech and popular commentary on unfair labor, patronage, and unequal reward; also resonates with broader West African proverb traditions.",/ˈmɔŋki de wɔk | baˈbun de tʃɔp/,"A no go keep quiet, because monkey de wok, baboon de chop inside dis office.","Di market woman vex say monkey de wok, baboon de chop after oda people tek her business idea.","Plenti youth de talk dis days say monkey de wok, baboon de chop inna politics."
Small small wata full bucket.,Fixed verbless proverb with reduplication for graduality and a result predicate.,"Small efforts, small savings, or steady progress will eventually produce a big result.",Gradual effort leads to meaningful achievement over time.,A2,"Family advice, education, saving money, personal growth, motivational speech.","Colloquial, proverbial, encouraging.","Commonly used in Liberia to teach patience, discipline, and cumulative effort, especially in households, churches, and schools.",/smɔl smɔl ˈwata fʊl ˈbɔkit/,No vex say yu book small today; small small wata full bucket.,Ma tell di girl fo save her money because small small wata full bucket.,"Even if di project hard, small small wata full bucket."
Wan han no kin tie bundle.,Fixed negative clause with modal kin expressing general possibility.,A person cannot do everything alone; cooperation is necessary.,Teamwork is necessary to complete some tasks.,B1,"Workplace, family labor, community organizing, leadership, education.","Colloquial, proverbial, advisory.","A well-known Liberian and West African cooperative proverb reflecting communal labor, mutual aid, and shared responsibility.",/wan han no kɪn taɪ ˈbʌndul/,"Mek wi call more people, because wan han no kin tie bundle.",Di chairman remind everybody say wan han no kin tie bundle before di cleanup start.,A learn quick na business say wan han no kin tie bundle.
"Tif an tong de fight, but dem no de lef eatin.",Compound proverbial sentence with coordination and adversative contrast; habitual aspect repeated across both clauses.,"People who are close may quarrel, but they still need one another and should continue living or working together.",Conflict between close people does not end their interdependence.,B2,"Family conflict, marriage, friendship, politics, reconciliation discourse.","Colloquial, proverbial, conciliatory.","Frequently cited in Liberian discussions of kinship, neighborhood tensions, and post-conflict reconciliation; the mouth imagery makes the lesson memorable.",/tif an tɔŋ de faɪt | bʌt dɛm no de lɛf ˈitɪn/,"My brothers argue bad, but tif an tong de fight, but dem no de lef eatin.","After di committee palava, di old man cool everybody down say tif an tong de fight, but dem no de lef eatin.","Marriage get trouble, but tif an tong de fight, but dem no de lef eatin."
"Wen breeze blow, fowl yai open.",Temporal subordinate clause followed by result clause; fixed proverb with body-part metaphor.,"When circumstances change or pressure increases, hidden truth becomes visible.",Difficult situations reveal information that was previously hidden.,B2,"Investigations, gossip, politics, family disputes, journalism, moral commentary.","Colloquial, proverbial, ironic, cautionary.","Very popular in Liberia as a compact way to say that exposure, crisis, or scrutiny uncovers secrets.",/wɛn briːz blo | faʊl jaɪ ˈopɛn/,"Nobody know who carry di money till audit start; wen breeze blow, fowl yai open.","Election season de come, so wen breeze blow, fowl yai open.","As soon as di family start ask question, wen breeze blow, fowl yai open."
Chicken foot no kin hide under leaf.,Fixed negative clause with modal kin; concrete image used as metaphor for exposure.,"Something obvious cannot stay hidden for long, especially wrongdoing or hypocrisy.",An obvious truth or fault will eventually be noticed.,B1,"Community gossip, accountability, parenting, politics, public criticism.","Colloquial, proverbial, warning, mildly sarcastic.","A vivid everyday-image proverb from Liberian oral speech, built from familiar market and household imagery.",/ˈtʃikɪn fut no kɪn haɪd ˈanda lif/,"He lie plenty, but chicken foot no kin hide under leaf.",Di teacher tell di class say cheating easy fo catch because chicken foot no kin hide under leaf.,"Soon or later di fraud go show, chicken foot no kin hide under leaf."
"Ef yu dig pit fo oda man, yu sef go fall inside.",Conditional clause plus future-result clause; second-person generic subject; moral consequence construction.,A person who plots harm against another may suffer the same harm or be trapped by their own scheme.,Trying to harm someone else can backfire on you.,B2,"Conflict mediation, politics, religion, ethics, family advice.","Colloquial, proverbial, moralizing, cautionary.","A deeply rooted moral proverb in Liberia, often used in sermons, elder advice, and public warnings against envy and sabotage.",/ɛf ju dɪɡ pɪt fo ˈoda man | ju sɛf go fal ɪnˈsaɪd/,"Di woman laugh say ef yu dig pit fo oda man, yu sef go fall inside after di rumor turn back pan di liar.","No plan bad thing fo me, because ef yu dig pit fo oda man, yu sef go fall inside.","Grandma always warn us say ef yu dig pit fo oda man, yu sef go fall inside."
Kukujumuku.,Lexicalized discourse idiom; standalone nominalized expression used as a full pragmatic utterance.,"You are outside the situation and do not know the full story, so you should not judge too quickly.",You do not have enough inside knowledge to understand or judge this matter.,C1,"Argument, gossip, social media debate, community dispute, humor, indirect rebuke.","Colloquial, elliptical, ironic, culturally marked.",Documented as a distinctly Liberian proverb-like expression associated with insider knowledge and the limits of outsider judgment in communal life.,/kukuˈdʒumuku/,"Before yu comment pan di case, kukujumuku.","All di people online de talk, but kukujumuku because dem no know how di matter start.",He just smile say kukujumuku when strangers begin pass judgment.
Gbaysuluku.,Lexicalized sentential idiom functioning as a compressed existential statement about changing fortune.,Some days go well and some days go badly; life moves in changing cycles.,Life has both good times and bad times.,C1,"Consolation, resilience talk, family advice, religious reflection, everyday setbacks.","Colloquial, proverbial, reflective, stoic.","Recorded in Liberian proverb collections as a compact cultural expression of endurance, uncertainty, and everyday realism.",/ɡbaɪsuˈluku/,"Business hard dis month, but gbaysuluku.","She lose di job today, yet she tell her children gbaysuluku and promise fo start again.","When rain spoil di wedding plan, di auntie just laugh say gbaysuluku."
Tall man an short man all de si di same sky.,Coordinated noun phrase subject with habitual predicate and universalizing focus marker all.,"No matter a person’s power, status, or size, everybody remains fundamentally equal under a greater reality.",Status differences do not change basic human equality.,B2,"Politics, religion, leadership, moral reflection, public speaking, social critique.","Proverbial, reflective, poetic.","Appears in modern Liberian adage collections and is used to humble pride, especially in discussions of power, leadership, and social rank.",/tal man an ʃɔt man ɔl de si di seɪm skaɪ/,"Di senator feel big, but tall man an short man all de si di same sky.",Pastor remind di congregation say tall man an short man all de si di same sky.,"When promotion come, no make pride catch yu, because tall man an short man all de si di same sky."
