,Idiom (Polish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Polish)",First Example Sentence,Second Example Sentence,Third Example Sentence
0,mieć muchy w nosie,"stały zwrot werbalny, wyrażenie idiomatyczne","być drażliwym, w złym humorze bez wyraźnego powodu",być rozdrażnionym,B2,"codzienna mowa, rodzina","potoczny, lekko ironiczny",zwyczajowa metafora związana z owadami jako irytującymi elementami,mʲɛt͡ɕ ˈmuxɨ f ˈnɔɕɛ,Nie rozmawiaj z Piotrkiem — znowu ma muchy w nosie.,"Mama miała muchy w nosie, więc lepiej było się nie odzywać.","Od rana coś nie tak, wszyscy mają muchy w nosie."
1,rzucać grochem o ścianę,wyrażenie werbalne z biernikiem i przyimkiem,"mówić lub tłumaczyć coś bez skutku, do kogoś, kto nie słucha",mówić coś bez efektu,C1,"edukacja, rodzina, biuro",potoczny,"nawiązanie do daremności czynności, w której groch odbija się od ściany",ˈʐut͡sat͡ɕ ˈɡrɔxɛm ɔ ˈɕt͡ɕanɛ,"Tłumaczę mu zasady gramatyki, ale to jak rzucać grochem o ścianę.",Rozmowy z nią o obowiązkach to rzucanie grochem o ścianę.,"Próbowałem go przekonać, ale to było jak rzucanie grochem o ścianę."
2,obić sobie gębę,"czasownik zwrotny z konstrukcją bierną, fraza idiomatyczna",nabyć złą reputację,zyskać złą opinię,C2,"plotki, relacje społeczne","kolokwialny, ironiczny","dosłownie oznacza uderzenie w twarz, metaforycznie o szkodzie na wizerunku",ˈɔbʲit͡ɕ ˈsɔbʲɛ ˈɡɛmbɛ,Obił sobie gębę przez te ciągłe intrygi.,"Lepiej uważać, bo szybko można sobie obić gębę.",Na osiedlu już sobie obiła gębę plotkami.
3,mieć serce na dłoni,"konstrukcja posesywna, metaforyczna","być otwartym, szczerym i serdecznym",okazywać emocje i szczerość,B1,"relacje, literatura, emocje","poetycki, serdeczny",symboliczne nawiązanie do otwartości emocjonalnej,mʲɛt͡ɕ ˈsɛrt͡sɛ na ˈdwɔɲi,Zawsze miała serce na dłoni i pomagała każdemu.,Ten człowiek ma serce na dłoni — trudno go nie lubić.,"Czasem bycie z sercem na dłoni to słabość, a nie zaleta."
4,nie mieć zielonego pojęcia,konstrukcja negatywna z przymiotnikiem w bierniku,nie wiedzieć nic na dany temat,nie wiedzieć czegoś,A2,"codzienna mowa, szkoła, praca",potoczny,"kolor zielony jako metafora świeżości, braku doświadczenia",ɲɛ mʲɛt͡ɕ ʑɛlɔˈnɛɡɔ pɔˈjɛɲt͡ɕa,"Nie mam zielonego pojęcia, jak to działa.","Ona nie miała zielonego pojęcia, o co chodzi w tym zadaniu.","Szef wyglądał, jakby nie miał zielonego pojęcia o problemie."
5,złapać wiatr w żagle,czasownik dokonany z dopełnieniem przyimkowym,zyskać energię lub motywację do działania,nabrać rozpędu,B2,"biznes, motywacja, edukacja","poetycki, potoczny",metafora z żeglarstwa — pomyślny wiatr umożliwia szybki postęp,ˈzwapaɕ ˈvʲatr f ˈʐaɡlɛ,Po tej prezentacji naprawdę złapał wiatr w żagle.,Nowy projekt pozwolił firmie złapać wiatr w żagle.,Motywacja wróciła — znów złapałem wiatr w żagle.
6,leżeć odłogiem,"czasownik nieprzechodni, metafora rolnicza","być zaniedbanym, nieużywanym",być opuszczonym lub zaniedbanym,C1,"życie zawodowe, infrastruktura","poetycki, formalny","pochodzenie rolnicze – ziemia, której nie uprawia się",ˈlɛʐɛt͡ɕ ɔˈdwɔɡʲɛm,Projekt leży odłogiem od miesięcy.,"Te działki leżą odłogiem, nikt ich nie zagospodarował.","Pomysł świetny, ale leży odłogiem z braku funduszy."
7,wpaść jak śliwka w kompot,"czasownik dokonany, porównanie idiomatyczne",znaleźć się nagle w niekorzystnej sytuacji,wpaść w kłopoty,B2,"humor, sytuacje towarzyskie","humorystyczny, potoczny",polska kulinarna metafora,fpast͡ɕ jak ˈɕlifka f ˈkɔmpɔt,Wpadłem jak śliwka w kompot z tym egzaminem.,Ona wpadła jak śliwka w kompot w tej nowej pracy.,"Kiedy zobaczyłem jego minę, wiedziałem, że wpadł jak śliwka w kompot."
8,wziąć nogi za pas,czasownik dokonany z dopełnieniem idiomatycznym,uciec szybko,uciec,B1,"przygoda, humor, dzieciństwo","potoczny, obrazowy",wizerunek osoby szybko wybiegającej z miejsca zagrożenia,vzɔɲt͡ɕ ˈnɔɡʲi za pas,"Jak tylko zobaczył policję, wziął nogi za pas.","Dzieci wzięły nogi za pas, gdy usłyszały krzyk nauczycielki.","Nie czekając dłużej, wziąłem nogi za pas i uciekłem."
9,patrzeć przez różowe okulary,"czasownik z przyimkiem, rzeczownik z przymiotnikiem",widzieć wszystko w zbyt optymistyczny sposób,być nadmiernym optymistą,B2,"psychologia, relacje, młodość","potoczny, obrazowy",zachodnioeuropejska metafora optymizmu i naiwności,ˈpatʂɛt͡ɕ pʂɛs ˈruʐɔvɛ ɔkuˈlarɨ,Zakochani często patrzą przez różowe okulary.,Na początku pracy patrzyłem przez różowe okulary.,Nie można ciągle patrzeć przez różowe okulary – czas zejść na ziemię.
