Idiom (Konkani),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Konkani)",First Example Sentence,Second Example Sentence,Third Example Sentence
जशी करणी तशी भरणी,Correlative comparative clause; parallel nominal construction without explicit verb (elliptical moral aphorism).,One must face the consequences of one’s actions; actions determine outcomes.,"तूं जें करता, ताचें परिणाम तुज्याक भोगपाक लागतलें.",B1,"Daily speech, family advice, moral instruction, politics.","Proverbial, didactic, neutral-formal.",Shared Indo-Aryan karmic philosophy reflected in agrarian Konkani society.,/d͡ʒəʃi kəɾəɳi təʃi bʱəɾəɳi/,तूं लोकांक फसयल्यार जशी करणी तशी भरणी हांव सांगता.,"गांवांत सगळे म्हणटात, जशी करणी तशी भरणी विसरूं नको.",राजकारण्यांक जशी करणी तशी भरणी लागू जावंक जाय.
एक हातान टाळी वाजता ना,Negative declarative clause with instrumental phrase; metaphorical impossibility structure.,Conflict or cooperation requires at least two parties; one side alone is not responsible.,भांडणाक दोन बाजू आसतात.,A2,"Family disputes, mediation, social commentary.","Colloquial, advisory.",Derived from everyday embodied action metaphor common in South Asian oral culture.,/ek ɦaːtã ʈaːɭi ʋaːd͡zəta na/,"तूं एकल्यान दोष देवू नको, एक हातान टाळी वाजता ना.","शिक्षक म्हणाले, एक हातान टाळी वाजता ना, विद्यार्थ्यांनीही प्रयत्न करपाक जाय.",घरांत कलह जाल्यार एक हातान टाळी वाजता ना हें लक्षांत धरा.
थेंब थेंब साचून तळो भरता,Serial participial construction with result clause; habitual present.,Small efforts accumulate into significant results over time.,लहान प्रयत्नांनी मोठो परिणाम मेळटा.,A2,"Education, savings, motivation speeches.","Proverbial, motivational.",Agrarian and monsoon-based imagery central to coastal Konkani life.,/tʰeːmb tʰeːmb saːt͡ʃun təɭo bʱəɾəta/,"दररोज थोडो अभ्यास कर, थेंब थेंब साचून तळो भरता.","आई मुलाक सांगता, थेंब थेंब साचून तळो भरता म्हणतात.","व्यापारांत थोडी बचत करपाक लागता, थेंब थेंब साचून तळो भरता."
वाऱ्यावर घर बांधू नका,Imperative negative clause with locative metaphor.,Do not build plans on unstable or unrealistic foundations.,अविश्वासार्ह गोष्टींवर विश्वास ठेवू नका.,B2,"Business advice, politics, family guidance.","Advisory, metaphorical.",Coastal storm imagery reflecting vulnerability of traditional homes.,/ʋaːɾjãʋəɾ ɡʱəɾ baːndʱu nəka/,"फक्त अफवांवर निर्णय घेऊ नको, वाऱ्यावर घर बांधू नका.","तो म्हणटा, वाऱ्यावर घर बांधू नका, आधी खात्री कर.",गुंतवणूक करतांना वाऱ्यावर घर बांधू नका हें लक्षांत ठेव.
दिसता तसं नसता,Copular negation; contrastive elliptical clause.,Appearances can be deceptive.,बाहेरून दिसतं तें खरं नसूं शकता.,A2,"Daily speech, cautionary advice.","Colloquial, reflective.",Common moral caution across Konkani folklore narratives.,/distə təsã nəstə/,"तो बरो दिसता, पण दिसता तसं नसता.","ही गोष्ट सोपी दिसता, दिसता तसं नसता.",व्यापारांत दिसता तसं नसता म्हणतात.
आंधळ्यान हातीन दीप दिलो,Past passive metaphorical clause; agentive instrumental marking.,Giving responsibility or advantage to someone incapable of handling it.,अयोग्य व्यक्तीक जबाबदारी दिली.,C1,"Political critique, sarcasm, literature.","Ironic, critical.",Traditional metaphor from temple and oil-lamp culture.,/aːndʱəɭjã haːtiːn diːp dilo/,त्याक मोठो प्रकल्प दिलो म्हणजे आंधळ्यान हातीन दीप दिलो.,"लोक म्हणटात, आंधळ्यान हातीन दीप दिलो ह्या निर्णयांत.",अनुभव नसतांना काम दिल्यार आंधळ्यान हातीन दीप दिलो.
उगाचें पाणी ढवळू नका,Negative imperative with object metaphor.,Do not create unnecessary trouble or stir conflict.,उगाच त्रास निर्माण करू नका.,B1,"Workplace, family disputes, humor.","Colloquial, mildly admonishing.",Fishing and water imagery common in coastal Konkani communities.,/uɡaːt͡ʃe paːɳi ɖʱəʋəɭu nəka/,"सगळें शांत आसा, उगाचें पाणी ढवळू नका.",राजकारणांत उगाचें पाणी ढवळू नका म्हणतात.,तूं जुनी गोष्ट काढून उगाचें पाणी ढवळू नको.
सोंसार समुद्रासारको आसा,Simile using -सारको comparative form; copular clause.,Life is vast and unpredictable like the sea.,जीवनांत अनेक चढउतार आसतात.,B2,"Literature, philosophical speech, sermons.","Poetic, reflective.",Deeply tied to Goa’s maritime history and seafaring culture.,/sõsaːɾ səmud̪ɾaːsaːɾko aːsa/,"बाब म्हणाले, सोंसार समुद्रासारको आसा, धीर धर.","कवितेंत लिहिलें, सोंसार समुद्रासारको आसा.",जीवनाच्या संकटांत सोंसार समुद्रासारको आसा हें जाणवतं.
वेळ गेल्यार परत येता ना,Conditional subordinate clause with negated habitual main clause.,Lost time cannot be regained.,गेल्लो वेळ परत मेळटा ना.,A2,"Education, parental advice, motivation.","Proverbial, instructive.",Time-conscious agrarian scheduling tied to monsoon cycles.,/ʋeːɭ geːljaːɾ pəɾət jeːta na/,"अभ्यास कर, वेळ गेल्यार परत येता ना.","आई म्हणता, वेळ गेल्यार परत येता ना म्हणून मेहनत कर.","तरुणपणांत संधी सोडू नको, वेळ गेल्यार परत येता ना."
हातांतों सोनें मेळ्ळें,Perfective clause; metaphorical possession structure.,A rare opportunity or great fortune has been obtained.,मोलाची संधी मेळ्ळी.,B2,"Business, celebration, congratulation.","Positive, celebratory.",Gold symbolism in Goan trade and dowry traditions.,/haːtãto soːne meɭɭe/,तूं ही नोकरी मेळ्ळी म्हणजे हातांतों सोनें मेळ्ळें.,"गुंतवणुकींत फायदा जाला, हातांतों सोनें मेळ्ळें म्हणतात.",त्याका अशी संधी मेळ्ळी की हातांतों सोनें मेळ्ळें.
