Idiom (Keningau Murut),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Keningau Murut)",First Example Sentence,Second Example Sentence,Third Example Sentence
Toson nga’ do’ ratu,Fixed clause; nominal predicate with genitive marker ‘do’’,"To act foolishly or proudly, especially after gaining small success.",To become arrogant or reckless.,B2,"Daily speech, humor, sarcasm, youth culture","Colloquial, humorous, ironic",Derived from old Keningau Murut village tales mocking a rooster that crowed proudly after escaping a trap.,/tɔ.sɔn ŋaʔ do ra.tu/,Oku ino’ mingampai nga’ tos’on nga’ do’ ratu po do’ minoguhup ku nga’ i kazo’.,Kou no’ tos’on nga’ do’ ratu nga’ songou i milou miampai do’ boros.,"Nga’ i tawa, sinong nga’ tos’on nga’ do’ ratu po!"
Tobon nga’ do’ kalupis,Compound noun phrase; verb-noun idiom,To show patience and endurance through hardship.,To be patient and steadfast.,B1,"Family, work, moral teachings, proverbs","Poetic, formal, moralistic","Refers to the patience needed when wrapping ‘kalupis’ (sticky rice rolls), symbolizing perseverance.",/tɔ.bɔn ŋaʔ do ka.lu.pis/,Ino’ monguhup nga’ tobon nga’ do’ kalupis nga’ ginawo do’ susah.,Tokou no’ milou nga’ tobon nga’ do’ kalupis do’ ginawo po.,"Kou ino’ miampai nga’ tobon nga’ do’ kalupis, aiso nga’ songou."
Omotol do’ tawan,Verb phrase; passive-like structure,To face shame or embarrassment publicly.,To be embarrassed or humiliated.,B2,"Social life, humor, community gossip","Colloquial, ironic, humorous",Rooted in traditional performance settings where the ‘tawan’ (stage) was central to communal ridicule or praise.,/o.mɔ.tɔl do ta.wan/,Oku no’ omotol do’ tawan nga’ milou miampai do’ boros po.,Kou ino’ omotol do’ tawan nga’ songou nga’ ginawo ku.,"Nga’ i pasar, i Maria no’ omotol do’ tawan po."
Sinu nga’ mino’ tanak,Clause with genitive particle; idiomatic predicate,One who is overly proud of minor achievements.,Someone who brags too much.,B1,"Youth culture, humor, workplace","Colloquial, humorous",Draws on imagery of a young rooster (tanak) boasting after crowing once.,/si.nu ŋaʔ mi.noʔ ta.nak/,Kou no’ sinu nga’ mino’ tanak nga’ i boros po.,Oku ino’ milou nga’ sinu nga’ mino’ tanak po nga’ i sumandak.,"Nga’ i pasar, tokou no’ misampai nga’ sinu nga’ mino’ tanak po."
Togom kopio nga’ kinorut,Nominal idiom; fixed expression,To have great courage in difficult times.,To be brave or strong-hearted.,C1,"Moral sayings, war stories, family honor","Formal, heroic, moralistic","Refers to the heart (‘kopio’) of a warrior (‘kinorut’), celebrated in Murut oral traditions.",/tɔ.gɔm kɔ.pi.o ŋaʔ ki.nɔ.rut/,Oku ino’ milou nga’ togom kopio nga’ kinorut nga’ ginawo do’ susah.,Kou no’ monguhup nga’ togom kopio nga’ kinorut po.,"Nga’ i perang, i tawa no’ milou nga’ togom kopio nga’ kinorut."
Mogit nga’ i langit,Verb phrase with comparative clause,To have very high or unrealistic ambitions.,To dream too big.,B2,"Education, youth, motivational, irony","Ironic, poetic",Reflects Murut cosmology linking ambition with the sky (‘langit’).,/mɔ.git ŋaʔ i la.ŋit/,Kou ino’ mogit nga’ i langit nga’ ginawo do’ minongkol.,Oku no’ milou nga’ mogit nga’ i langit po.,"Nga’ i kampung, i tanak no’ mogit nga’ i langit nga’ miampai."
Nopongo nga’ do’ awi,Verb-noun idiom; transitive clause,To stay quiet or avoid conflict intentionally.,To remain silent or calm.,B1,"Conflict resolution, family, workplace","Colloquial, polite",‘Awi’ (bamboo) bends with wind—symbol of peaceful restraint.,/nɔ.pɔ.ŋɔ ŋaʔ do a.wi/,Oku ino’ nopongo nga’ do’ awi nga’ boros po.,Kou no’ nopongo nga’ do’ awi nga’ ginawo do’ susah.,Tokou ino’ nopongo nga’ do’ awi po nga’ i pasar.
Kino nga’ i sumbiling,Comparative clause; metaphorical structure,To be unpredictable or inconsistent.,To be unreliable or moody.,B2,"Daily speech, humor, relationships","Colloquial, ironic",Derived from the sumbiling fish known for erratic swimming.,/ki.nɔ ŋaʔ i sum.bi.liŋ/,Kou no’ kino nga’ i sumbiling nga’ ginawo po.,Oku ino’ milou nga’ kino nga’ i sumbiling po nga’ i kawan.,"Nga’ i pasar, i Maria no’ kino nga’ i sumbiling po."
Moguhup nga’ i boros do’ kopio,Verb clause; indirect object idiom,To speak from the heart sincerely.,To be honest or heartfelt.,C1,"Romance, family, diplomacy, morality","Formal, poetic, emotional",‘Kopio’ (heart) symbolizes emotional sincerity in Murut belief.,/mɔ.gu.hup ŋaʔ i bɔ.ros do kɔ.pi.o/,Oku ino’ moguhup nga’ i boros do’ kopio nga’ ginawo po.,Kou no’ moguhup nga’ i boros do’ kopio nga’ i tawa.,"Nga’ i boros ku, oku ino’ moguhup nga’ i boros do’ kopio po."
Toson nga’ do’ langkob,Fixed clause; predicate idiom,To pretend or boast falsely.,To exaggerate or lie for attention.,B2,"Daily speech, humor, politics","Colloquial, sarcastic",Based on the ‘langkob’ (hornbill) known for loud calls without substance.,/tɔ.sɔn ŋaʔ do laŋ.kɔb/,Kou no’ tos’on nga’ do’ langkob nga’ boros po nga’ i pasar.,Oku ino’ milou nga’ tos’on nga’ do’ langkob nga’ i kawan.,"Nga’ i tawa, i sumandak no’ tos’on nga’ do’ langkob po."
