Idiom (Judeo-Georgian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Judeo-Georgian)",First Example Sentence,Second Example Sentence,Third Example Sentence
ენაზე კბილი დაიჭირე,Fixed imperative verbal clause; locative phrase with -ზე plus direct object and compound verb დაიჭირე.,"Keep silent, restrain speech, or avoid revealing sensitive information.",არ თქვა ეს; საიდუმლო შეინახე.,B1,family advice; discreet community matters; workplace confidentiality; humor,colloquial; cautionary; mildly humorous,"Shared Georgian idiom common in household counsel; in Judeo-Georgian settings it fits communal discretion around family, synagogue, and business matters.",[ɛnɑzɛ kʼbili dɑit͡ʃʼirɛ],"ხახამმა ჩუმად მითხრა: ენაზე კბილი დაიჭირე, სანამ ოჯახი თვითონ არ გამოაცხადებს ნიშნობის ამბავს.","ბებიამ ბაზარში გაიგო ძვირიანი ამბავი, მაგრამ ენაზე კბილი დაიჭირა და მეზობლებს არაფერი უთხრა.","თუ არქივის წერილს კითხულობ, ენაზე კბილი დაიჭირე, რადგან ეს თემის შიდა საქმეა."
თვალში ნაცრის შეყრა,Nominalized verbal idiom; dative-locative body-part phrase თვალში plus genitive object ნაცრის and masdar-like verbal noun შეყრა.,"To deceive someone, create a false impression, or distract them from the truth.",მოტყუება; სიმართლის დამალვა.,C1,politics; business; family disputes; ironic commentary; public speech,colloquial-to-literary; accusatory; ironic,"A vivid Caucasian image of obscuring vision; useful in Judeo-Georgian narratives about trade, negotiation, and communal trust.",[tʰvɑlʃi nɑt͡sʰris ʃɛqʼrɑ],"ის ვაჭარი ფასს ისე აქებდა, თითქოს ოქრო ედო ხელში, მაგრამ ყველამ იცოდა, რომ თვალში ნაცარს გვაყრიდა.","სხდომაზე ლამაზი სიტყვები თქვეს, თუმცა მოხუცმა იაკობმა მაშინვე იგრძნო თვალში ნაცრის შეყრა.","ქაშერის ბეჭედზე არავის მოატყუებ; თვალში ნაცარს ნუ შეაყრი ხალხს, ვინც წესს კარგად იცნობს."
გული მოეცა,Intransitive verbal idiom with experiencer semantics; nominative body-part subject გული and aorist/stative verb მოეცა.,"To gain courage, confidence, or emotional strength.",გამხნევდა; უფრო თამამად იგრძნო თავი.,A2,encouragement; teaching; family support; public performance; religious learning,neutral; warm; supportive,"The heart as the seat of courage is a widespread Georgian and Jewish family metaphor, especially natural in intergenerational encouragement.",[ɡuli mɔɛt͡sʰɑ],"ბიჭს გული მოეცა, როცა ბაბუამ თორის კითხვა ჩუმად შეუქო და გვერდით დაუჯდა.",სინაგოგის ეზოში პირველი სიმღერის შემდეგ გოგონას გული მოეცა და მეორე კუპლეტიც ხმამაღლა დაიწყო.,"როცა მეზობლებმა დახმარება შესთავაზეს, დაქვრივებულ ქალს გული მოეცა და ფესახის მზადება გააგრძელა."
პირში წყალი ჩაიგუბა,Fixed verbal clause; locative body-part phrase პირში plus subject/object წყალი and inchoative verb ჩაიგუბა.,"To become completely silent, especially when expected to answer.",დადუმდა; პასუხი არ გასცა.,B1,family teasing; courtroom-like questioning; classroom; gossip; comic storytelling,colloquial; humorous; teasing,A bodily image of speech being blocked; often used in Georgian oral storytelling and adaptable to Judeo-Georgian family humor.,[pʼirʃi t͡sʼqʼɑli t͡ʃʰɑiɡubɑ],"როგორც კი დედამ ჰკითხა, ვინ გატეხა ხანუქის ლამპა, პატარა რაფაელმა პირში წყალი ჩაიგუბა.","საბუთების შემოწმებაზე მოლარე ისე გაჩუმდა, თითქოს პირში წყალი ჩაეგუბებინა.","მასწავლებელმა პასუხი სთხოვა, მაგრამ მოსწავლემ პირში წყალი ჩაიგუბა და რვეულს დაუწყო ყურება."
ცხვირი ჩამოუშვა,Fixed verbal idiom; body-part object ცხვირი with preverb-bearing transitive verb ჩამოუშვა.,"To look disappointed, lose cheer, or become visibly discouraged.",მოიწყინა; იმედი გაუცრუვდა.,B1,family talk; school; markets; casual criticism; affectionate teasing,colloquial; gentle; sometimes teasing,A facial-expression idiom rooted in everyday Georgian speech; common in intimate household narratives.,[t͡sʰχviri t͡ʃʰɑmɔuʃvɑ],"ეზოში თამაში რომ გადაიდო, პატარა ესთერმა ცხვირი ჩამოუშვა და ბებიას კალთასთან დაჯდა.","ფასდაკლება რომ აღარ დარჩა, მენახემმა ცხვირი ჩამოუშვა, მაგრამ მაინც იყიდა შაბათის ღვინო.","ნუ ჩამოუშვებ ცხვირს, ხვალაც არის დღე და ხახამთან საუბარს კიდევ მოასწრებ."
თავზე ცივი წყალი გადაესხა,Perfective experiencer construction; locative phrase თავზე plus adjectival noun phrase ცივი წყალი and passive-like compound verb გადაესხა.,To be shocked by sudden unpleasant news or a startling realization.,ძალიან გაუკვირდა; მოულოდნელმა ამბავმა შეაშფოთა.,B2,bad news; business loss; family announcements; storytelling; dramatic narration,neutral-to-colloquial; dramatic,A sensory metaphor for shock; strongly suited to narrative discourse in Georgian and Judeo-Georgian family storytelling.,[tʰɑvzɛ t͡sʰivi t͡sʼqʼɑli ɡɑdɑɛsχɑ],"როცა გაიგო, რომ ძველი სახლის გაყიდვა გადაწყდა, სალომეს თავზე ცივი წყალი გადაესხა.","თემის წიგნში დაკარგული გვარი რომ ნახა, მკვლევარს თავზე ცივი წყალი გადაესხა.","ბაზრიდან დაბრუნებულმა მამამ ფასები რომ ჩამოთვალა, დედას თავზე ცივი წყალი გადაესხა."
ფეხი აუწყო,Light-verb idiom; body-part noun ფეხი as object and preverb-bearing verb აუწყო governing an implicit or explicit dative complement.,"To adapt to someone’s rhythm, keep up with a process, or align behavior with a group.",შეეგუა; იმავე ტემპით დაიწყო მოქმედება.,B2,workplace; music; study groups; migration; technology adoption; community life,neutral; practical; cooperative,A walking/dancing metaphor; highly natural in Georgian contexts where group coordination and communal pacing matter.,[pʰɛχi ɑut͡sʼqʼɔ],ახალმა მასწავლებელმა მალე აუწყო ფეხი თბილისის თემის ბავშვებს და გაკვეთილები სიმღერით დაიწყო.,"ისრაელში გადასვლის შემდეგ ოჯახმა ნელ-ნელა აუწყო ფეხი ახალ წესებს, მაგრამ ყივრული სახლში არ დაუკარგავთ.","თუ ციფრულ არქივს ვაკეთებთ, უხუცესების მოგონებებსაც უნდა ავუწყოთ ფეხი და მათი ხმა დავიცვათ."
თვალის ჩინი,Possessive/genitive nominal idiom; genitive body-part phrase თვალის plus abstract noun ჩინი used predicatively or appositionally.,A dearly beloved person or thing; someone precious and irreplaceable.,ძალიან საყვარელი და ძვირფასი ადამიანი ან რამ.,B2,family affection; blessing; elder speech; eulogy; literature,poetic; affectionate; elevated colloquial,"A tender Georgian kinship metaphor; especially resonant in Judeo-Georgian intergenerational speech about children, manuscripts, and family memory.",[tʰvɑlis t͡ʃʰini],"ბებიასთვის ის პატარა თორის წიგნი თვალის ჩინი იყო, რადგან მამამისის ხელიდან დარჩა.","რაფაელი ოჯახის თვალის ჩინი გახდა, როცა ავადმყოფ ბაბუას ყოველ საღამოს კითხულობდა.",ძველი მეზუზა თემის თვალის ჩინივით ინახებოდა და მასზე უხეში ხელი არავის მიუკარებია.
ყურს მიღმა გაუშვა,Fixed verbal idiom; postpositional phrase ყურს მიღმა plus transitive perfective verb გაუშვა.,"To ignore advice, warning, or information as if one did not hear it.",არ გაითვალისწინა; ყურადღება არ მიაქცია.,B2,advice; warnings; education; workplace; family disagreement,neutral; mildly critical,A hearing-based metaphor common in Georgian admonition; appropriate in Judeo-Georgian elder-to-younger counsel.,[qʼurs miɣmɑ ɡɑuʃvɑ],დედის გაფრთხილება ყურს მიღმა გაუშვა და ქეთუბის ასლი წვიმაში დაუფარავად წაიღო.,"ხახამის რჩევა თუ ყურს მიღმა გაუშვი, მერე ნუ გაგიკვირდება, რომ საქმე აგერევა.",მუზეუმის მცველმა ჩვენი თხოვნა ყურს მიღმა არ გაუშვა და ძველი ჩანაწერი ფრთხილად გადმოგვცა.
წყალში ჩაყარა,"Perfective transitive verbal idiom; locative phrase წყალში plus verb ჩაყარა with an implied object such as labor, money, or effort.","To waste effort, money, time, or preparation so that it brings no result.",უშედეგოდ დახარჯა; ფუჭად დაკარგა.,B1,work; household management; study; event planning; business; mild complaint,colloquial; regretful; practical,"A common Georgian metaphor of loss through water; natural in market, household, and community-event speech.",[t͡sʼqʼɑlʃi t͡ʃʰɑqʼɑrɑ],"თუ მოწვევებს დროზე არ გავაგზავნით, მთელი შრომა წყალში ჩავყარეთ და სტუმრები ვერ მოასწრებენ მოსვლას.",მან ქაშერის სამზარეულოს წესი არ დაიცვა და ძვირი სადილი წყალში ჩაყარა.,"არქივის ფურცლები რომ არ დაასკანერო, ბაბუების ნაამბობს წყალში ჩაყრი და ხვალ ვერავინ იპოვის."
