Idiom (Avar),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Avar)",First Example Sentence,Second Example Sentence,Third Example Sentence
Цӏана хъулав,"Fixed clause with noun and verb, idiomatic subject-verb order",To behave arrogantly or presumptuously,Act superior or overly proud,B2,"daily speech, family, humor","colloquial, ironic",Refers to pride associated with traditional village hierarchies,[tsʼana χʷulav],"Хъин цӏана хъулав, къана хьума чун.","Цӏана хъулав къана, са цӏикӏин хъума ву.",Гъеттаб кӏанадал цӏана хъулав къаял.
Гъа вараб къудас,Clause with verb-object agreement,To make a foolish mistake or blunder,Mess something up or fail,B1,"daily speech, workplace, sarcasm","colloquial, humorous",Imagery of missing a goat at a market—symbol of carelessness,[ʁa warab qʼudas],"Къай жугъ, гъа вараб къудас!","Мисса, хьо гъа вараб къудас чун.","Са лъачу ву, гъа вараб къудас чун."
"Хъума сехъе, хӏума ву","Double clause, fixed phrase",You reap what you sow,Actions have consequences,B2,"proverbs, family, teaching","proverbial, moralistic",Moral proverb common in rural teaching,"[χʷuma sɛχe, χʼuma wu]","Хъума сехъе, хӏума ву — къай учугъ.",Цӏал гъула са хъума сехъе.,"Хъинда жугъ, хъума сехъе, хӏума ву."
"Къай везул, гъинул цӏал кӏвал",Complex sentence with conditional implication,To act foolishly without forethought,Rush into something without thinking,C1,"sarcasm, politics, daily speech","ironic, colloquial","Critique of impulsive behavior, common in oral tradition","[qʼaj wezul, ʁinul tsʼal kʼwal]","Къай везул, гъинул цӏал кӏвал чун.","Къадал хъума, къай везул хъин кӏвал.",Гьулада гъинул цӏал кӏвал хъума жугъ.
Цӏикӏин без хъума гъула,Noun phrase with emphasis,A little spark can cause big trouble,Small actions can have big consequences,C1,"literature, teaching, workplace","proverbial, poetic",Based on fire and mountain imagery in highland regions,[tsʼiʔin bɛz χʷuma ʁula],Цӏикӏин без хъума гъула хъума кӏуладиз.,Къадал цӏикӏин без хъума жугъ ву.,Хъума гъула цӏикӏин без кӏуладиз.
"Син бугъа, батал къанц",Imperative phrase,Pull yourself together and act bravely,Be strong and do what must be done,B2,"family, sports, moral instruction","encouraging, firm",Draws on bravery in highland warrior culture,"[sin buɢa, batal qʼantsʼ]","Син бугъа, батал къанц — цӏикӏин кӏвал!","Хьо хъума жугъ, син бугъа!","Къвал кӏвалай, батал къанц!"
"Батал къилда, къай жугъ",Comparative idiomatic structure,Better to try and fail than do nothing,It’s better to attempt than to stand idle,B2,"motivation, teaching","didactic, poetic",Moral theme of courage over passivity,"[batal qʼilda, qʼaj ʒuɢ]","Батал къилда, къай жугъ — хъума лъачу.","Цӏикӏин, батал къилда хъин!","Жугъ къай, батал къилда."
"Жугъ къеб, хӏин баб",Parallel clause,An action speaks louder than advice,Do instead of just saying,C1,"sarcasm, workplace, politics","ironic, critical",Refers to elders giving advice but not acting,"[ʒuɢ qʼɛb, χʼin bab]","Жугъ къеб, хӏин баб — са кӏуладиз чун.",Хъума хъулав къебас хъин баб.,"Батал ву, жугъ къеб, хӏин баб чун."
"Хъунду хъилда, гъар кӏувал",Proverbial comparative,Start small to achieve greatness,From small beginnings come big outcomes,C2,"literature, politics, encouragement","literary, inspirational",Highland metaphor for planting and harvest,"[χʷundu χʷilda, ʁar kʼuwal]","Хъунду хъилда, гъар кӏувал са хъума ву.","Гьалла гъар, хъунду хъилда хъума.","Цӏикӏин хъунду, гъар кӏувал чун."
"Лъачу ву къай, гъула са","Fixed clause, reversal emphasis",All that glitters is not gold,Looks can be deceiving,C1,"literature, warning","poetic, reflective",Draws from contrasts in village values,"[ʟʼatʃu wu qʼaj, ʁula sa]","Лъачу ву къай, гъула са — хъума цӏикӏин.","Гъула са, лъачу ву къай хъума чун.","Лъачу къай, гъула са хъинда."
