Idiom (Upper Sorbian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1-C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Upper Sorbian)",First Example Sentence,Second Example Sentence,Third Example Sentence
mjez štyrjomi wočemi,Stały předłožkowy frazeologizm z ličbnym wyrazom a wěcownikom w pluralnym wotměnjenju.,"Rozmołwa abo wuprajenje so stawa dowěrliwje, bjez dalšich swědkow.",dowěrliwje a sam na sam rěčeć,B1,dźienna rozmołwa; dźěło; diplomacija; swójba; tajne porady,"neutralny, dowěrliwy, zdwórliwy","Wobraz štyrjoch wočow je w europskich rěčach rozšěrjeny a pasuje k małej, dowěrliwej rozmołwje.",/ˈmjɛs ˈʃtɨʀ.jɔ.mi ˈwɔ.tʃɛ.mi/,"To chcu ći mjez štyrjomi wočemi prajić, dokelž njeje za wulku skupinu.",Direktorka je po posedźenju z nim mjez štyrjomi wočemi porěčała.,"Mjez štyrjomi wočemi přizna, zo je so při ličbach přehladnuł."
ćicha woda,Mjenowy frazeologizm: kajkostnik a wěcownik žónskeho rodu w nominatiwje jednoty.,"Po zdaću měrny abo mało rěčaty čłowjek, kotryž pak móže překwapjace mysle a činy pokazać.","ćichi, ale njejednory čłowjek",B2,šula; swójba; charakterizowanje ludźi; humor; psychologiske wopisowanje,"rozmołwny, mjenje formalny, jemnje žortny","Woda jako kulturny wobraz za schowane hłubiny wotbłyšćuje dožiwjenje, zo ćichosć njeje přeco słabosć.",/ˈtɕi.xa ˈwɔ.da/,"Marta je ćicha woda: we šuli mało rěči, ale při projekće wšěch překwapi.","Njepodceńuj jeho, tón ćicha woda ma jasny plan.","W našej družinje je Lena ćicha woda, kotraž wotměrjene a přemyslene rozsudy čini."
swoje tři najgroše přidać,"Słowjesny frazeologizm z posesoriskim zaimjenom, ličbu, objektom w akuzatiwje a dokonjanym słowjesom.",Něchtó so do rozmołwy z njewažnym abo zbytkomnym přispomnjenjom měša.,něšto njewažne k rozmołwje rjec,B2,wjesne zhromadźenja; swójbne debaty; humor; ironija; komentary,"rozmołwny, ironiski, žortny","Najgroš bě mały pjenjez; wobraz pokazuje, zo je přinošk mały abo njewulkeje hódnoty.",/ˈswɔ.jɛ ˈtʃi ˈnaj.ɡʀɔ.ʃɛ ˈpʃi.datɕ/,"Hačrunjež posudźenje hižo skónčene bě, doda Pětr swoje tři najgroše.",Na wjesnym zhromadźenju njemóžeše ćicho być a je zaso swoje tři najgroše přidał.,"Hdyž so susodźa wo naprawje rówerja radźachu, přida susod swoje tři najgroše."
wodu do rěki nosyć,Słowjesny frazeologizm z akuzatiwnym objektom a předłožkowej skupinu do z rodźakom.,"Činić abo wujasnjeć něšto, štož je zbytkowne, dokelž je hižo dosć toho sameho.",něšto njetrjebawše činić,C1,wědomosć; přikazanje; akademiske pisanje; ironiske korektury; dźěłowe diskusije,"rozmołwny do literarneho, často ironiski","W hornjoserbskim nałožowanju maja warianty z rěku, Łobjom abo Sprjewju lokalny łužiski smjer.",/ˈwɔ.du dɔ ˈʀjɛ.ki ˈnɔ.sɨtɕ/,"Starym rybarjam wopisować, kak Sprjewja běži, je wodu do rěki nosyć.","Njepisaj dalšu stronu wo tym, štož kóždy wě; to by jenož wodu do rěki nosyć było.",Na tutym seminarje definiciju zakładneho słowa rozkładować rěka wodu do rěki nosyć.
pěsk do wočow sypać,"Słowjesny frazeologizm z akuzatiwnym objektom, předłožkowej skupinu a opcionalnym datiwowym wobdźělnikom.","Prawdu zakrywać, někoho mylić abo jemu woprawdźite fakty njepokazać.",někoho mylić a prawdu schować,C1,politika; reklama; dźěło; rozprawy; kritiske komentowanje,"krytyczny, rozmołwny, publicistiski",Wobraz tělesneho zablokowanja widźenja wotpowěduje figuratiwnemu zakrywanju wěrnosće.,/ˈpjɛsk dɔ ˈwɔ.tʃɔw ˈsɨ.patɕ/,"Reklama kupcam pěsk do wočow sypa, hdyž małe pismo wuměnjenja schowa.","Njesypaj mi pěsk do wočow, praj radšo, kak woprawdźe běše.","Politikarjo smědźachu pěsk do wočow sypać, ale ličby běchu jasne."
wolij do wohnja leć,Słowjesny frazeologizm z akuzatiwnym objektom a předłožkowej skupinu do z rodźakom.,"Konflikt, njewolu abo problem hišće posylnić a horšić.",konflikt hišće přiwótřić,B2,swady; politika; socialne medije; swójba; dźěłowe napjatosće,"rozmołwny, napominacy, kritičny",Woheń je stary symbol hněwa a njewole; wolij jeho płomjo posylni a stajnje horjenje podalši.,/ˈwɔ.lij dɔ ˈwɔ.hɲa lɛtɕ/,"Tajke wuprajenje je jenož wolij do wohnja lěło, město zo by mjezsobny konflikt pohładźiło.","Kedźbu, z tajkej ironiju liješ wolij do wohnja.",Po socialnych medijach wulke słowa často wolij do wohnja přiliwaja.
w mutnej wodźe ryby łójić,"Słowjesny frazeologizm z lokatiwnej předłožkowej skupinu, akuzatiwnym objektom a imperfektiwnym słowjesom.",Z njejasneje abo chaotiskeje situacije swójski wužitk brać.,njejasnosć za swójski wužitk wužiwać,C1,politika; hospodarstwo; prawo; konkurenca; skeptiske komentary,"krytyczny, ironiski, publicistiski","Rybarjenje w mutnej wodźe symbolizuje, zo njejasnosć druhich pomha tomu, kiž chce so schować.",/w ˈmut.nɛj ˈwɔ.dʑɛ ˈʀɨ.bɨ ˈwo.jitɕ/,"Šuler w mutnej wodźe ryby łóji, hdyž njewěstotu w prawidłach za swoje wužitki wužiwa.","Podnikar je w mutnej wodźe ryby łójił, doniž běchu ceny njejasne.","W politike někotři rady w mutnej wodźe ryby łója, hdyž ludźo dokładne informacije njemaja."
wjelk we wowčej koži,Mjenowy metaforiski frazeologizm: wěcownik z předłožkowym dopjelnjenjom w lokatiwje.,"Čłowjek, kotryž so přećelnje abo njewinowatnje pokazuje, ale woprawdźe škodźi abo zwjedźe.",pokryćer abo zwjedźerski čłowjek,C1,literatura; moraliske wučby; politika; swójbne warnowanja; nabožne teksty,"literarny, napominacy, moraliski",Frazeologizm je zwjazany z bibliskim a europskim wobrazom falšneje njewinowatosće.,/ˈwjɛlk wɛ ˈwɔw.tʃɛj ˈkɔ.ʒi/,Tón přewšo přiwuzny poradźowar wopokaza so jako wjelk we wowčej koži.,"Kolegina měješe jeho za přećela, ale bórze spózna, zo bě wjelk we wowčej koži.",W literaturje so wjelk we wowčej koži husto jako postawa z dwójnym wobličom jewi.
hišće wjele wody po Sprjewi poběži,"Stała sadźbowa konstrukcija z adwerbialnym hišće, kwantifikatorom, rodźakom a perfektiwnym słowjesom z futuriskim woznamom.",Něšto budźe hišće dołho trać; do požadaneho wuslědka je daloki puć.,hišće dołho trać,C1,planowanje; kultura; politika; wuwiće projektow; historiske komentary,"literarny, regionalny, reflektujacy",Sprjewja je centralna rěka Budyšina a Łužicy; idiom wjaza čas a lokalnu krajinu do jednoho wobraza.,/ˈhiʃ.tɕɛ ˈwjɛ.lɛ ˈwɔ.dɨ pɔ ˈspʀjɛ.wi ˈpɔ.bjɛ.ʒi/,"Hišće wjele wody po Sprjewi poběži, prjedy hač so projekt woprawdźe skonči.","Do toho, zo budźemy wšitke rěčne nastroje měć, hišće wjele wody po Sprjewi poběži.","Hišće něšto wody po Sprjewi poběži, prjedy hač młodźina tutu tradiciju znutřka přewozmje."
kaž by z wokom miknył,Přirunowaca adwerbialna konstrukcija z kaž by a słowjesnym wobrazom nahłeho pohiba.,"Něšto so stawa jara spěšnje, w najkrótšim času.",jara spěšnje a hnydom,B1,dźienna rozmołwa; technika; sport; šula; wjesołe wopisy,"neutralny, rozmołwny, žiwy","Woko a mikanje tworitej stary ludowy wobraz za wokomik, kotryž je bórze nimo.",/ˈkaʒ bɨ z ˈwɔ.kɔm ˈmik.nɨw/,"Hdyž telefon zazwonješe, běchu wšitcy kaž by z wokom miknył při durjach.",Njemóžach wěrić: kaž by z wokom miknył bě cyła rumnosć přihotowana.,Program je sej aktualizaciju stáhnył kaž by z wokom miknył.
