Idiom (Dari),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dari)",First Example Sentence,Second Example Sentence,Third Example Sentence
آب که از سر گذشت، چه یک وجب چه صد وجب,جمله شرطی-تشبیهی ثابت,وقتی مشکل یا خطر به نقطه غیرقابل بازگشت رسیده باشد، میزان آن دیگر اهمیتی ندارد.,وقتی شرایط بد شد، اندازه مشکل مهم نیست.,B2,روزمره، فلسفی، سیاست,ضرب‌المثل، طنز تلخ,برآمده از فرهنگ دری و تجربه زندگی روستایی؛ اشاره به عبور از سیلاب.,"ɒːb ke æz sɒr gozaʃt, tʃe jæk voʤæb tʃe sɑd voʤæb",آب که از سر گذشت، دیگر گریه کردن فایده ندارد.,آب که از سر گذشت، دیگر امیدی به بازگشت نیست.,در سیاست، آب که از سر گذشت، دیگر تغییر نظر دشوار می‌شود.
سنگ بزرگ علامت نزدن است,جمله اسنادی ثابت,کاری که بیش از حد دشوار باشد، معمولاً انجام نمی‌شود.,کار بیش از توان را کسی انجام نمی‌دهد.,B1,روزمره، نصیحت,ضرب‌المثل، طنز,برآمده از شکار و تیراندازی؛ سنگ بزرگ نشانه نزدن است.,sæŋg bozorg ʕælɒːmæt næzædæn æst,سنگ بزرگ علامت نزدن است، پس سعی کن کار کوچک ولی درست انجام بدهی.,وقتی پروژه خیلی عظیم باشد، سنگ بزرگ علامت نزدن است.,در کارهای علمی هم سنگ بزرگ علامت نزدن است.
دوستی خاله خرسه,جمله اسنادی با مضاف‌الیه,کمکی که به جای سود، ضرر می‌رساند.,کمک نادان به ضرر منجر می‌شود.,B2,روزمره، طنز، خانواده,ضرب‌المثل، طنز تلخ,برآمده از حکایت قدیمی درباره خرس و صاحبش.,dusti xɒːle xorsæ,دوستی خاله خرسه باعث شد او ضرر ببیند.,این کار تو مثل دوستی خاله خرسه بود.,در سیاست، گاهی حمایتی دوستی خاله خرسه می‌شود.
هر که بامش بیش، برفش بیشتر,جمله شرطی اسنادی,هر کس مسئولیت یا ثروت بیشتری دارد، مشکلات بیشتری دارد.,مسئولیت بیشتر یعنی دردسر بیشتر.,C1,روزمره، فلسفی، مدیریت,ضرب‌المثل,الهام گرفته از زندگی کوهستانی؛ بام بزرگ برف بیشتری می‌گیرد.,"hær ke bɒːmæʃ biːʃ, bærfæʃ biːʃtær",هر که بامش بیش، برفش بیشتر در مدیریت شرکت‌ها هم صدق می‌کند.,هر که بامش بیش، برفش بیشتر، پس از موفقیت آماده مشکلات باش.,در کار سیاسی، هر که بامش بیش، برفش بیشتر.
از کوزه همان برون تراود که در اوست,جمله اسنادی-تشبیهی,هر کس چیزی را می‌دهد که درونش دارد.,شخص همان را بروز می‌دهد که درونش است.,C1,ادبی، فلسفی، روزمره,ضرب‌المثل، استعاری,ریشه در فرهنگ شاعری و عرفان دری؛ مولوی و حافظ.,æz kuːze hæmɒːn borun tærɒːved ke dær ust,از کوزه همان برون تراود که در اوست، پس باطن خود را پاک کن.,در هنر، از کوزه همان برون تراود که در اوست.,رفتار مردم نشان می‌دهد از کوزه همان برون تراود که در اوست.
مرغ همسایه غاز است,جمله اسنادی,چیز دیگران همیشه بهتر به نظر می‌رسد.,انسان مال دیگران را بهتر می‌بیند.,B1,روزمره، طنز,ضرب‌المثل، طنز,ریشه در فرهنگ روستایی؛ مرغ دیگران بزرگ‌تر یا مرغوب‌تر تصور می‌شود.,morɣ hæmsɒje ɣɒːz æst,برای او مرغ همسایه غاز است.,وقتی به دارایی دیگران نگاه می‌کند، مرغ همسایه غاز است.,حتی در شغل، مرغ همسایه غاز است.
با یک گل بهار نمی‌شود,جمله اسنادی-منفی,یک تلاش یا نشانه کوچک کافی نیست.,یک نشانه کوچک کافی نیست.,A2,روزمره، نصیحت,ضرب‌المثل,برآمده از تجربه کشاورزی؛ گل اول بهار کامل نمی‌آورد.,bɒː jæk gol bəhɒːr næmiːʃævæd,با یک گل بهار نمی‌شود، باید بیشتر تلاش کرد.,این موفقیت کوچک کافی نیست، با یک گل بهار نمی‌شود.,در آموزش، با یک گل بهار نمی‌شود.
زبان سرخ سر سبز می‌دهد بر باد,جمله سببی,حرف بی‌جا می‌تواند خطرناک باشد.,حرف نابجا مشکل ایجاد می‌کند.,C1,روزمره، هشدار، سیاست,ضرب‌المثل، هشدار,ریشه در فرهنگ کهن؛ اهمیت سخن‌سنجی.,zæbɒːn særx sær sebz miːdæhæd bær bɒːd,زبان سرخ سر سبز می‌دهد بر باد، پس مراقب حرفت باش.,در سیاست، زبان سرخ سر سبز می‌دهد بر باد.,حتی در خانواده، زبان سرخ سر سبز می‌دهد بر باد.
نابرده رنج، گنج میسر نمی‌شود,جمله شرطی-منفی,بدون تلاش به موفقیت نمی‌رسیم.,موفقیت بدون تلاش ممکن نیست.,B2,روزمره، انگیزشی، ادبی,ضرب‌المثل، انگیزشی,ریشه در شعر کلاسیک؛ اهمیت سخت‌کوشی.,"nɒːbordɛ rændʒ, gændʒ mojasær næmiːʃævæd",نابرده رنج، گنج میسر نمی‌شود، پس بکوش.,در درس‌خواندن، نابرده رنج، گنج میسر نمی‌شود.,در ورزش هم نابرده رنج، گنج میسر نمی‌شود.
کار امروز را به فردا مسپار,جمله امری-منفی,کار را به تعویق نینداز.,کار را امروز انجام بده.,A2,روزمره، نصیحت,ضرب‌المثل، نصیحت,ریشه در فرهنگ کشاورزی؛ اهمیت زمان‌بندی.,kɒːr emruz rɒː be færdɒː mæspɒːr,کار امروز را به فردا مسپار، که فرصت از دست می‌رود.,در زندگی روزمره، کار امروز را به فردا مسپار.,حتی در تجارت، کار امروز را به فردا مسپار.
