Idiom (Karakhanid),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Karakhanid)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ko‘ngli tog‘dek bo‘ldi,"Fe’l birikmasi (metaforik ifoda, tashbeh konstruktsiyasi)",Kishi yengillik yoki baxt his qilganida aytiladi.,U xursand bo‘ldi.,B1,"Kundalik nutq, his-tuyg‘u, oila",Colloquial,"Qadimiy xalq ifodasi, tog‘ ramzi kuch va sabrni bildiradi.",ˈkœŋlɪ ˈtɔɡdɛk bɔldɪ,"Sinov tugagach, uning ko‘ngli tog‘dek bo‘ldi.","U yaxshi yangilikni eshitib, ko‘ngli tog‘dek bo‘ldi.","Muammo hal bo‘lgach, uning ko‘ngli tog‘dek bo‘ldi."
Ko‘ziga cho‘g‘ tushdi,Passiv konstruktsiya (o‘xshatma asosida metafora),Uyalish yoki xijolat bo‘lish holatini bildiradi.,U uyaldi.,B2,"Ijtimoiy vaziyat, noqulaylik, uyat",Colloquial,"Karakhanid xalq tili, xijolat holatlari ifodasida keng ishlatilgan.",kœzɪɡɑ ʧoɣ tʊʃdɪ,Ustozning tanbehidan keyin uning ko‘ziga cho‘g‘ tushdi.,"Ular noto‘g‘ri ish qilib, ko‘ziga cho‘g‘ tushdi.","Xatoga yo‘l qo‘yib, ko‘ziga cho‘g‘ tushdi."
Tilini tishladi,Refleksiv fe’l konstruktsiyasi,Pushaymon bo‘lish yoki jim turish zaruriyati.,U jim qoldi.,B1,"Suhbat, pushaymonlik, ijtimoiy holatlar",Colloquial,O‘rta asrlarda adabiy suhbatlarda ishlatilgan ifoda.,tɪlɪnɪ tɪʃlɑdɪ,"Gapni aytib, keyin tilini tishladi.","Men xat aytganimni sezib, tilimni tishladim.","U noto‘g‘ri gap aytgach, tilini tishladi."
Suvdan quruq chiqdi,Fe’l birikmasi (majoziy holat ifodasi),Muammo yoki xavfdan zarar ko‘rmay chiqish.,U zarar ko‘rmadi.,C1,"Rasmiy nutq, ish joyi, siyosat",Formal,Siyosiy va tarixiy nutqlarda jasorat timsoli sifatida ishlatilgan.,suvdɑn qʊrʊq ʧɪqdɪ,U muammodan suvdan quruq chiqdi.,U sinovdan suvdan quruq chiqdi.,U aybdan suvdan quruq chiqdi.
Boshini osmonga ko‘tardi,Fe’l birikmasi (ko‘tarinki kayfiyat ifodasi),G‘ururlanish yoki juda quvonish holati.,U juda quvondi.,A2,"Bayram, g‘urur, adabiy nutq",Poetic,She’riyatda osmonga ko‘tarilish ramziy ma’noda.,bɔʃɪnɪ ɔsmɑŋɡɑ køtɑrdɪ,"Farzandi muvaffaqiyat qozongach, u boshini osmonga ko‘tardi.","Mukofot olgach, u boshini osmonga ko‘tardi.","G‘alabani eshitgach, boshini osmonga ko‘tardi."
Yuragi muz bo‘ldi,"Fe’l birikmasi (metaforik, hissiy ifoda)",Qo‘rquv yoki hissiy sovuqlikni bildiradi.,U qo‘rqdi.,B2,"Psixologik holatlar, adabiyot, xalq og‘zaki ijodi",Literary,Sovuq yurak xalq orasida beparvolik belgisi sifatida tilga olinadi.,jurɑɡɪ muz bɔldɪ,"Yomon xabarni eshitib, yuragi muz bo‘ldi.","Qo‘rqinchli tovushni eshitib, yuragi muz bo‘ldi.","U fojiani eshitib, yuragi muz bo‘ldi."
Ko‘rpa tortishdi,Fe’l birikmasi (raqobat ma’nosidagi metafora),Tortishuv yoki nizoni ifodalaydi.,Ular bahslashishdi.,B2,"Bahs, siyosat, ijtimoiy tahlil",Colloquial,Bahs va tortishuv madaniyati tarixiy maqollar orqali shakllangan.,kœrpɑ tɔrtɪʃdɪ,Ikki hamkasb ko‘rpa tortishdi.,Ular hokimiyat uchun ko‘rpa tortishdi.,Deputatlar masalada ko‘rpa tortishdi.
Qo‘li uzun,Ot + sifat birikmasi (metonimik ma’no),"Kuchli, ta’sirli yoki mansabdor shaxsni bildiradi.",U kuchli odam.,C2,"Davlat boshqaruvi, siyosat, ijtimoiy muhit",Formal,"Siyosiy va iqtisodiy tilda, hokimiyat ramzi sifatida.",qolɪ uzʊn,"U hokimning yaqin odami, qo‘li uzun.","U korxonaning yetakchisi, qo‘li uzun.","U uzoq yillar hokimiyatda ishlagan, qo‘li uzun."
Qopni ochdi,Fe’l birikmasi (yashirin ma’noni fosh qiluvchi),Sirni fosh qilish yoki yashirin narsani aytib qo‘yish.,U sirni aytib qo‘ydi.,B1,"Oilaviy suhbat, do‘stona muloqot",Neutral,Tijorat va sir saqlash bilan bog‘liq qadimiy ibora.,qɔpnɪ ɔʧdɪ,"U xafa bo‘lib, oxiri qopni ochdi.",U sirni yashira olmadi va qopni ochdi.,"U eshitgan gaplarini aytib, qopni ochdi."
Ko‘nglidan o‘tardi,Fe’l konstruktsiyasi (ichki fikrni ifodalovchi),Biror narsa haqida o‘ylash yoki niyat qilish.,U o‘ylab qoldi.,B1,"Ichki fikr, falsafiy kontekst",Neutral,Kundalik diniy va falsafiy nutqdan olingan.,kœŋlɪdæn øtɑrdɪ,U kecha shu fikrni ko‘nglidan o‘tardi.,U har kuni shu orzuni ko‘nglidan o‘tkazadi.,U yangi yo‘l haqida ko‘nglidan o‘tkazdi.
