Idiom (Gheg),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gheg)",First Example Sentence,Second Example Sentence,Third Example Sentence
Me i ra murit me krye,Fixed verbal phrase with infinitive construction,To stubbornly persist in a futile action despite clear obstacles,Të vazhdosh kotësisht një veprim pa rezultat,C1,"Daily speech, humor, frustration","Colloquial, ironic",Common in northern Albanian speech describing stubborn effort,/mɛ i ɾa muɾit mɛ kɾy/,Ai vazhdon me i ra murit me krye edhe pse krejt i thanë se projekti nuk funksionon.,Mos i bjer murit me krye për atë punë që s’ka zgjidhje.,"Po merresh kot, je tu i ra murit me krye."
Me pasë dy fytyra,Verb phrase with auxiliary 'me pasë' + noun phrase,To be hypocritical or deceitful,Me qenë hipokrit,B2,"Politics, social relations","Critical, colloquial",Used widely in northern Albanian communities to criticize dishonesty,/mɛ pas dy fytyɾa/,Njerëzit nuk i besojnë sepse ai ka zakon me pasë dy fytyra.,Në politikë shpesh gjen njerëz që kanë dy fytyra.,"Ai u tregu mik sot, por dje foli keq për ty, krejt dy fytyra."
Me e ba qimen tra,Verb phrase with causative structure,To exaggerate a minor issue,Ta zmadhosh një problem të vogël,B2,"Family, humor, everyday disputes",Colloquial,Traditional northern expression referring to turning a hair into a beam,/mɛ ɛ ba cimen tɾa/,Mos e ban qimen tra për një gabim kaq të vogël.,Ajo gjithmonë e ban qimen tra kur ndodh diçka e parëndësishme.,Nuk ka nevojë me e ba qimen tra për një vonesë pesë minutash.
Me i mbushë mendjen dikujt,Verb phrase with dative object,To convince someone fully,Ta bindësh dikë,B1,"Daily speech, workplace",Neutral,Common conversational phrase across Gheg-speaking regions,/mɛ i mbuʃ mɛndjɛn dikuʝt/,Pas shumë diskutimesh më në fund ia mbusha mendjen me ardhë me ne.,Ai u përpoq gjatë me i mbushë mendjen shokut për projektin.,Nuk ishte e lehtë me i mbushë mendjen babës për këtë ide.
Mos me ditë kah me ia mbajtë,Negative clause idiom,To feel completely confused or overwhelmed,Të jesh shumë i hutuar,B2,"Daily speech, emotional contexts",Colloquial,Northern Albanian phrase describing confusion during difficult moments,/mɔs mɛ dit kah mɛ ja mbaʈ/,"Kur mora lajmin, nuk dita kah me ia mbajtë.",Ajo ishte aq e stresuar sa nuk dinte kah me ia mbajtë.,"Në atë situatë të vështirë, edhe ai nuk dinte kah me ia mbajtë."
Me e kapë dikë mat,Verb phrase with object,To catch someone in the act,Ta kapësh dikë duke bërë diçka,B1,"Daily speech, family",Neutral,Common idiom in Albanian describing catching someone red‑handed,/mɛ ɛ kap dikə mat/,Mësuesi e kapi nxënësin mat duke kopjuar.,E kapa mat kur po merrte biskota nga kuzhina.,Policia e kapi mat hajdutin gjatë natës.
Me lujt mendsh,Verb phrase with infinitive,To go crazy or lose one’s mind,Ta humbësh arsyen,C1,"Emotional expression, humor",Colloquial,Traditional phrase used widely in northern dialects,/mɛ luʝt mɛndʃ/,"Po vazhdoi kështu, kam me lujt mendsh nga stresi.",Ai tha se do të luajë mendsh nëse nuk pushon pak.,Njerëzit luajnë mendsh kur përballen me kaq shumë presion.
Mos me hangër bar,Negative idiomatic clause,To not be naive or easily fooled,Me mos qenë budalla,B2,"Humor, argument, daily speech","Ironic, colloquial",Popular northern Albanian phrase implying one is not foolish,/mɔs mɛ haŋəɾ baɾ/,Mos mendo se ne hamë bar e nuk e kuptojmë çfarë po ndodh.,"Ata menduan se do ta mashtronin, por ai nuk ha bar.","Ne nuk hamë bar, e dimë shumë mirë çfarë po bëni."
Me u ba gazi i botës,Reflexive verb phrase,To become the laughingstock,Të bëhesh objekt talljeje,B2,"Humor, social commentary",Colloquial,Common Albanian phrase reflecting communal humor culture,/mɛ u ba ɡazi i bɔtəs/,Me atë veprim u bë gazi i botës.,"Nëse vazhdon kështu, ke me u ba gazi i botës.",Ai u bë gazi i botës kur tregoi atë histori.
Me e mbajtë fjalën,Verb phrase with object,To keep one’s promise,Të mbash premtimin,A2,"Daily speech, ethics",Neutral,Common ethical expression in Albanian culture valuing honor and promises,/mɛ ɛ mbaʈ fjalen/,Ai gjithmonë e mban fjalën që jep.,Njeriu i mirë duhet me e mbajtë fjalën.,Ajo e mbajti fjalën edhe kur ishte e vështirë.
