Idiom (LT),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Pilti kaip iš kibiro,Veiksmažodžio frazė; palyginamoji konstrukcija,Labai stiprus lietus; smarkiai lyja,Smarkiai lyti,A2,"Kasdienė kalba, orų aprašymas","Šnekamoji, vaizdinga","Plačiai vartojama visoje Lietuvoje, iš liaudiškų palyginimų",[ˈpʲɪlʲtʲɪ ˈkaɪp ɪʃʲ kʲɪˈbʲɪrɔ],Šiandien pilą kaip iš kibiro – geriau likti namie.,"Kai atvykome, jau pylė kaip iš kibiro.","Pasiėmiau skėtį, nes sinoptikai sakė – pils kaip iš kibiro."
Laikyti akį,Veiksmažodžių frazė; tranzityvinė konstrukcija,"Stebėti ką nors atsargiai, būti budriam",Stebėti ką nors,B1,"Darbo aplinka, šeima, vaikų priežiūra","Neutrali, šnekamoji",Metaforinė reikšmė iš regos funkcijos; vartojama visoje Lietuvoje,[lɐɪˈkʲɪtʲɪ ˈɐkʲɪ],"Prašau, laikyk akį ant puodo, kol aš nueisiu į parduotuvę.",Ji visada laiko akį ant savo vaikų.,Viršininkas liepė laikyti akį ant naujo darbuotojo.
Dramblys kambaryje,Daiktavardžių junginys; alegorinė konstrukcija,"Akivaizdi problema, kuri ignoruojama",Nepaminėta problema,C1,"Politika, psichologija, konfliktų sprendimas","Publicistinis, metaforinis","Perimta iš Vakarų kultūros (angl. „Elephant in the room“), vartojama viešajame diskurse",[drɐmˈblʲiːs kɐmːbɐˈrʲiːɐ],Per visą susitikimą niekas nepaminėjo dramblio kambaryje.,Apie finansinius sunkumus nekalbėjo – dramblys kambaryje tiesiog liko stovėti.,Mums reikia pagaliau spręsti tą dramblį kambaryje.
Turėti širdį ant delno,Veiksmažodžio frazė su prielinksnine konstrukcija,"Būti atviram, nuoširdžiam",Būti atviram,B2,"Kasdienė kalba, santykių apibūdinimas","Poetiška, metaforinė","Plačiai žinomas posakis, siejamas su emociniu atvirumu",[tʊˈrʲæːtʲɪ ˈʃʲɪrʲdʲɪ ɐnʲ ˈdʲɛɫnɔ],Ji visada turi širdį ant delno – gali pasitikėti.,Tokie žmonės su širdimi ant delno greitai tampa draugais.,Mokytojas turėjo širdį ant delno ir suprato kiekvieną vaiką.
Eiti per galvas,Veiksmažodžio frazė su prielinksniniu objektu,"Siekti tikslo be skrupulų, nekreipiant dėmesio į kitus",Elgtis be atjautos dėl naudos,C1,"Darbo aplinka, konkurencija, politika","Neigiama konotacija, kritiška",Dažnai vartojama kalbant apie karjerą ar politiką,[ˈæɪtʲɪ pʲɛr ˈɡɐɫvɐs],Karjeros siekėjas ėjo per galvas – jam svarbu tik rezultatas.,Negalima eiti per galvas – žmonės nėra laipteliai.,Jis įgijo blogą reputaciją eidamas per galvas.
Auksinės rankos,"Daiktavardžių junginys, epitetinė konstrukcija","Labai gabus, talentingas žmogus, ypač amatininkas",Labai įgudęs,A2,"Meistrystė, šeima, buitis","Šnekamoji, pagyrimo",Tradicinis posakis apie darbščius žmones,[ɐʊkˈsʲɪnʲɛs ˈrɐŋkɔs],Tėvas turi auksines rankas – viską suremontuoja.,Tokia siuvėja – tikros auksinės rankos!,Be auksinių rankų šio darbo nebūtų galima padaryti.
Užmesti akį,Refleksyvi veiksmažodžio frazė,"Trumpai pažvelgti, atkreipti dėmesį","Pažvelgti, pastebėti",B1,"Kasdienė kalba, darbas, bendravimas",Šnekamoji,Vaizdingas posakis iš regos srities,[ʊʒˈmʲɛsʲtʲɪ ˈɐkʲɪ],Gal gali užmesti akį į šį laišką?,Ji užmetė akį į sąrašą ir nieko nerado.,"Užmesk akį, ar orkaitė dar šilta."
Pūsti miglą į akis,Veiksmažodžio frazė su papildiniu,"Apgaudinėti, slėpti tiesą",Klaidinti,B2,"Politika, viešoji kalba, apgaulė","Ironiška, kritiška",Lietuvių liaudies posakis apie apgaulę,[ˈpʊːstʲɪ ˈmʲɪɡɫɐ ɪː ˈɐkʲɪs],Valdžia tik pučia miglą į akis – realių sprendimų nėra.,Nesileisk jam pūsti miglos į akis.,Reklamos dažnai pučia miglą į akis vartotojams.
Lįsti iš kailio,Veiksmažodžio frazė su prielinksnine konstrukcija,"Labai stengtis, dėti daug pastangų",Labai stengtis,B1,"Darbo aplinka, mokslas, šeima","Šnekamoji, vaizdinga",Metafora iš gyvūnijos srities,[ˈlʲiːsʲtʲɪ ɪʃʲ ˈkɐɪlʲʊ],"Jis lenda iš kailio, kad visiems įtiktų.",Vaikai lipo iš kailio per egzaminus.,"Aš lįsiu iš kailio, kad tik tau padėčiau."
Ant ledo palikti,Prielinksninė konstrukcija su veiksmažodžiu,Palikti be pagalbos ar paramos,Apleisti,B2,"Santykiai, darbas, politika","Lietuviška metafora, šnekamoji","Vaizdas iš žiemos gyvenimo; simbolizuoja šaltį, vienišumą",[ɐntʲ ˈlʲɛːdɔ pɐˈlʲɪktʲɪ],"Jis mane paliko ant ledo, kai labiausiai reikėjo pagalbos.",Partneriai liko ant ledo po susitarimo žlugimo.,Tu mane paliksi ant ledo dėl šito projekto?
