Idiom (Austrian German),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Austrian German)",First Example Sentence,Second Example Sentence,Third Example Sentence
Des geht sich aus,"Fixed clause, present tense","Something works out, fits, or is feasible",Das funktioniert / Das ist machbar,A2,"Daily speech, scheduling, casual conversation",Colloquial,"Common phrase across Austria, often used in Vienna",[dɛs ˈɡeːt sɪç ˈaʊ̯s],"Kummst um fümfe? – Joa, des geht si aus.",Mit’m Budget geht si des Projekt locker aus.,"I hob g’moant, des geht si net aus, oba do hast eh Recht g’habt."
Mit’n Schmäh daherkommen,Prepositional phrase with separable verb,To charm or distract with wit or humor,Mit Witz beeindrucken,B1,"Flirting, humor, casual talk","Colloquial, humorous",Viennese charm; 'Schmäh' is central to Wiener Identität,[mɪtn ʃmɛː daˈheːɐ̯kɔmən],Er is wieda mit’m Schmäh daherkommen und ois war g’essen.,Mit’m Wiener Schmäh kriagst da Leit glei auf deine Seiten.,Sie hot sich net beindrucken lass’n vom Schmäh.
Da liegt der Hund begraben,"Fixed clause, passive construction",This is where the real problem lies,Da ist das wahre Problem,B2,"Politics, analysis, formal discourse","Neutral, analytical",Widely used in German-speaking countries with rural roots,[daː liːkt da hʊnt bəˈɡʁaːbn̩],Sie reden immer nur drumrum – dort liegt der Hund begraben.,"Die Bürokratie is es, wo der Hund begraben liegt.","Und da liegt da Hund begraben, wenn's ums Geld geht."
Fix und fertig sein,"Adjective phrase, predicative",To be completely exhausted or overwhelmed,Völlig erschöpft sein,A2,"Daily speech, work, family",Colloquial,Widely used in Austrian households,[fɪks ʊnt ˈfɛʁtɪç zaɪn],Nach dem Umzug war i fix und fertig.,Sie war fix und fertig nach dera Besprechung.,Owa jetzt bin i echt fix und fertig!
Sich in die Nesseln setzen,Reflexive verb phrase,To get into trouble by saying or doing something inappropriate,Sich blamieren / Einen Fehler machen,B2,"Public speaking, workplace, politics","Colloquial, ironic",From nature — nettles as symbols of discomfort,[zɪç ɪn diː ˈnɛsl̩n ˈzɛtsn̩],Mit dera Aussage hast di aber in die Nesseln g’setzt.,Der Politiker hot si ordentlich in die Nesseln g’setzt.,"I woaß, dass i mi do in die Nesseln g’setzt hob."
A G'schichtl druck’n,Infinitive verb phrase with object,To tell a fabricated or exaggerated story,Eine Lügengeschichte erzählen,B1,"Daily speech, sarcasm, humor","Colloquial, ironic",Typical Viennese storytelling with exaggeration,[a ˈɡʃɪçtl̩ ˈdʁʊkn̩],"Hör auf, ma so a G’schichtl zu druck’n!",Er hot wieda sei G’schichtl gedruckt über’s Autofahr’n.,Bei jedem Stammtisch wird a G’schichtl nach’m andern gedruckt.
An Schmarrn reden,Verb phrase with accusative object,To talk nonsense or say something silly,Unsinn reden,A2,"Daily speech, humor, casual conversation",Colloquial,‘Schmarrn’ also refers to a dish but here means nonsense,[an ˈʃmaʁn ˈʁeːdn̩],Red net so an Schmarrn!,Der hot nur Schmarrn daherred’t.,"I glaub, i hob an Schmarrn verzapft gestern."
Da ist der Wurm drin,"Fixed clause, present tense",Something is continuously going wrong,Etwas funktioniert nicht wie geplant,B2,"Workplace, projects, problem-solving",Neutral,Imagery from rotting fruit or wood,[daː ɪst da vʊʁm dʁɪn],In dem Projekt is echt da Wurm drin.,"Immer wenn ma was planen, is da Wurm drin.",Bei dem System stimmt was net – da is sicher da Wurm drin.
Koa Schmäh ohne,"Elliptical clause, omission of verb","Not joking, this is serious",Ich mache keinen Scherz,B1,"Daily speech, assertion, warning","Colloquial, serious","Common Viennese expression, ironic tone",[kɔː ˈʃmɛː ˈoːnə],Des is jetzt echt – koa Schmäh ohne!,"Koa Schmäh, des woa wirklich so.","I sags da – koa Schmäh ohne, i hob mi fürcht!"
Ois leiwand,"Adjective phrase, predicative",Everything is great or cool,Alles ist in Ordnung / Alles ist super,A2,"Youth slang, daily speech","Colloquial, informal","‘Leiwand’ is unique to Austrian dialects, especially Vienna",[ɔɪ̯s ˈlaɪ̯vant],Wie war’s Konzert? – Ois leiwand!,"Bei uns is ois leiwand, danke!",Des neue Radl is echt leiwand!
