Idiom (Kapampangan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kapampangan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Atin yang buntut ing balita,Nominal clause with existential marker 'atin' + possessed noun phrase,There is a hidden motive or additional story behind what is being said,May nakatagong dahilan o dagdag na kuwento,B2,"daily speech, gossip, politics","colloquial, ironic",Derived from rural storytelling traditions where news often carried unseen implications,/ʔaˈtin jaŋ bunˈtut iŋ baˈlita/,E ku maniwala keng sinabi na; atin yang buntut ing balita.,"Nung akakit mu ing nangyari, malalam mu atin yang buntut ing balita.","Ali mu agad paniwalan, kasi atin yang buntut ing balita."
Mikatuliran ya king batu,Predicate adjective phrase describing stubborn behavior,Someone extremely stubborn or unwilling to change opinion,Masyadu yang matigas ang ulo,B1,"family, argument, humor",colloquial,Stone imagery symbolizes immovable firmness in Kapampangan oral metaphors,/mika.tu.liˈran ja kiŋ ˈbatu/,Ing kapatad ku mikatuliran ya king batu; ali ya papatalo.,"Maski mipakit mu na ing ebidensiya, mikatuliran ya king batu.","Ali mu na pilitan, mikatuliran ya king batu talaga."
Mabagsik ya ing lub,Adjectival predicate with existential emphasis,Someone with strong courage or bold personality,Matapang siya,A2,"daily speech, storytelling",neutral,Traditional Kapampangan praise for warriors and brave individuals,/ma.bagˈsik ja iŋ lub/,Mabagsik ya ing lub na ning lalaki; ali ya matakut.,"King laban, mabagsik ya ing lub na ning kapitan.",Dakal yang problema pero mabagsik ya ing lub.
Makalugud ya ing mata,Descriptive predicate phrase,Something pleasant or beautiful to look at,Maganda tingnan,A1,"daily speech, description",neutral,Common aesthetic expression in Kapampangan descriptions of landscapes,/maka.luˈgud ja iŋ maˈta/,Makalugud ya ing mata ning banua king abak.,Ing hardin da makalugud ya ing mata.,Ing disenyu na makalugud ya ing mata.
Mipaglaban ya king hangin,Reflexive verb phrase with locative complement,Fighting a pointless battle,Walang saysay ang pinaglaban,B2,"politics, debate",ironic,Metaphor referencing futile struggles against nature,/mipaɡ.laˈban ja kiŋ haŋˈin/,Ing argumento mu mipaglaban ya king hangin.,"Ali mu na ipilit, mipaglaban ya king hangin.",Ing reklamu da mipaglaban ya king hangin.
Tuknangan ya ing ulun,Verb phrase with object marking,To humble someone who is arrogant,Pinababa ang kayabangan,B2,"family, humor",colloquial,Derived from gesture of pressing someone's head downward,/tuk.naˈŋan ja iŋ ʔuˈlun/,Ing kapitan tuknangan ya ing ulun ning mayabang.,Kailangan mu tuknangan ya ing ulun.,King debate tuknangan ya ing ulun.
Masalese ya ing dila,Predicate adjective phrase,Someone who speaks sharply or critically,Mapanlait magsalita,B1,"family, gossip",colloquial,Metaphor comparing speech to a sharp blade,/masaˈlɛsɛ ja iŋ diˈla/,Masalese ya ing dila ning ale ku.,Ali ku buri kaku ya masalese ya ing dila.,Ing komentar na masalese ya ing dila.
Mekapilan ya king aldo,Temporal clause phrase,Something that has happened repeatedly,Paulit-ulit nang nangyayari,A2,daily speech,neutral,Traditional expression indicating repetition over many days,/mɛka.piˈlan ja kiŋ ʔalˈdo/,Mekapilan ya king aldo ing problema na.,Mekapilan ya king aldo yang dumalan.,Mekapilan ya king aldo ing balita.
Mekadakal yang danum,Quantified noun phrase metaphor,A situation that has escalated greatly,Lumala na ang sitwasyon,B2,"politics, storytelling",dramatic,Water imagery frequently used in Kapampangan metaphors for escalation,/mɛka.daˈkal jaŋ daˈnum/,Ing problema me kadakal yang danum.,Mekadakal yang danum ing alitan da.,"Ali na kontroladu, mekadakal yang danum."
Mipaglakad ya king dilim,Verb phrase with locative metaphor,To proceed without knowledge or certainty,Kumikilos nang walang sapat na impormasyon,C1,"politics, strategy, literature",literary,Darkness metaphor widely used in Kapampangan narratives to indicate uncertainty,/mipaɡ.laˈkad ja kiŋ diˈlim/,Ing lider mipaglakad ya king dilim nung ali ya magplanu.,Mipaglakad ya king dilim ing proyekto nung ala yang datos.,Ali ku buri mipaglakad ya king dilim.
