Idiom (Highland Puebla Nahuatl),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Highland Puebla Nahuatl)",First Example Sentence,Second Example Sentence,Third Example Sentence
Amo nochi tein petlani kostik.,Fixed negative equational clause with universal quantifier nochi and relative marker tein; adjective-like predicate kostik.,"Not everything that looks valuable or impressive is truly good, useful, or trustworthy.",Amo nochi tlen nesi kuali melahuak kuali.,B1,"Advice, trade, family counsel, politics, humor about appearances.","Colloquial, cautionary, mildly ironic.","Regional proverb-style expression shaped by market life in the Sierra Norte, where appearance, bargaining, and practical value are constantly judged.",/ˈa.mo ˈno.t͡ʃi tein peˈt͡ɬa.ni ˈkos.tik/,Amo ximokajkayahua ika in kuajtomin tein kipiya; amo nochi tein petlani kostik.,"Okachi kuali tikitas seki tonali itech tekitl, pampa amo nochi tein petlani kostik.","Nonantsin techilwia, amo nochi tein petlani kostik, ihkuak tikohuas se tlakualoni."
Kipiya yolo itech ima.,"Verbal clause with transitive verb kipiya, possessed noun yolo, and locative phrase itech ima.","Said of a generous, skillful, or caring person whose work shows heart and dedication.",Kuali tekitihua ika tlazohtlalistli.,B2,"Crafts, cooking, family praise, workplace evaluation, community service.","Warm, appreciative, poetic-colloquial.","Connects heart-centered moral value with handwork, especially embroidery, planting, cooking, and communal labor in Puebla towns.",/kiˈpi.ja ˈjo.lo iˈtet͡ʃ ˈi.ma/,"Tokni kipiya yolo itech ima, yehika kuali kichihua nochi in tlakualis.","In sihuat tekitini kipiya yolo itech ima, amo san niman kichihua.","Tlen okichihkej kaltenko neski kuali, pampa okipixkej yolo itech inma."
Okicholo in kuauhtli ipan iyolik.,Perfective transitive clause with animal subject metaphor kuauhtli and locative phrase ipan iyolik.,Someone acted with courage and inner strength when facing danger or shame.,Moyolchikajki huan amo momawti.,C1,"Storytelling, public praise, conflict resolution, ceremonial speech.","Literary, admiring, elevated.","Draws on the eagle as a Mesoamerican symbol of force, vision, and noble courage, adapted in contemporary community narration.",/o.kiˈt͡ʃo.lo in ˈkwaːʍ.t͡ɬi ˈi.pan iˈjo.lik/,"Ihkuak nochi momawtiayaj, Pedro okicholo in kuauhtli ipan iyolik.",Tehhuan tikitakej ken okicholo in kuauhtli ipan iyolik huan okipalehui ichampoyohuan.,Amo okilnamik in pinahistli; okicholo in kuauhtli ipan iyolik.
Moketsa ika ome imetz.,Reflexive/intransitive predicate moketsa with instrumental-comitative preposition ika and numeral phrase ome imetz.,"To stand firm, act independently, or take responsibility without relying on others.",Mosentlalia huan kichihua itekiw ika iselti.,B1,"Workplace, family advice, youth guidance, leadership.","Neutral-colloquial, encouraging.","Based on the embodied image of standing on two feet, often used in advice about maturity, work, and household responsibility.",/moˈket͡sa ˈi.ka ˈo.me iˈmet͡s/,Ximoketsa ika ome mometz huan xiktlalia motekiw axkan.,"Yeh moketsa ika ome imetz, pampa kuali kimati tlen kineki.",Notajtsin nechilwiaya ma nimoketsa ika ome nometz ihkuak nipehuas nitekitis.
"Kitoka etl, kichiaya xochitl.",Coordinated clause with transitive verbs kitoka and kichiaya; agricultural object etl paired with metaphorical object xochitl.,"Someone expects beautiful results without respecting the effort, time, or nature of the work.","Kineki kuali tlamantli, maski amo kuali kitekitilia.",B2,"Farming, education, parenting, criticism of unrealistic plans.","Humorous, critical, rural-colloquial.","Uses milpa imagery familiar in Highland Puebla: each seed has its time, and careless planting cannot produce the desired harvest.",/kiˈto.ka et͡ɬ kiˈt͡ʃi.jaː.ja ˈʃo.t͡ʃit͡ɬ/,"In telpokatl kitoka etl, kichiaya xochitl, pampa amo momachtia huan kineki kuali nota.",Amo xikchihua kemi tikitoka etl huan tikchiaya xochitl; xitekitihua ika yolsewilistli.,"Yehhuan okinekiaj kuali tlasentilistli, pero okitokakej etl huan okichiayaj xochitl."
Kikua itlakual in ehekatl.,Transitive clause with personified subject ehekatl and possessed object itlakual; metaphorical weather agent.,"Plans, money, food, or time disappeared because of disorder, waste, or neglect.",Opoliwik tlen okatka ika amo kuali tlayejyekolistli.,B2,"Household economy, market talk, project planning, mild complaint.","Ironic, colloquial.","Wind is a frequent metaphor for loss, dispersal, and unpredictability in mountain weather and agricultural life.",/kiˈkwa iˈt͡ɬa.kwal in eˈhe.kat͡ɬ/,"Amo tikpiyaj ok tomin, kemi okikua itlakual in ehekatl.",Tein otikchiayaj para ilwitl opoliwik; okikua itlakual in ehekatl.,"Tlen okitlalijkej ipan amatl amo okiskej, pampa okikua itlakual in ehekatl."
Motlalia itech tlahko ohtli.,Reflexive/intransitive clause with locative phrase itech tlahko ohtli.,"To avoid choosing sides, delay a decision, or remain in an uncertain middle position.",Amo motlalia kanaj; amo kimati tlen kinekis.,B2,"Politics, family disputes, workplace decisions, negotiations.",Neutral to mildly critical.,"Road imagery is common in mountainous communities, where choosing the right path has practical and moral weight.",/moˈt͡ɬa.lja iˈtet͡ʃ ˈt͡ɬaʔ.ko ˈoʍ.t͡ɬi/,Tekihuaj motlalia itech tlahko ohtli huan amo techilwia tlen kichihuas.,Amo ximotlali itech tlahko ohtli; xinechilwi kampa tias.,"Yeh okachi moneki moyolchikahuas, pampa semi motlalia itech tlahko ohtli."
Kipiya istatl itech itlahtol.,"Verbal clause with transitive kipiya, noun istatl, and locative-possessive complement itech itlahtol.","Someone speaks with sharpness, wit, sarcasm, or a sting that others feel immediately.",Tlahtohua chikawak huan tepitsin tekuajkayotl.,C1,"Humor, teasing, political criticism, family banter, storytelling.","Sarcastic, witty, sometimes biting.","Salt is linked to taste, preservation, and sting; the expression maps flavor onto speech in everyday oral humor.",/kiˈpi.ja ˈis.tat͡ɬ iˈtet͡ʃ iˈt͡ɬaʔ.tol/,"Kualli xikkaki, pampa in wewentsin kipiya istatl itech itlahtol.","Yeh amo kualani, pero kipiya istatl itech itlahtol ihkuak techtlatlania.","Ipan tlanonotsalistli, María okipixki istatl itech itlahtol huan nochi owetzkakej."
Mokahua kemi metlatl ipan kiowitl.,"Comparative clause with reflexive/intransitive mokahua, comparative particle kemi, and locative phrase ipan kiowitl.","Someone remains stubbornly in place, unmoved by advice, pressure, or changing conditions.","Amo mopatlas, maski nochi okilwijkej.",B1,"Family teasing, workplace frustration, community meetings, humor.","Colloquial, humorous, mildly critical.","The metate is a durable household object; placing it in rain intensifies the image of heavy, unmoving stubbornness.",/moˈka.wa ˈke.mi ˈmet͡ɬat͡ɬ ˈi.pan ˈkjo.wit͡ɬ/,"Nokni mokahua kemi metlatl ipan kiowitl, amo kikaki ken tikilwiaj.","Maski tlayekana, in tlakatl mokahua kemi metlatl ipan kiowitl.",Amo xieto kemi metlatl ipan kiowitl; xikkaki tein mitsilwiaj.
Kichihua tletl ika atl.,Transitive clause with verb kichihua and paradoxical instrumental phrase ika atl.,To try to solve a problem in a way that contradicts itself or makes the task impossible.,Kichihua se tlamantli ika se tlamantli tein amo kipalehuia.,C1,"Technical discussion, project management, education, irony, criticism.","Ironic, analytical, critical.","Built on elemental contrast between fire and water, a transparent metaphor for incompatible methods or self-defeating plans.",/kiˈt͡ʃi.wa t͡ɬet͡ɬ ˈi.ka at͡ɬ/,"Tiknekij tlen amo huelis, kemi tikchihuas tletl ika atl.","In tlayejyekolistli amo kuali, pampa kichihua tletl ika atl.",Amo ma tikchihuakah tletl ika atl; achto ma tikmotlatlanilikah tlen moneki.
