Idiom (Middle French),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Middle French)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mettre le loup en la bergerie,Fixed clause with definite article and prepositional phrase,To allow a dangerous person access to a vulnerable group or place,Donner accès à une personne nuisible,C1,"Politics, workplace, sarcasm","Ironic, formal","Popular among urban elites in the 14th century, originally a warning in sermons",ˈmɛ.tʁə lə lu en la bɛʁ.ʒə.ʁi,Le duc a mis le loup en la bergerie en faisant sire Robert prévôt des marchands.,"Quant on baille à tel usurier les clefs du trésor, c’est mettre le loup en la bergerie.",Elle disoit que prendre cel jeune soudart estoit mettre le loup en la bergerie.
Avoir deux cornes au front,Infinitive verbal phrase with possessive structure,To be cheated on by one's spouse,Être cocu,B2,"Daily speech, humor, literature","Colloquial, humorous","Medieval urban slang, present in fabliaux and popular chansons",aˈvoʁ dø kɔʁn o fʁɔ̃,Mon pauvre compaignon a deux cornes au front et ne le sçait point.,"L'on rit de luy, car il a deux cornes au front jusques à la lune.",Celuy qui rit le dernier a souvent deux cornes au front.
Tirer les vers hors du nez,Infinitive phrase with idiomatic object,To extract information reluctantly from someone,Faire parler quelqu’un avec peine,C1,"Daily speech, family, workplace","Neutral, slightly humorous","14th-century Parisian phrase, likely from medical or folk imagery",tiˈʁe le vɛʁ ɔʁ dy ne,J’ay eu à tirer les vers hors du nez à mon cousin pour sçavoir la vérité.,Elle parle si peu qu’il fault tirer les vers hors du nez chascune fois.,Tirer les vers hors du nez est son jeu favori avec les pauvres paysans.
Boire comme ung trou,Simile structure with comparative preposition,To drink excessively,Boire beaucoup,B1,"Daily speech, taverns, humor","Colloquial, humorous","Common in taverns and among soldiers, appearing in drinking songs",bwaʁ kɔm œ̃ tʁu,Il beut comme ung trou et chante toute la nuict.,"Après la foire, les marchands beuvent comme ung trou.","Tu beuvras encore comme ung trou ce dimanche, n’est-ce pas ?"
Avoir le cœur en ses chausses,Verbal phrase with prepositional locative expression,To be afraid or nervous,Avoir peur,B2,"Daily speech, battlefield, literature","Poetic, expressive",Chivalric literature and courtly tales,aˈvoʁ lə kœʁ ɑ̃ sɛ ʃos,Il avoit le cœur en ses chausses devant le jugement.,"Quand le lion rugist, les hommes ont le cœur en leurs chausses.","Le voleur, prins au fait, avoit le cœur en ses chausses."
Faire la moue à quelqu’un,Reflexive-like phrase with dative recipient,To show displeasure or disdain,Montrer du mécontentement,B1,"Daily speech, family, romance","Colloquial, intimate",Popular in courtly love poetry and domestic anecdotes,fɛʁ la mu a kɛl.kœ̃,Elle faisoit la moue à son mary pour ce qu’il vint tard.,"Quand je luy refusay la robe, elle me fit la moue.","Il n’osa rien dire, car elle luy faisoit la moue dès le matin."
Jouer franc jeu,Infinitive verb with adjective-noun collocation,To act honestly and openly,Se comporter honnêtement,B2,"Workplace, politics, honor, battlefield","Formal, noble",Chivalric ethics and guild customs,ʒwe fʁɑ̃ ʒø,Le chevalier jura de tousiours jouer franc jeu en toutes affaires.,Il n’y avoit point de tromperie ; l’on jouoit franc jeu.,Jouer franc jeu faisoit l’honneur du marchand à la foire.
Mettre la charrue devant les bœufs,Fixed clause with infinitive construction,To act prematurely or out of logical order,Faire les choses dans le désordre,C1,"Daily speech, humor, planning","Ironic, practical",Agricultural metaphor widespread in rural France,mɛtʁə la ʃa.ʁy də.vɑ̃ le bø,Tu veux bâtir le toit sans murs ? Tu mets la charrue devant les bœufs.,"Nous n’achetons point la laine avant les moutons, ne mettons pas la charrue devant les bœufs.",L’abbé dit qu’ils avoient mis la charrue devant les bœufs en dictant sans lire.
Rire sous cape,Verb with prepositional modifier,To laugh secretly or inwardly,Rire discrètement,B2,"Sarcasm, court life, gossip","Ironic, discreet",Courtly manners in medieval Paris and Burgundy,ʁiʁ su kap,Il rioit sous cape quand l’orateur se mesloit les mots.,Elle rioit sous cape à voir son oncle chanceler ainsi.,Les servantes rioient sous cape du banquet de Noël.
Il n’y a pas de fumée sans feu,Negative clause with causal implication,Every rumor has some basis in truth,Tout bruit a une cause,B1,"Rumors, politics, domestic life","Neutral, proverbial",Folkloric wisdom with variants across provinces,il n‿i a pɑ də fy.me sɑ̃ fø,On dit qu’elle a fuy le couvent ; il n’y a pas de fumée sans feu.,Les nouvelles du roi sont vrayes : il n’y a pas de fumée sans feu.,"Il n’y a pas de fumée sans feu, disoit la vielle chambrière."
