Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tek sleep mark death,Verb phrase + object + result clause (serial verb construction),Carelessness or complacency can lead to serious consequences.,Being careless can cause serious harm.,B2,"Daily speech, warnings, parenting, politics","Colloquial, cautionary",Rooted in plantation-era survival awareness where alertness was necessary for safety.,/tɛk slip maːk dɛt/,"Yu betta wake up, tek sleep mark death inna dis ya place.",Dem bin tek sleep mark death an los di whole contract.,"Inna politics, tek sleep mark death quick quick."
"When breeze blow, fowl bottom expose",Conditional subordinate clause + main clause metaphor,The truth is revealed when circumstances change.,Difficult times reveal people’s true character.,C1,"Politics, gossip, social commentary","Proverbial, ironic",Agrarian imagery reflecting village life and observation of animals.,/wɛn briːz bloː faʊl batəm ɛkspoːz/,"Wait likl, when breeze blow, fowl bottom expose.",Election season show how breeze blow an fowl bottom expose.,Trouble come an fowl bottom expose right away.
All finger naa equal,Negative copular clause with plural subject,Not everyone is the same; differences are natural.,People have different abilities and qualities.,A2,"Family advice, education, workplace","Didactic, neutral",Body metaphor common in West African and Caribbean oral traditions.,/ɔl fɪŋɡa naː iːkwəl/,"Member all finger naa equal, so treat dem fair.","Inna class, all finger naa equal.",Manager seh all finger naa equal when he promote she.
Yu cyaan plant yam an expect cassava,Negative modal construction + coordinated verb phrase,You cannot expect a different result from what you put in.,Outcomes depend on the effort or input given.,B1,"Education, parenting, entrepreneurship","Advisory, proverbial",Agricultural roots tied to subsistence farming traditions.,/ju kjaːn plant jam an ɪkspɛkt kasava/,"Yu cyaan plant yam an expect cassava, study harder.",He lazy but want promotion; yu cyaan plant yam an expect cassava.,Dem invest small an want big profit—plant yam an expect cassava?
Bigga dan di system,Comparative adjective phrase functioning idiomatically,Someone acting above rules or authority.,Acting as if above the law or rules.,B2,"Politics, youth culture, criticism","Colloquial, critical",Postcolonial institutional critique reflecting distrust of authority.,/bɪɡa dan di sɪstɛm/,He move like he bigga dan di system.,Nobody bigga dan di system inna dis country.,She talk bold like she bigga dan di system.
Tek time mek monkey climb tree,Imperative verb phrase + causative clause,Be patient; things take time.,Be patient and allow time for progress.,A2,"Daily speech, mentoring, humor","Humorous, advisory",Animal imagery common in Afro-Caribbean folklore.,/tɛk taɪm mɛk mʌŋki klaɪm triː/,"Relax, tek time mek monkey climb tree.",Business slow but tek time mek monkey climb tree.,Yu rushing too much; tek time mek monkey climb tree.
Too much wata drown pumpkin,Quantifier phrase + verb + object metaphor,Excess can be harmful.,Too much of something can cause problems.,B1,"Health advice, management, parenting","Proverbial, cautionary",Farming metaphor referencing crop spoilage.,/tu mʌtʃ wata draʊn pʌmpkɪn/,Careful how much yu spend—too much wata drown pumpkin.,She smother di pikni; too much wata drown pumpkin.,Overtraining athletes prove too much wata drown pumpkin.
Smell fishy,Descriptive adjective phrase borrowed and localized,Something seems suspicious.,Something seems dishonest or questionable.,B1,"Casual talk, investigation, gossip","Colloquial, skeptical",Maritime culture and fishing economy influence.,/smɛl fɪʃi/,Dat deal smell fishy to mi.,Why he quiet so? It smell fishy.,Di numbers naa add up; smell fishy bad.
Pon cloud nine,Prepositional phrase functioning as predicate complement,Extremely happy or elated.,Very happy.,A2,"Celebration, romance, achievement","Informal, joyful",Borrowed idiom adapted into Creole phonology.,/pɔn klaʊd naɪn/,She de pon cloud nine since she graduate.,Mi de pon cloud nine afta di proposal.,Dem fans pon cloud nine when dem win.
Play wid fire,Verb phrase with object metaphor,Engaging in risky behavior that may cause harm.,Taking dangerous risks.,B1,"Parenting, crime, politics, youth speech","Warning, serious",Universal metaphor reinforced through Caribbean oral warnings.,/ple wɪd faɪa/,Yu play wid fire messin wid dem people.,He know he play wid fire but he still continue.,Politics dirty; play wid fire careful.
