Idiom (Nagpuri),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Nagpuri)",First Example Sentence,Second Example Sentence,Third Example Sentence
आँखि में धूर झोंकना,Transitive light-verb idiom; body-part noun + postpositional phrase + causative/agentive verb.,To deceive someone by hiding the truth or creating a false impression.,किसी के धोखा देना या बात लुकाना.,B2,Daily speech; bargaining; family disputes; workplace excuses; political criticism.,"Colloquial, critical, mildly sarcastic.",Rooted in agrarian life where dust in the eyes blocks clear seeing; common metaphor for deception in Chota Nagpur speech communities.,/ãːkʰi meː dʱuːr d͡ʒʱõːknaː/,दलाल हमर आँखि में धूर झोंक के खराब जमीन बेच देलक.,मीटिंग में ऊ आँकड़ा बदल के सभे कर आँखि में धूर झोंकय चाहत रहे.,"साँच बात कह, मोर आँखि में धूर झोंकय कर कोसिस मत कर."
कान में तेल देके सुतना,Fixed adverbial clause; body-part noun + instrumental/postpositional phrase + conjunctive participle + intransitive verb.,"To ignore warnings, advice, or urgent matters deliberately.",जरूरी बात के अनसुना कर देना.,B1,Family advice; public warnings; school discipline; village meetings.,"Colloquial, reproachful, humorous.","Associated with everyday household speech: oil in the ear symbolically prevents hearing, so the idiom mocks stubborn inattention.",/kaːn meː teːl deːke sutnaː/,"बरखा से पहिले छप्पर बनाय कहली, मुदा ऊ कान में तेल देके सुतल रहल.","गाँव कर बुजुर्ग मन चेतावनी देलथिन, फेर जवान मन कान में तेल देके सुत गेलथें.","डॉक्टर कर बात कान में तेल देके मत सुत, दवाई बखत पर खा."
नाक कटाय देना,Causative verb phrase; body-part noun + causative predicate expressing social consequence.,"To bring shame, dishonor, or public embarrassment to oneself, family, or group.",परिवार या समूह के लाज घटा देना.,B2,Family honor; school conduct; community reputation; public criticism.,"Colloquial, serious, admonishing.",Reflects the strong social value placed on reputation and collective honor in village and kinship networks.,/naːk kəʈaːj deːnaː/,झूठ पकड़ा गेलक तें पूरा टोली कर नाक कटाय देलक.,परीक्षा में नकल करबऽ तें अपन घर कर नाक कटाय देबऽ.,अधिकारि कर खराब बरताव से दफ्तर कर नाक कटाय गेलक.
मुँह में दही जमाय लेना,Fixed metaphorical clause; body-part noun + locative phrase + noun object + causative/reflexive light verb.,"To remain silent when one should speak, explain, or defend the truth.",जरूरी समय पर चुप रह जाना.,B1,Arguments; classroom questioning; workplace accountability; sarcasm.,"Colloquial, ironic, teasing.",Draws from food imagery; thick curd in the mouth humorously suggests speech has become blocked.,/mũh meː dəhi d͡ʒəmaːj leːnaː/,"तोरा सब पता रहे, फेर पंचायत में मुँह में दही जमाय लेले रहिस.",मास्टर सवाल पूछलथिन तें छात्र मुँह में दही जमाय लेलक.,"गलती ओकर रहे, मुदा ऊ मुँह में दही जमाय के खड़ा रहल."
दू नाव में गोड़ राखना,Locative metaphor; numeral + noun + postpositional phrase + body-part object + transitive verb.,To try to support two opposing sides or pursue two incompatible choices at once.,एके समय दू विरोधी रास्ता अपनाना.,B2,Politics; business partnerships; family conflict; decision-making.,"Colloquial, advisory, critical.",Linked to riverine and rural travel imagery: standing with feet in two boats is unstable and risky.,/duː naːʋ meː goːɽ raːkʰnaː/,चुनाव में दू नाव में गोड़ राखबऽ तें जनता भरोसा नइ करबय.,"नौकरी आउ कारोबार, दूनो में बिना योजना गोड़ राखबऽ तें मुश्किल होबय.","ऊ हर झगड़ा में दू नाव में गोड़ राखे लगय, सेले कोनो पक्ष ओकर बात नइ माने."
आगि में घी डालना,Verb-object metaphor; noun + locative phrase + object noun + transitive verb.,"To intensify an argument, anger, crisis, or conflict by adding provocative words or actions.",झगड़ा या समस्या के अउर बढ़ा देना.,B1,Family quarrels; politics; social media; workplace conflict.,"Colloquial, cautionary, critical.","Based on cooking and ritual fire knowledge: ghee makes flame rise, so it symbolizes escalation.",/aːgi meː gʱiː ɖaːlnaː/,"दूनो भाई पहिलहीं गरम रहथें, तें बीच में आगि में घी मत डाल.",अफवाह फैलाय के ओकरा गाँव में आगि में घी डाल देलक.,"बैठक शांत होवत रहे, मुदा नेता कर बयान आगि में घी डाल देलक."
खून-पसीना एक करना,Compound noun phrase + resultative light verb construction; hyperbolic idiom.,"To work extremely hard with physical, emotional, or long-term effort.",बहुत मेहनत करना.,B1,Farming; study; migration work; entrepreneurship; sports.,"Colloquial, appreciative, emphatic.",Reflects labor-intensive rural and working-class experience where bodily effort is central to survival and dignity.,/kʰuːn pəsiːnaː eːk kərnaː/,बाबूजी हमर पढ़ाई खातिर खून-पसीना एक कर देलथिन.,धान कर खेत में किसान मन खून-पसीना एक करथें.,दुकान खड़ा करे में ऊ पाँच बरिस खून-पसीना एक करलक.
पेट में चूहा कूदना,Experiencer construction; body-part noun + locative phrase + animal subject + intransitive verb.,"To feel very hungry, often with a playful or exaggerated tone.",बहुत भूख लगना.,A2,Home; school; travel; casual conversation; humor with children.,"Colloquial, humorous, light.",Uses a vivid household animal image; hunger is imagined as small creatures jumping inside the stomach.,/peːʈ meː t͡ʃuːhaː kuːdnaː/,"सुबह से कुछु नइ खाय हिअइ, मोर पेट में चूहा कूदे लगलक.","बस देरी हो गेलक तें लइका मन कहे लगलथें, पेट में चूहा कूद रहलय.","पहिले खाना दे, फेर बात करब; पेट में चूहा कूदत हे."
हाथ मलते रहि जाना,Aspectual participial phrase; body-part noun + progressive participle + continuative intransitive verb.,To be left regretting after losing a chance or being unable to act.,मौका चूक कर पछताना.,B2,Business; exams; farming decisions; legal matters; life advice.,"Colloquial, regretful, cautionary.",Hand-rubbing is a visible gesture of helpless regret in local oral storytelling and everyday reprimand.,/haːtʰ məlteː rəhi d͡ʒaːnaː/,"समय पर आवेदन नइ भरलऽ, आब हाथ मलते रहि जा.","बाजार भाव अच्छा रहे, बेच देतिस तें हाथ मलते नइ रहितिस.","साँच गवाही देवे कर मौका चूक गेलक, आब ऊ हाथ मलते रहि गेलक."
बिल्ली कर गला में घंटी बाँधना,Nominalized proverb-like idiom; animal possessor phrase + locative body-part phrase + object + infinitive/transitive verb.,To take the risky first step that everyone discusses but nobody wants to do.,कठिन और जोखिम वाला काम शुरू करना.,C1,Leadership; workplace reform; politics; activism; village councils.,"Colloquial-literary, ironic, strategic.","Widely resonant animal-fable motif adapted in Nagpuri oral speech to discuss courage, collective fear, and responsibility.",/billi kər gəlaː meː gʱəɳʈi baːndʱnaː/,"भ्रष्टाचार कर बात सभे करय, मुदा बिल्ली कर गला में घंटी बाँधे के हिम्मत केकरो नइ होय.",कारखाना में सुरक्षा मुद्दा उठाय के माया बिल्ली कर गला में घंटी बाँध देलक.,गाँव कर सड़क खातिर आवेदन देके मुखिया सचमुच बिल्ली कर गला में घंटी बाँधलथिन.
