"Idiom (Lower Sorbian)","Syntactic Structure & Grammatical Form","Figurative Meaning (Contextualized Definition)","Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)","CEFR Level (A1–C2)","Usage Contexts","Register and Tone","Cultural Origin or Historical Reference","Phonetic Transcription (IPA, Lower Sorbian)","First Example Sentence","Second Example Sentence","Third Example Sentence"
"měś złotne ruki","werbalna fraza z infinitiwom měś + adjektiwna nominalna skupina; wobchadna, stabilna kolokacija","byś wjelgin zdatny a spósobny pśi praktiskej, rucnej abo napšawdnej robocie","byś wjelgin zdatny za rucne a praktiske źěło","B1","wšedna rěc, familija, chwalba, rucne rěmesło, lokalne towaristwo","kolokwialny, pśijaśelski, chwalobny","Wobrazna fraza jo zakórjenjona w rěmeslniskej a gólarskej kulturje Dolneje Łužyce, źož jo praktiska zdatnosć měła wusoku socialnu gódnotu.","[mʲeɕ ˈzwɔtnɛ ˈruki]","Mój źěd ma złotne ruki, dokulaž móžo pórěd bźez dłujkego rozmyslanja napšawiś.","Gaž smy twariłi nowu ławku, jo se zasej pokazało, až ma Ana napšawdu złotne ruki.","Za take delicate źěło trjebaś cłowjeka, kótaryž ma złotne ruki a śerpnosć."
"měś głowu na swójom městnje","werbalna fraza z infinitiwom měś + akuzatiwny objekt + lokatiwny dodawk; stabilne idiomaticke spśěgnjenje","rozumnje a wažnje myslis, wózjawnje se orientěrowaś a njedajś se spěšnje zmyliś","byś rozumny, wažny a wótpowědny","","šula, źěło, wychowanje, wšedna rěc, póradnistwo","neutralny až kolokwialny, pśiznawajucy","Fraza jo šyroko srozmjona we słowjańskich rěcach; w dolnoserbskem kontekśe se pśeto cyni pśi wugódnośenju wótpowědneho wobchadanja a praktiskego rozuma.","[mʲeɕ ˈɡwɔvu na ˈswɔjɔm ˈmʲɛstɲɛ]","Młody wjednik ma głowu na swójom městnje a njepśiwza nic bźez planowanja.","W krizowej situaciji trjebaś někog, kenž ma głowu na swójom městnje a zachowa klid.","Chóśi a rěc jo měł spěšnu, ale pśi tym jo pśece měł głowu na swójom městnje."
"byś ako ryba we wodźe","pśirownawaca konstrukcija z kopulu byś + ako + nominalna fraza; frazeologiske pśirownanje","cyniś coś z lažkosću a czuś se něźiwajucy, swójski a pśirozny w danej situaciji","czuś se wjelgin swójski a kompetentny","","wšedna rěc, sport, źěło, nowe socialne wokolje, humor","neutralny, wobrazny, cesto pśijaśelski","Wobraz jo bliski łužyskemu krajinoju z rěkami, błotami a ługami; pśirownanje z rybu jo regionalnje naturalne a lažko srozmjawne.","[bɨɕ ˈakɔ ˈrɨba wɛ ˈwɔd͡ʑɛ]","Na scenje jo była ako ryba we wodźe a publika jo to ned glědała.","W nowem teamje jo se po tśich dnjach cynił ako ryba we wodźe.","Pśi źěłanju z datami jo Tom zawsam ako ryba we wodźe."
"groniś měd a mloko","werbalna fraza z finitnym abo infinitnym groniś + koordiněrowany akuzatiwny objekt; ustalony idiom","wjelgin słodko, pśelubnje abo pśelichotnje groniś, cesto z pśesadnym pochlebowanim","wjelgin pśelichotnje a pśesadnje chwaliś abo pśeswědcyś","","politika, reklama, humor, kritika, medije","idiomaticki, ironicny, někdy skeptiski","Zwisk z mĕdom a mlokom ma w kśesćańskem a ludowem wobrazosłowju długi život; w Łužycy se wužywa za pśesłódźone a njecyśne powědanje.","[ˈɡrɔɲiɕ ˈmʲɛt a ˈmlɔkɔ]","Pśed wólbami gronjechu kandidaty mĕd a mloko, ale pótom njejo wjele z togo zbyło.","Wón jeje tak mĕd a mloko gronił, až se wšykne koleginje jano smjały.","Reklama groni mĕd a mloko, ale produkt sam njejo nic wósebnego."
"měś njoco pśez głowu","werbalna fraza z měś + akuzatiwny objekt + pśedłožkowa fraza; fleksibelnje wužywana, ale idiomaticki stabilna","njamóžoś něnto zabyś, stawnje na něco mysliś abo se z něcym nutśeś","stawnje na něco mysliś a se tym zaběraś","","wšedna rěc, familija, šula, starosći, lubosć","neutralny, někdy emotiwny","Toś ta tělesna metafora jo typiska za słowjańske frazeologije, źož głowa stoj za rozmysl a myslenje; w dolnoserbskich rozgronach jo pśirozny kolokwialny wobrot.","[mʲeɕ ˈɲɔt͡sɔ pʂɛz ˈɡwɔvu]","Wót czasu, gaž jo ten list pśišeł, mam to jano pśez głowu.","Wóna ma eksamen pśez głowu a pśeto jo tak njeklidna.","Wón ma južo tśi nedźele nowy projekt pśez głowu a njewě, kak ma wótpoceś."
"sedźeś ako na žarjawje","pśirownawaca werbalna konstrukcija z sedźeś + ako + pśedłožkowa fraza; ekspresiwne frazeologiske pśirownanje","byś wjelgin njepokojny, nervozny abo njecakaś móc, ako by coś cłowjeka pśitłócało","byś wjelgin njepokojny a nervozny","","wšedna rěc, humor, egzameny, słužbne cakanje, familijne situacije","kolokwialny, ekspresiwny","Wobraz žarjawy abo rozžagow nepokoja jo stary ludowy motiv; zjawje se pśi wopisowanju njecakliweje, tělne cuśobneje napśeśi.","[ˈsɛd͡ʑeɕ ˈakɔ na ˈʒarjavjɛ]","Pśed wuslědkom eksamena jo sedźeł ako na žarjawje a co chwylu glědał do telefona.","Na zebranju su wšykne sedźeli ako na žarjawje, dokulaž nichte njeznał rozsud.","Gaž jo se mały njewracał domoj, sedźeła maś ako na žarjawje."
"njasć swój kśick na něcom","werbalna fraza z njasć + akuzatiwny objekt + lokatiwna pśedłožkowa fraza; idiom z konkretneju tělesneju metaforu","měś na něcom wjeliki źěl winy, wótpowědnosći abo moralnego bremjenja","byś za něco wjelgin wótpowědny abo winowaty","","politika, konflikty, moralne rozgrony, žurnalistika, literatura","wobśěžny, publicistiski, někdy osudowy","Kśick ako symbol bremjenja a nošoneje wótpowědnosći ma w kśesćańskem wobrazosłowju głęboku tradiciju a jo w regionalnej powěsći lažko pśenjasobny.","[ˈɲast͡s swɔj ˈkɕit͡sk na ˈɲɛt͡sɔm]","Wón njaso swój kśick na tom rozsudku, lěcrownož jo se pśed medijami schował.","Kuždy z nas njaso źěleny kśick na tom, až jo se projekt tak spóźnił.","Awtor pokazuje, kak postawa swój kśick na cysych njezbožach njaso."
"wulěś z kožki","dokónana werbalna fraza z pśedłogowym slědnikom; ekspresiwna, cesto z modalnymi elementami","narědliś se, wjelgin rozzłosćiś abo reakciju zbytne mocnje pokazaś","wjelgin se rozzłosćiś abo njewóźaźonje reagěrowaś","","wšedna rěc, spór, familija, humor, komentary","kolokwialny, ekspresiwny, někdy ironicny","Fraza stoj na starkem wobrazje, až cłowjek jakoby swóju kožu pśekrocijo, gaž njedajo emocije pód kontrolu; takowe pśehonjene tělesne metafory su za ludowu rěc typiske.","[ˈvulʲeɕ s ˈkɔʒkʲi]","Gaž jo usłyšał, kak jo někdo znowego łgał, jo skorom wulěł z kožki.","Njemusíš ned z kožki wulěś, jolic něco pśi prědnem raze njewuspějo.","Na syśowych se luźe lažko z kožki wuliju, lěbje to problem njerozsudijo."
"wěźeś, źo psa zakopali","werbalna klauzalna fraza z wěźeś + wótkazane pódrědne městno; frazeologiski wědowy wzór","pśesnje rozměś, źo jo jadro problema abo źo se schowajo pšawa pśicyna","pśesnje wěźeś, źo jo głowna pśicyna problema","","politika, analyza, žurnalistika, debaty, ironyja","kolokwialny až publicistiski, někdy jěstny","Toś ta fraza jo znata teke w drugich słowjańskich rěcach a w dolnoserbskem wokolju se wužywa, gaž něchten pśecej źi pód powjerch a namakajo jadro wěcy.","[ˈvʲeɕt͡s, d͡ʑɔ psa zaˈkɔpalʲi]","Naša redaktorka wě, źo psa zakopali, a pšaša se pśesnje tam, źo druge mjelcy.","Wón njegroni wokoło, ale ned wě, źo psa zakopali.","Gaž chcoš problem napšawiś, musyš nejpjerwjej wěźeś, źo psa zakopali."
"kšuś pó swójom głowje","werbalna fraza z infinitiwom kšuś + adwerbialna pśedłožkowa skupina; swójski idiom za nezawisłe jadnanje","jadnaś po swójich mysłach a se njewězaś na rady, pšawidła abo cuse pominjenja","jadnaś samowólnje a po swójom rozumu","","familija, wychowanje, konflikt, charakteristika, literatura","neutralny až lekko kritiski","Wobraz głowy ako městna swójogo rozuma jo centralny we wjele dolnoserbskich wobrotach; fraza se cesto wužywa za zatwjardłe abo independantne jadnanje.","[kʂuɕ pɔ ˈswɔjɔm ˈɡwɔvjɛ]","Młody syn jo zawšu kšuł pó swójom głowje a gaž jo se spašył, jo dopjerwje słuchał.","W projektu njamóžoš jano pó swójom głowje kšuś, gaž źěła cyły team.","Jeje literarna postawa kšujo pó swójom głowje a to cyni roman tak žywy."
