Idiom (Xibe),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Xibe)",First Example Sentence,Second Example Sentence,Third Example Sentence
⟪Idiom 1⟫,⟪Structure 1⟫,⟪Figurative meaning 1⟫,⟪Non-idiomatic version 1⟫,⟪CEFR 1⟫,⟪Context 1⟫,⟪Register 1⟫,⟪Origin 1⟫,⟪IPA 1⟫,⟪Sentence 1 for Idiom 1⟫,⟪Sentence 2 for Idiom 1⟫,⟪Sentence 3 for Idiom 1⟫
⟪Idiom 2⟫,⟪Structure 2⟫,⟪Figurative meaning 2⟫,⟪Non-idiomatic version 2⟫,⟪CEFR 2⟫,⟪Context 2⟫,⟪Register 2⟫,⟪Origin 2⟫,⟪IPA 2⟫,⟪Sentence 1 for Idiom 2⟫,⟪Sentence 2 for Idiom 2⟫,⟪Sentence 3 for Idiom 2⟫
⟪Idiom 3⟫,⟪Structure 3⟫,⟪Figurative meaning 3⟫,⟪Non-idiomatic version 3⟫,⟪CEFR 3⟫,⟪Context 3⟫,⟪Register 3⟫,⟪Origin 3⟫,⟪IPA 3⟫,⟪Sentence 1 for Idiom 3⟫,⟪Sentence 2 for Idiom 3⟫,⟪Sentence 3 for Idiom 3⟫
⟪Idiom 4⟫,⟪Structure 4⟫,⟪Figurative meaning 4⟫,⟪Non-idiomatic version 4⟫,⟪CEFR 4⟫,⟪Context 4⟫,⟪Register 4⟫,⟪Origin 4⟫,⟪IPA 4⟫,⟪Sentence 1 for Idiom 4⟫,⟪Sentence 2 for Idiom 4⟫,⟪Sentence 3 for Idiom 4⟫
⟪Idiom 5⟫,⟪Structure 5⟫,⟪Figurative meaning 5⟫,⟪Non-idiomatic version 5⟫,⟪CEFR 5⟫,⟪Context 5⟫,⟪Register 5⟫,⟪Origin 5⟫,⟪IPA 5⟫,⟪Sentence 1 for Idiom 5⟫,⟪Sentence 2 for Idiom 5⟫,⟪Sentence 3 for Idiom 5⟫
⟪Idiom 6⟫,⟪Structure 6⟫,⟪Figurative meaning 6⟫,⟪Non-idiomatic version 6⟫,⟪CEFR 6⟫,⟪Context 6⟫,⟪Register 6⟫,⟪Origin 6⟫,⟪IPA 6⟫,⟪Sentence 1 for Idiom 6⟫,⟪Sentence 2 for Idiom 6⟫,⟪Sentence 3 for Idiom 6⟫
⟪Idiom 7⟫,⟪Structure 7⟫,⟪Figurative meaning 7⟫,⟪Non-idiomatic version 7⟫,⟪CEFR 7⟫,⟪Context 7⟫,⟪Register 7⟫,⟪Origin 7⟫,⟪IPA 7⟫,⟪Sentence 1 for Idiom 7⟫,⟪Sentence 2 for Idiom 7⟫,⟪Sentence 3 for Idiom 7⟫
⟪Idiom 8⟫,⟪Structure 8⟫,⟪Figurative meaning 8⟫,⟪Non-idiomatic version 8⟫,⟪CEFR 8⟫,⟪Context 8⟫,⟪Register 8⟫,⟪Origin 8⟫,⟪IPA 8⟫,⟪Sentence 1 for Idiom 8⟫,⟪Sentence 2 for Idiom 8⟫,⟪Sentence 3 for Idiom 8⟫
⟪Idiom 9⟫,⟪Structure 9⟫,⟪Figurative meaning 9⟫,⟪Non-idiomatic version 9⟫,⟪CEFR 9⟫,⟪Context 9⟫,⟪Register 9⟫,⟪Origin 9⟫,⟪IPA 9⟫,⟪Sentence 1 for Idiom 9⟫,⟪Sentence 2 for Idiom 9⟫,⟪Sentence 3 for Idiom 9⟫
⟪Idiom 10⟫,⟪Structure 10⟫,⟪Figurative meaning 10⟫,⟪Non-idiomatic version 10⟫,⟪CEFR 10⟫,⟪Context 10⟫,⟪Register 10⟫,⟪Origin 10⟫,⟪IPA 10⟫,⟪Sentence 1 for Idiom 10⟫,⟪Sentence 2 for Idiom 10⟫,⟪Sentence 3 for Idiom 10⟫
