Idiom (Fala),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Fala)",First Example Sentence,Second Example Sentence,Third Example Sentence
Andâ de rêu fríu,Infinitive phrase with prepositional complement,To act without direction or purpose; to drift aimlessly,Estar sin rumbo o sin un objetivo claro,B2,"daily speech, introspection","colloquial, poetic",Reflects imagery of the Erges River; common in border towns,[ãnˈda ðɨ ˈrɛw ˈfɾiw],"Despois de perdê l traballu, andava de rêu fríu por las calles de Valverde.",Nun ye bo andâ de rêu fríu; has de buscâ un camiño.,"A vida, si nun la guías, leva-te de rêu fríu."
Tê mais cuento que l gatu del cura,Comparative phrase with relative clause,"To be overly clever, sly, or cunning",Ser más astuto de lo necesario o con malas intenciones,C1,"humor, family, sarcasm","colloquial, ironic",Popular in Eljas; refers to cunning pets that trick owners,[ˈtɛ ˈmajʃ ˈkwẽ.tu ke l ˈɡa.tu ðel ˈku.ɾa],"Nun confíes en êle, que tê mais cuento que l gatu del cura.",Ês mininu ya mostra que tê mais cuento que l gatu del cura.,"Mi irmán, pa evitâ trabayu, tê mais cuento que l gatu del cura."
Nun dar abasto,Negative construction with verb phrase,To be overwhelmed or not able to keep up with work,No poder con todo; estar desbordado,B1,"workplace, daily speech",neutral,Common phrase borrowed from Spanish but fully Fala-ized,[ˈnun ðaɾ aˈβas.tu],Estamus con tanto traballu que nun damos abasto.,"Entre la horta y la casa, nun dou abasto.",La xente del bar nun daba abasto en las festas.
Ficâ-se coa boca abiertia,Reflexive verb phrase in past tense,To be left speechless or amazed,Quedarse boquiabierto o sorprendido,A2,"daily speech, family, humor",colloquial,Common in children’s speech and stories,[fiˈka.se kwa ˈbo.ka aˈβjeɾ.tja],"Cando viu l castillu, ficó-se coa boca abiertia.",Ficamus tolos coa boca abiertia coa sorpresa.,Ela ficó-se coa boca abiertia con l regalo.
Tomâ-las a chunga,Infinitive phrase with object pronoun and idiomatic noun,To not take something seriously; to joke about everything,Tomarse todo a broma o sin seriedad,B2,"sarcasm, humor, daily speech","ironic, colloquial",Widespread in humor across Sierra de Gata,[tuˈma.las a ˈʃũ.ɡa],Nun podis tomâ-las a chunga nun tema asina serio.,"Sempre tomas las cousas a chunga, xa che vale.",Tomâ-las a chunga pode creâ malentendius.
Sê mais pesau que una moía de feira,Comparative phrase with relative intensity,To be annoying or insistent,Ser muy pesado o insistente,B1,"family, workplace, humor",colloquial,Refers to annoying vendors at rural fairs,[ˈse ˈmajʃ peˈsaw ke ˈu.na ˈmo.ja ðɨ ˈfɐj.ɾa],Ê rapaz sê mais pesau que una moía de feira.,"Tás sêndo mais pesau que una moía de feira, home.","Nun sejas asina, que ya pareces moía de feira."
Xogâ con duas baralhas,Infinitive phrase with prepositional complement,To be deceitful or play both sides,Jugar sucio o con doble intención,C1,"politics, family, sarcasm","colloquial, sarcastic",Card games symbolism from local taverns,[ʃuˈɡa kõ ˈdu.as βaˈɾa.ʎas],"Nun se pode fiâ d’êle, que xogâ con duas baralhas.","Tás xogandu con duas baralhas, cuidado.","Si xogas con duas baralhas, acabas por perdê."
Tê la cara de pau,Verb phrase with nominal expression,To be shameless or brazen,Tener mucha cara o ser muy descarado,B2,"sarcasm, workplace, family","colloquial, critical",‘Cara de pau’—wooden face—is a metaphor from Lusophone culture,[ˈtɛ la ˈka.ɾa ðɨ ˈpaw],Ê tê la cara de pau de pedî emprestá sin vergüença.,"Tás con la cara de pau, ben que lo sabes.","Que cara de pau tení, meu Deus!"
Andâ que nun ye pouco,Imperative clause with negated scalar adverb,Used to dismiss or criticize sarcastically; means quite the opposite of what’s said,¡Vaya tela! / ¡No es para tanto!,C1,"sarcasm, irony, daily speech",ironic,Used in Sierra de Gata to downplay or amplify emotions,[ãnˈda ke ˈnun je ˈpow.ku],"Andâ que nun ye pouco, ya se cre l rei.",Vino con humus caseiru... andâ que nun ye pouco.,Pidi-o perdón... andâ que nun ye pouco!
Traî l rabu entre las pernas,Infinitive phrase with prepositional phrase,To return ashamed or defeated,Volver cabizbajo o humillado,B1,"daily speech, family, conflict","neutral, poetic","Likens to defeated dogs, known metaphor in all Fala villages",[tɾaˈi l ˈra.βu ˈẽ.tɾe las ˈpeɾ.nas],"Despois da discusión, traêu l rabu entre las pernas.",Traî l rabu entre las pernas como si nada.,"Nun voltes traî l rabu entre las pernas, fala claro!"
