Idiom (Maithili),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Maithili)",First Example Sentence,Second Example Sentence,Third Example Sentence
आँखि मे धूलि झोंकब,क्रियात्मक वाक्यांश (Verb Phrase) – कर्मक क्रिया संरचना,किसीकेँ जान-बूझि कऽ धोखा देब या सत्य छुपा कऽ भ्रमित करब,किसीकेँ धोखा देब,B1,"दैनिक बातचीत, राजनीति, सामाजिक टिप्पणी","कोलोकियल, आलोचनात्मक","मिथिला क्षेत्रमे प्राचीन रूपक, जकर अर्थ अछि किसीक नजरि भ्रमित कऽ देब",/ãːkʰi meː dʱuːli d͡ʒʱõːkəb/,ओ व्यापारी ग्राहकक आँखि मे धूलि झोंकि कऽ घटिया सामान बेचैत अछि।,सरकार जनता क आँखि मे धूलि झोंकए कोशिश क रहल अछि।,तोरा लगैत अछि हमरो आँखि मे धूलि झोंकब आसान अछि?
नाक कटि जाएब,स्थिर वाक्यांश (Fixed Expression) – रूपकात्मक क्रिया संरचना,सम्मान या प्रतिष्ठा नष्ट हो जाएब,अपमानित हो जाएब,B1,"परिवार, समाज, सम्मान संबंधित चर्चा","कोलोकियल, सामाजिक",दक्षिण एशियाई संस्कृतिमे ‘नाक’ प्रतिष्ठाक प्रतीक मानल जाइत अछि,/naːk kʌʈi d͡ʒaːeb/,अगर परीक्षा मे नकल करैत पकड़ाएब त परिवारक नाक कटि जाएत।,ओकरे गलत व्यवहार सँ पूरा संस्थाक नाक कटि गेल।,एहन काम मत करू जाहि सँ हमर नाक कटि जाए।
कान पर जूँ नहि रेंगब,नकारात्मक स्थिर वाक्यांश – क्रिया आधारित संरचना,कोनो चेतावनी या सलाहक प्रभाव नहि पड़ब,कोनो ध्यान नहि देब,B2,"परिवार, शिक्षा, व्यंग्य","कोलोकियल, आलोचनात्मक","लोकजीवन सँ उपजल रूपक, जूँक चलन सँ असंवेदनशीलता व्यक्त कएल जाइत अछि",/kaːn pʌr d͡ʒuː nʌhiː reŋgəb/,"हम कई बेर कहलिए, मुदा ओकर कान पर जूँ नहि रेंगल।",शिक्षकक चेतावनीक बादो विद्यार्थी पर जूँ नहि रेंगल।,तोहर कान पर जूँ कियैक नहि रेंगैत अछि?
आगि मे घी डालब,क्रियात्मक मुहावरा – कारण सूचक क्रिया संरचना,पहिने सँ चलि रहल विवाद या समस्या केँ आरो बढ़ा देब,झगड़ा या समस्या बढ़ा देब,B1,"राजनीति, सामाजिक विवाद, पारिवारिक चर्चा","कोलोकियल, चेतावनीपूर्ण",यज्ञ परंपरा सँ जुड़ल रूपक; घी डालला सँ आगि प्रबल होइत अछि,/aːg meː gʱiː ɖaːləb/,ओकरे बयान स्थिति मे आगि मे घी डालि देलक।,तोहर टिप्पणी झगड़ा मे आगि मे घी डालए जकाँ भेल।,एहन समय मे आगि मे घी नहि डालू।
दू नाव पर पएर राखब,रूपकात्मक क्रिया वाक्यांश,एके समय दू विरोधी पक्ष या विकल्प सँ लाभ लेबाक कोशिश करब,दू विकल्प मे अस्थिर रहब,B2,"राजनीति, निर्णय, सामाजिक व्यवहार","कोलोकियल, आलोचनात्मक",नदी सभ्यताक अनुभव सँ उपजल; दू नाव पर संतुलन कठिन होइत अछि,/duː naːʋ pʌr pɛːr raːkʰəb/,राजनीति मे दू नाव पर पएर राखब खतरनाक होइत अछि।,"ओ व्यापार आ सरकारी नौकरी दुनू पकड़ए चाहैत अछि, मानू दू नाव पर पएर राखलक।","तोरा एक फैसला लेब जरूरी अछि, दू नाव पर पएर नहि राखू।"
हाथ मलैत रहि जाएब,क्रिया वाक्यांश – परिणाम सूचक,मौका चूकला बाद पछताबैत रहि जाएब,पछताबैत रहब,B1,"जीवन अनुभव, सलाह, हास्य",कोलोकियल,लोक व्यवहार सँ जुड़ल संकेत—पछतावा व्यक्त करए लेल हाथ मलल जाइत अछि,/haːt məlait rʌhi d͡ʒaːeb/,समय पर आवेदन नहि देलहुँ त हाथ मलैत रहि जाएब।,ओ अवसर गँवा देलक आ आब हाथ मलैत अछि।,अवसरक मूल्य बुझू नहि त हाथ मलैत रहि जाएब।
सिर पर चढ़ाब,क्रिया आधारित मुहावरा,किसीकेँ अत्यधिक छूट देब जकर कारण ओ नियंत्रण सँ बाहर भ जाए,बहुत ज्यादा छूट देब,B1,"परिवार, पालन-पोषण",कोलोकियल,भारतीय पारिवारिक परंपरामे अनुशासनक चर्चा सँ जुड़ल,/sir pʌr tʃʌɽʱaːb/,बच्चा केँ एतेक सिर पर नहि चढ़ाउ।,ओ अपन कर्मचारी केँ सिर पर चढ़ा देलक।,अगर सीमा नहि राखब त लोग सिर पर चढ़ि जाएत।
पानी-पानी भ जाएब,रूपकात्मक क्रिया वाक्यांश,बहुत शर्मिंदा या लज्जित महसूस करब,बहुत लज्जित हो जाएब,A2,"दैनिक बातचीत, हास्य",कोलोकियल,भारतीय भाषामे लज्जा व्यक्त करए लेल प्रचलित रूपक,/paːni paːni bʱə d͡ʒaːeb/,सबके सामने गलती पकड़ाएल त ओ पानी-पानी भ गेल।,अचानक प्रशंसा सुनि ओ पानी-पानी भ गेल।,गलत उत्तर देलहुँ त हम पानी-पानी भ गेलहुँ।
आसमान सिर पर उठा लेब,अतिशयोक्तिपूर्ण क्रिया वाक्यांश,बहुत शोर मचाब या अत्यधिक हंगामा करब,बहुत हंगामा करब,B2,"परिवार, राजनीति, हास्य","कोलोकियल, अतिशयोक्तिपूर्ण",भारतीय काव्यात्मक परंपरामे अतिशयोक्ति शैली सँ प्रेरित,/aːsmaːn sir pʌr uʈʰaː leb/,छोट बात पर ओ आसमान सिर पर उठा लेलक।,बच्चा खेल मे हारल त आसमान सिर पर उठा लेलक।,कृपया एतेक आसमान सिर पर मत उठाउ।
दाल गलनाय,स्थिर मुहावरा – क्रिया आधारित,योजना या चाल सफल होएब,योजना सफल होएब,B1,"दैनिक बातचीत, राजनीति, रणनीति",कोलोकियल,भारतीय खानपान सँ जुड़ल रूपक; दाल पकनाय सफलता सूचित करैत अछि,/daːl gʌlnaːj/,लगैत अछि एहि बेर ओकर दाल गलि गेल।,एहन चाल सँ तोहर दाल नहि गलत।,बहुत कोशिशक बाद अंततः ओकर दाल गलि गेल।
