Idiom (Telugu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Telugu)",First Example Sentence,Second Example Sentence,Third Example Sentence
పిల్లి కన్న నీళ్లు,నామవాచక పదబంధం (noun phrase),కపటంగా చూపే పశ్చాత్తాపం లేదా అనుకంప,నిజమైన అనుకంప లేకుండానే బాధపడుతున్నట్టు నటించడం,B2,"రాజకీయాలు, వాదనలు, మోసపూరిత వాతావరణం","వంగి మాట్లాడే, విమర్శాత్మక","ఇంగ్లీష్ ‘Crocodile tears’ కు అనుగుణంగా, తెలుగు ప్రజల దినచర్యా సంభాషణలలో మారిన రూపం",ˈpil.li kan.na ˈniːɭ.lu (పిల్లి కన్న నీళ్లు),ఎన్నికల ముందు ప్రజల కోసం పిల్లి కన్న నీళ్లు కారిస్తాడు.,ఆఫీసులో తప్పు చేసిన తరువాత పిల్లి కన్న నీళ్లు కారించడం లాభం ఇవ్వలేదు.,ఆ పాత్రలో విలన్ పిల్లి కన్న నీళ్లు కారిస్తాడు కానీ మోసం చేయడమే ఉద్దేశ్యం.
నూర్పుపై నెయ్యి పోసినట్టు,ఉపమా వాక్యం (comparative clause),ఇప్పటికే ఉద్రిక్తమైన పరిస్థితిని మరింత ఉద్రిక్తతగా మార్చడం,పరిస్థితిని మరింత దుర్వశంగా మార్చడం,C1,"చర్చలు, రాజకీయాలు, కుటుంబ వివాదాలు","ఇరానీ, అలంకారిక",తెలుగు వంటకాల వర్ణనల నుండి వచ్చిన ఉపమానం,nuːr.pu.pai neɪ.ji poː.si.na.ʈu (నూర్పుపై నెయ్యి పోసినట్టు),వారి వివాదంలో మూడవ వ్యక్తి చొరవ చూపడం నూర్పుపై నెయ్యి పోసినట్టైంది.,సామాజిక మాధ్యమాల్లో ఆ పోస్ట్ నూర్పుపై నెయ్యి పోసినట్టు వ్యవహరించింది.,ఆ బాస్ కామెంట్ నూర్పుపై నెయ్యి పోసినట్టు పనిచేసింది.
నక్క తోక కట్ అయినా నీతిమంతుడు అన్నట్టు,ఉపవాక్యంతో కూడిన వాక్యం (complex clause with simile),తాను తప్పు చేసినప్పటికీ న్యాయంగా ఉన్నట్టు నటించటం,తప్పు చేసిన వ్యక్తి తనను సత్యవాది అంటున్నట్టు ప్రవర్తించడం,C2,"వ్యంగ్యప్రయోగాలు, రాజకీయ విమర్శలు","వ్యంగ్యంగా, సార్కాస్టిక్","పురాణ లోకోక్తుల ఆధారంగా, జంతువుల ప్రవర్తన ఆధారంగా వచ్చిన వ్యంగ్య పదబంధం",nak.ka to.ka kaʈʈ a.yi.na niː.ti.man.ʈu.ɖu an.na.ʈu (నక్క తోక కట్ అయినా నీతిమంతుడు అన్నట్టు),తానే తప్పు చేసినా చివరికి నక్క తోక కట్ అయినా నీతిమంతుడు అన్నట్టు మాట్లాడాడు.,ఆ అధికారిని చూసి నక్క తోక కట్ అయినా నీతిమంతుడు అన్నట్టు అనిపించింది.,తన చర్యలకు సమర్ధన చెప్పేటప్పుడు నక్క తోక కట్ అయినా నీతిమంతుడు అన్నట్టు ప్రవర్తించాడు.
చిక్కిన పాముకి కట్టలెందుకు,ప్రశ్నాత్మక రూపంలో ఉన్న సామెత,ఇప్పటికే హానికర స్థితిలో ఉన్నప్పుడు అదనపు చర్యలు అనవసరం,అంతే హాని జరిగిపోయిన తరువాత చర్యలు తీసుకోవడం పనికిరాదు,B1,"గృహ సంభాషణలు, అపసవ్యతల తరువాత చర్చలు","సాదా, రోజువారీ",గ్రామీణ నేపథ్యాలలో పాము విషయంలో ఉండే అపాయ విశ్వాసం ఆధారంగా,ʧik.ki.na paː.mu.ki kaʈʈa.len.du.ku (చిక్కిన పాముకి కట్టలెందుకు),ఇప్పుడు నీవు క్షమాపణ చెప్పినా చిక్కిన పాముకి కట్టలెందుకు.,ఆ పనిని చేయకుండా ఉండి ఇప్పుడు బాధపడటం చిక్కిన పాముకి కట్టలెందుకు అన్నట్టు.,"ఎంత చెప్పినా వినలేదు, ఇప్పుడు శోకిస్తే చిక్కిన పాముకి కట్టలెందుకు?"
తలకిందులైన గడ్డిపంప,రూపక వాక్యం (metaphorical clause),"పూర్వ పరిస్థితులకు భిన్నంగా జరగడం, అపరిపక్వ మార్పు",అసాధారణమైన మార్పు లేదా కలవరం,B2,"వాతావరణం, సమాజ మార్పులు, ఆర్థిక పరిస్థితులు","కావ్యాత్మక, అలంకారిక",తెలుగు గ్రామీణ జీవనంలో గడ్డిపంప ప్రస్తావనల నుంచి,ta.la.kin.du.la.i.na gaɖ.ɖi.pam.pa (తలకిందులైన గడ్డిపంప),ఈ రాజకీయ మార్పులు తలకిందులైన గడ్డిపంపలా ఉన్నాయ్.,పట్టణ జీవితం తలకిందులైన గడ్డిపంపగా మారిపోయింది.,కొత్త విధానం విన్న వెంటనే అందరికీ తలకిందులైన గడ్డిపంప అనిపించింది.
ముందు ముంగిట్లో ముత్యాలు వెనుక వెంటే బండలు,పరస్పర విరుద్ధ భావాలతో కూడిన వాక్యం (contrastive clause),"మొదట మంచి చూపించి, తరువాత హానికరంగా ప్రవర్తించటం",మొదట ఆకర్షణీయంగా ఉండి తరువాత దుష్ప్రభావాలు చూపడం,C1,"వాణిజ్యం, రాజకీయాలు, మోసాలు","విమర్శాత్మక, ప్రయోజనాత్మక",పురాతన తెలుగు సామెతల సంపదలోని వైశిష్ట్యం,mun.du muŋ.gi.ʈoː mu.tʲaː.lu ve.nu.ku ven.ʈe ban.da.lu (ముందు ముంగిట్లో ముత్యాలు వెనుక వెంటే బండలు),ఆ కంపెనీ ఆఫర్ ముందు ముత్యాలు వెనుక వెంటే బండలులా ఉంది.,తన మాటలు ముందు ముత్యాలు వెనుక బండలు అన్నట్టుండేవి.,వారి వాగ్దానం ముందు ముత్యాలు వెనుక వెంటే బండలు అన్నట్టుంది.
పూలతో వేసిన పందిరి,ఉపమా పదబంధం (simile phrase),"అత్యంత సున్నితమైన, త్వరగా కూలిపోయే పరిస్థితి",స్థిరత్వం లేకపోయే పరిస్థితి,B1,"వ్యవహారికం, ప్రేమ, ఉద్యోగ జీవితంలో తాత్కాలికత","కావ్యాత్మక, వినోదాత్మక",తెలుగు పల్లెటూర్ల పెళ్లిళ్లలో వాడే పందిరి ఉపమానం,puː.la.toː veː.si.na pan.di.ri (పూలతో వేసిన పందిరి),వారి బంధం పూలతో వేసిన పందిరిలా ఉంది.,ఈ ఒప్పందం పూలతో వేసిన పందిరిలా నిలవదు.,నీ ప్రతిష్ట ఇప్పుడు పూలతో వేసిన పందిరి లాంటిది.
కుండకోస్తి భూమికోస్తి,"నిర్వచన వాక్యము, భిన్న భావాలు కలిగిన పదజాలం",ఏది చేసుకున్నా నష్టం తప్పదు,ఎంచుకున్నది ఏదైనా ఇబ్బందికరమే,C2,"వివరణాత్మక వ్యాఖ్యానం, రాజకీయ వ్యాసాలు","ఘనమైన, విమర్శాత్మక",పాలకవర్గాల నమ్మకద్రోహాల తాత్కాలిక ప్రసంగాల నుండి జనగామ ప్రాంత సామెత,kun.ɖa.koː.sti bʰuː.mi.koː.sti (కుండకోస్తి భూమికోస్తి),ఈ రాజకీయాలలో కుండకోస్తి భూమికోస్తి పరిస్థితి.,నిర్వచనంలో కుండకోస్తి భూమికోస్తి అనిపించకమానదు.,ప్రతిపక్షాల పరిస్థితి కుండకోస్తి భూమికోస్తిలా ఉంది.
గాడిదకు గంధం పూసినట్టు,ఉపమా వాక్యం (simile clause),అవగాహన లేని వ్యక్తికి విలువైన వస్తువుల ప్రయోజనం ఉండదు,అర్హత లేని వ్యక్తికి మంచి వస్తువులు ఇవ్వడం అర్థరహితం,B2,"విద్య, గృహ సంభాషణలు, విమర్శ","వ్యంగ్యంగా, సామాన్య భాష",ప్రాచీన పాశ్చాత్య సామెతలకు సరిపోలే స్థానిక వ్యంగ్య ప్రయోగం,gaː.ɖi.da.ku ɡan.dʰam puː.si.na.ʈu (గాడిదకు గంధం పూసినట్టు),అతనికి ఆ విలువైన పుస్తకం ఇవ్వడమే గాడిదకు గంధం పూసినట్టు.,ఒక నిరుద్యోగికి ఖరీదైన గడియారం అంటే గాడిదకు గంధం పూసినట్టు.,అతడి వద్దకు ఆ కళా వస్తువు తీసుకెళ్లడమే గాడిదకు గంధం పూసినట్టు.
చీమ కోపం చెర్రని మీద,"నామవాచక వాక్యం, వ్యంగ్య ప్రయోగం",చిన్న శక్తి కలవాడు బలమైనవాడిపై కోపం చూపడం,బలహీనుడు శక్తివంతుడిపై అసంతృప్తి వ్యక్తీకరించడం,C1,"విమర్శ, రాజకీయ వ్యాఖ్యలు, హాస్యం","వంగి మాట్లాడే, వ్యంగ్యంగా",తెలుగు హాస్య పదబంధాలలో ప్రసిద్ధంగా మారిన ఉదాహరణ,ʧiː.ma koː.pam ʧer.ra.ni miː.da (చీమ కోపం చెర్రని మీద),చిన్న పార్టీ నాయకుడి వ్యాఖ్యలు చీమ కోపం చెర్రని మీద అన్నట్టు ఉన్నాయి.,ఆ యజమాని మీద ఉద్యోగి మాటలు చీమ కోపం చెర్రని మీద అనిపించాయి.,మీ ఉగ్రత అతనిపై చీమ కోపం చెర్రని మీద వలె ఉంది.
