Idiom (Limonese Creole),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Limonese Creole)",First Example Sentence,Second Example Sentence,Third Example Sentence
Monkey know which tree fi climb,Fixed clause with relative clause,People know who they can take advantage of or where they can act safely.,People act differently depending on who they deal with.,B2,"daily speech, humor, workplace, family","colloquial, humorous",Caribbean proverb linked to observation of monkey behavior—common in plantation folklore.,/ˈmʌŋki noʊ wɪtʃ tri fi klaɪm/,Yu si how him quiet roun di boss? Monkey know which tree fi climb.,She neva answer di teacher back—monkey know which tree fi climb.,"Mi tell yu, dem smart—monkey know which tree fi climb fi true."
One one coco full di basket,Fixed clause with iterative structure,Small efforts or contributions eventually add up to something big.,Every little bit counts.,B1,"daily speech, motivation, education","proverbial, moralistic",Rooted in rural Caribbean culture emphasizing patience and gradual progress.,/wan wan ˈkoko fʊl di ˈbaskit/,Keep saving likkle by likkle—one one coco full di basket.,"Mi nuh rich yet, but mi a try—one one coco full di basket.",Teacher always tell wi fi study steady—one one coco full di basket.
Empty barrel mek di most noise,"Fixed clause, subject-predicate structure",People with little knowledge or substance tend to talk the most.,Loud people often have little to say.,C1,"criticism, workplace, humor, debate","colloquial, sarcastic",Old Caribbean proverb reflecting social critique in plantation society.,/ˈɛmpti ˈbarɪl mɛk di moːs naɪz/,Mi tired a him talk so much—empty barrel mek di most noise.,Dem chat every minute but do nutten—empty barrel mek di most noise.,Yu know di type—empty barrel mek di most noise all di time.
Trouble nuh set like rain,Fixed clause with simile,Trouble comes unexpectedly.,Problems often appear suddenly.,B2,"daily speech, warning, reflection","proverbial, serious","Reflects agrarian Caribbean life where rain is unpredictable, symbolizing sudden hardship.",/ˈtrʌbl nʌ sɛt laɪk reɪn/,Yu haffi careful pon di road—trouble nuh set like rain.,Dem neva expect di fire—trouble nuh set like rain.,Mi granny always warn mi—trouble nuh set like rain.
"When crab walk, him tink di groun crooked",Complex clause with irony,People often blame others for their own faults.,People project their mistakes onto others.,C1,"daily speech, humor, moral lesson","ironic, humorous",Derived from coastal fishing communities observing crab movement; moral allegory.,"/wɛn krab wak, ɪm tɪŋk di grʌn krʊkɪd/","She blame mi fi late, but when crab walk, him tink di groun crooked.","Dem point finger quick—when crab walk, him tink di groun crooked.","Mi laugh cause it true—when crab walk, him tink di groun crooked."
Cow neva know di use a him tail till fly tek him,Conditional clause with temporal marker,People don’t value what they have until it’s gone or needed.,You don’t appreciate something until you lose it.,B2,"moral reflection, advice, family, storytelling","proverbial, reflective","Agricultural imagery common in Caribbean proverbs, especially among farmers.",/kaʊ ˈnevʌ noʊ di jus a ɪm teɪl tɪl flaɪ tɛk ɪm/,Mi miss mi old car now—cow neva know di use a him tail till fly tek him.,She cry when him lef—cow neva know di use a him tail till fly tek him.,Yu only see value when it gone—cow neva know di use a him tail till fly tek him.
"If yu want good, yu nose haffi run",Conditional clause with modal requirement,"To achieve success, you must make sacrifices or endure hardship.",No reward comes without effort.,B1,"motivation, parenting, advice, school","proverbial, didactic",Rooted in folk wisdom emphasizing perseverance through discomfort.,"/ɪf ju want ɡʊd, ju noʊz hafi rʌn/","Yu cyaan quit now—if yu want good, yu nose haffi run.","Dem haffi train hard—if yu want good, yu nose haffi run.","Teacher tell wi di same ting—if yu want good, yu nose haffi run."
"Play wid puppy, puppy lick yu mouth",Causal clause with warning structure,"If you act too friendly, people may disrespect you.",Too much familiarity breeds disrespect.,C1,"warning, advice, workplace, social commentary","proverbial, admonitory",Derived from rural wisdom about discipline and respect.,"/pleɪ wɪd ˈpʌpi, ˈpʌpi lɪk ju moʊt/","Yu haffi draw di line—play wid puppy, puppy lick yu mouth.","Dem tek liberty cause yu soft—play wid puppy, puppy lick yu mouth.","Boss warn him already—play wid puppy, puppy lick yu mouth."
Every mickle mek a muckle,Fixed clause with alliteration,Every small contribution adds up to something significant.,Small things combine to make something bigger.,A2,"motivation, savings, education","proverbial, uplifting",Caribbean proverb of British origin adapted in Creole speech.,/ˈevri ˈmɪkl mɛk ə ˈmʊkl/,Mi save likkle change every day—every mickle mek a muckle.,Yu effort matter—every mickle mek a muckle.,Mama always say dat—every mickle mek a muckle.
"When di drum beat, fowl mus dance",Conditional clause with modal necessity,"When circumstances demand, one must act or respond accordingly.",You must act when it's your turn or obligation.,C2,"leadership, politics, reflection","poetic, moralistic",African diasporic origin tied to drum-based communal rituals.,"/wɛn di drʌm bit, faʊl mʌs dans/","When di drum beat, fowl mus dance—time fi act now.","Him cyaan hide forever—when di drum beat, fowl mus dance.","Life call yu sometimes—when di drum beat, fowl mus dance."
