Idiom (Old Norse),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Old Norse)",First Example Sentence,Second Example Sentence,Third Example Sentence
bíta í skjǫldinn,Verb phrase; infinitive form with object in accusative,To face adversity or defeat with courage and determination,To endure hardship bravely,C1,"War, honor, leadership, perseverance","Heroic, formal, literary","Derived from warrior culture, referencing biting one’s shield before battle to invoke strength",[ˈbiːta i ˈskjɔldin],Þeir bitu í skjǫldinn þegar dauðinn nálgaðist.,Hann beit í skjǫldinn ok gafst aldri upp.,"Þótt þeir vissu at von var engi, bitu þeir í skjǫldinn sem sannir menn."
hafa sól í sinni sál,Verb phrase with possessive and prepositional phrase,To be joyful or optimistic,To have a cheerful spirit,B2,"Daily speech, emotional expression","Warm, poetic","Refers to sunlight as a metaphor for internal happiness, common in saga poetry",[ˈhɑvɑ ˈsoːl i ˈsinːi ˈsɑːl],Hún hefir sól í sinni sál þótt vetrr sé harðr.,"Þeir sögðu, at hann hefði sól í sinni sál, þó margt hafi tapazt.","Ek vil hafa sól í minni sál, þó stormr blási."
bera í bakkafullan læk,Verb phrase with prepositional object; idiomatic hyperbole,To do something unnecessary or redundant,To waste effort doing what is already done,C1,"Humor, irony, workplace","Colloquial, ironic",Similar to 'carrying coals to Newcastle'; stems from Nordic rural imagery,[ˈbɛrɑ i ˈbɑkːɑˌfulːɑn ˈlæk],Þú berr í bakkafullan læk með þessum orðum.,At segja honum þat er sem at bera í bakkafullan læk.,"Hann gerir sem hann beri í bakkafullan læk, allt er þegar gert."
falla með sverði í hendi,Verb phrase with prepositional complement,To die honorably or in battle,To die bravely,C2,"Heroic speech, war, literature","Formal, tragic, noble",Warrior ethos emphasizing valor and dignity in death,[ˈfɑlːɑ mɛð ˈswerði i ˈhɛnːdi],Hann féll með sverði í hendi fyrir landi sínu.,Þeir vildu fremr falla með sverði í hendi en flýja.,Engi maðr skammast sín at falla með sverði í hendi.
ekki má éta allan fiskinn,Negative declarative with modal verb and infinitive,One cannot have everything; moderation is needed,You can’t get everything you want,B2,"Wisdom, family, humor","Proverbial, humorous",Refers to overindulgence and wisdom in Norse proverbs about balance,[ˈɛkːi mɔː ˈeːtɑ ˈɑlːɑn ˈfiskin],"Ekki má éta allan fiskinn, þó hungrað sé.","Hún sagði, at engi má éta allan fiskinn í sjónum.","Þeir hlógu, því at hann vildi éta allan fiskinn einn."
sjá um öxl sér,Reflexive verb phrase with prepositional complement,To look back regretfully or fearfully,To regret or fear the past,C1,"Psychological, narrative, introspection","Poetic, somber",Linked to the myth of Lot’s wife and Scandinavian belief in fate,[ˈsjaː um ˈøksl sjer],Hann sá um öxl sér ok harmaði gjörðir sínar.,"Ek vil eigi sjá um öxl mér, því at leið mín liggr fram.","Þeir sem sjá um öxl sér, týna oft framtíðinni."
leggja hǫnd á plóginn,Verb phrase with direct object and prepositional complement,To begin a serious task or commitment,To start working diligently,B1,"Work, duty, responsibility","Neutral, formal",Refers to agricultural metaphors of diligence in early Norse life,[ˈlɛɡːjɑ hɔnːd ɑː ˈplouɡin],Nú legg ek hǫnd á plóginn ok sný eigi við.,Þeir lögðu hǫnd á plóginn ok unnu af einlægni.,Hann sagðist vilja leggja hǫnd á plóginn í dag.
vera með hǫndum bundinn,Passive construction with participial complement,To be unable to act; to be powerless,To be constrained or powerless,C1,"Politics, society, literature","Formal, expressive",Reflects Norse emphasis on action and agency; being bound was symbolic of helplessness,[ˈvɛrɑ mɛð ˈhɔnːdum ˈbundin],Þeir voru með hǫndum bundnir af lögum konungs.,"Ek em með hǫndum bundinn, því ek má eigi breyta því.","Hún var með hǫndum bundin, þó hugr hennar væri sterkr."
taka í taumar lífsins,Verb phrase with prepositional complement,To take control of one’s life,To take responsibility and act decisively,B2,"Self-improvement, philosophy, motivation","Inspirational, formal","Originates in horse-riding culture, metaphor for self-discipline",[ˈtɑkɑ i ˈtøymɑr ˈliːfsins],Ek tók í taumar lífsins ok lét eigi aðra ráða.,Þeir hvöttu hann at taka í taumar lífsins.,Hún tók í taumar lífsins ok fann nýja leið fram.
vera á milli steins og sleggju,Prepositional phrase with copula; fixed idiomatic structure,To be trapped between two difficult choices,To be in a difficult position,C1,"Conflict, decision-making, politics","Neutral, idiomatic",Nordic smithing imagery; similar to ‘between a rock and a hard place’,[ˈvɛrɑ ɑː ˈmɛlːi ˈstɛins ɔɡ ˈslɛɡːju],Hann var á milli steins og sleggju í málum sínum.,"Þeir sátu á milli steins og sleggju, hvárir skyldu þeir styðja.","Ek fann mik á milli steins og sleggju, hvárt sem ek segða."
