Idiom (Najdi Arabic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Najdi Arabic)",First Example Sentence,Second Example Sentence,Third Example Sentence
اللي ما يعرف الصقر يشويه,Fixed clause; conditional idiom,Used to describe someone who misjudges value due to ignorance.,He doesn’t recognize worth because he doesn’t know any better.,C1,"Wisdom, judgment, social criticism","Colloquial, proverbial",Refers to Bedouin hunting culture where the falcon (ṣaqr) symbolizes nobility and skill.,/ɪlli maː jaʕrif ɪsˤːaqr jɪʃwih/,قاله لا تتسرع بالحكم، اللي ما يعرف الصقر يشويه.,بعض الناس يستهينون بالأشياء الغالية، اللي ما يعرف الصقر يشويه.,هو ما يدري عن قيمتها، مثل اللي ما يعرف الصقر يشويه.
حطها في راسك ونام,Imperative clause; idiomatic directive,Used to affirm certainty or inevitability of something.,Be sure of it; it’s guaranteed.,B2,"Assurance, advice, daily speech","Colloquial, confident",Common expression in Najdi everyday speech; relates to trust and confidence in statements.,/ħɑtˤːaha fiː raːsɪk wɪ naːm/,ما في أحد بيساعدك مثل نفسك، حطها في راسك ونام.,الموضوع منتهي، حطها في راسك ونام.,أنا متأكد مية بالمية، حطها في راسك ونام.
راحت السكرة وجت الفكرة,Coordinated clause; figurative temporal sequence,Used after realization following excitement or emotion.,He realized the truth after the excitement faded.,B2,"Reflection, regret, humor","Colloquial, ironic",Refers to the state after intoxication or emotional high when one starts to think rationally.,/raːħɪt ɪsˤːɪkra wʊ dʒɪt ɪlfɪkra/,بعد ما خسر فلوسه، راحت السكرة وجت الفكرة.,يوم تورط، راحت السكرة وجت الفكرة.,ضحك أول، لكن بعدين راحت السكرة وجت الفكرة.
ما وراي إلا العافية,Nominal clause; reassurance idiom,Used to reassure someone that everything is fine.,I’m fine; there’s nothing wrong.,A2,"Health, family, reassurance","Colloquial, polite",Rooted in Najdi politeness norms and social modesty.,/maː waraːj ʔɪlla ʕaːfja/,سألني عن حالي، قلت له ما وراي إلا العافية.,ما تشيل هم، ما وراي إلا العافية.,أمي دايم تقول ما وراي إلا العافية.
اللي ما يطول العنب يقول حامض,Conditional clause; comparative irony,Used to mock someone who criticizes what they can’t have.,He belittles what he can’t reach or achieve.,C1,"Irony, humor, criticism","Colloquial, sarcastic",Derived from an ancient Arabic fable akin to ‘sour grapes’.,/ɪlli maː jɪtˤuːl ɪlʕɪnɪb jɪguːl ħaːmɪð/,يوم ما قدر ياخذ الوظيفة، قال ما تستاهل، اللي ما يطول العنب يقول حامض.,هي نفس القصة دايم، اللي ما يطول العنب يقول حامض.,قال ما عجبته، بس الحقيقة ما قدر يوصل، اللي ما يطول العنب يقول حامض.
كبرها تكبر,Imperative clause; reflexive exaggeration,Encourages confidence or boldness when facing a challenge.,Be brave and act big; don’t fear it.,B1,"Motivation, courage, youth talk","Colloquial, encouraging",Reflects Bedouin valor and pride in courage.,/kɪbbɪrha tɪkbar/,لا تخاف من التجربة، كبرها تكبر.,قال له خذها بقلب قوي، كبرها تكبر.,من أول ما بدأ، قالوا له كبرها تكبر.
من طق باب الناس طقوا بابه,Relative clause; moral reciprocity idiom,What goes around comes around.,Treat others how you want to be treated.,B2,"Morality, advice, religion","Colloquial, proverbial",Moral wisdom reflecting Islamic and tribal values of reciprocity.,/mɪn tˤɪg baːb ɪnnaːs tˤɪgːuː baːbah/,لا تسيء لأحد، من طق باب الناس طقوا بابه.,الدنيا دوارة، من طق باب الناس طقوا بابه.,تعلمت الدرس، من طق باب الناس طقوا بابه.
كلن يغني على ليلاه,Nominal clause; poetic allusion,Everyone talks about or focuses on their own interests.,Everyone has their own concerns or motives.,C1,"Philosophy, humor, debate","Poetic, ironic",From Najdi poetry traditions emphasizing individuality in perspective.,/kɪllɪn jɪɣannɪ ʕalaː leːlaːh/,يوم اجتمعوا يتكلمون، كلن يغني على ليلاه.,السياسيين كلن يغني على ليلاه.,حتى بالعائلة، كلن يغني على ليلاه.
الجار قبل الدار,Nominal clause; moral emphasis,Consider your neighbors before choosing where to live.,Good neighbors matter more than a good house.,A2,"Advice, morality, family life","Proverbial, moral",Stems from Islamic teachings and Bedouin hospitality values.,/ɪlʒaːr gabɪl ɪddaːr/,قال له خلك حذر، الجار قبل الدار.,ما اختاروا البيت عبث، الجار قبل الدار.,تعلمنا من أهلنا، الجار قبل الدار.
ما كل من لبس العمامة صار شيخ,Conditional clause; contrastive irony,Not everyone who looks the part truly is.,Appearances don’t guarantee authenticity or wisdom.,C1,"Criticism, irony, wisdom","Colloquial, ironic","Draws from Najdi tribal leadership imagery, where the ‘amāmah’ symbolizes authority.",/maː kull mɪn lɪbɪs ɪlʕamaːma sˤaːr ʃeːx/,هو يتفاخر، بس ما كل من لبس العمامة صار شيخ.,الناس تحكم بالشكل، وما كل من لبس العمامة صار شيخ.,المظاهر خداعة، ما كل من لبس العمامة صار شيخ.
