Idiom (Yiddish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Yiddish)",First Example Sentence,Second Example Sentence,Third Example Sentence
שפּרינגען איבערן אייגענעם שאָטן,פערבונדענע ווערטערגרופּע מיט אינפֿיניטיוו,צו איבערווינדן אַ פּערזענלעכע שוועכקייט אָדער שלעכטע געוווינהייט,צו טון עפּעס וואָס איז שווער פֿאַר דיר,B2,"אייגענע אַנטוויקלונג, טעראַפּיע, פּראָפעסיאָנעלער רעפֿלעקסיע","ליטעראַריש, פסיכאָלאָגיש",גענומען פֿון אַלגעמיינער דײַטשישער אויסדרוק מיט פּאָעטישן טעם,[ʃpʁɪŋɡən ˈɪbəʁən ˈaɪ̯ɡənəm ˈʃaːtən],איך דאַרף שפּרינגען איבערן אייגענעם שאָטן און אָנהייבן רעדן אַליין אין ייִדיש.,מיר האָט עס געהאָלפֿן ווען איך האָב געלערנט ווי שפּרינגען איבערן אייגענעם שאָטן.,"צו געפֿינען אַ נײַע אַרבעט, דאַרף ער שפּרינגען איבערן אייגענעם שאָטן."
שוואַרץ ווי אַ שול־מויז,קלאָסישער סימיליע־אויסדרוק (ווי + נאָמען),צו זײַן זייער אָרעם אָדער אָן שום באַזיץ,זייער אָרעם,A2,"פאָלקסשפּראַך, הומאָר","קאָלאָקוויאַל, איראָניש",פֿאָלקס־אויסדרוק באַקאַנט אין מיזרח־אייראָפּע,[ʃvaʁts vi a ʃul-mɔɪ̯s],אין די יאָרן נאָך דער מלחמה איז ער געווען שוואַרץ ווי אַ שול־מויז.,זי האָט חתונה געהאַט מיט אים כאָטש ער איז געווען שוואַרץ ווי אַ שול־מויז.,"ווען איך בין געקומען קיין ניו־יאָרק, בין איך געווען שוואַרץ ווי אַ שול־מויז."
האַלטן דער נאָז אין יעדן טאָפּ,פֿעסטע קלויזע מיט פיגוראַטיווע סטרוקטור,איבערמאַעס זיך אַרײַנמישן אין ענינים וואָס טויגן נישט פֿאַר אים/איר,אַרײַנמישן זיך איבעראל,B1,"משפּחה, אַרבעט, געזעלשאַפֿט","קאָלאָקוויאַל, קריטיש",באַזירט אויף קיכן־אימאַזשן אין ייִדיש־שפּראַכיקן געביטן,[haltən dɛʁ noz ɪn ˈjedn tɔp],"מיין שוויגער האַלט דער נאָז אין יעדן טאָפּ, אפילו ווען קיינער רופט זי נישט.","ער מיינט ער איז אַ מומחה, אָבער ער האַלט נאָר דער נאָז אין יעדן טאָפּ.",מיין ברודער קען נישט אויפהערן האַלטן דער נאָז אין יעדן טאָפּ.
"ווען עס רעגנט, פּושט מען דעם רעגן-מאַנטל",פולע קלאָזע מיט פאסיוו אַקטיוו סטרוקטור,צו פאַרצייכענען אַז אַ מענטש גרייט זיך פֿאַר עפּעס וואס איז שוין דאָ,צוגרייטן זיך פֿאַר עפּעס וואָס קומט שוין,C1,"געזעלשאַפֿט, פּאָליטיק, עקאָנאָמיע","איראָניש, סאַטיריש",פֿרײַנדלעכע שפּראַך פֿון דער מזרח־אייראָפּע,"[vɛn ɛs ʁɛɡnt, puʃt mɛn dɛm ˈʁɛɡnˌmantl]","ווען עס רעגנט, פּושט מען דעם רעגן-מאַנטל — אָבער ער איז שוין פֿיל נאַס.","מיר דאַרפֿן נישט וואַרטן ביז שפּעט — ווען עס רעגנט, פּושט מען דעם רעגן-מאַנטל.","האָט ער זיך דערמאנט צו נעמען דעם שירעם, ווען עס רעגנט, פּושט מען דעם רעגן-מאַנטל."
קענען עס טרינקען מיט אַ טעפּל,אינפֿיניטיוו־קאָנסטרוקציע מיט אַבסטעראַקט נומעראַטיוו,צו נוצן אָדער אָננעמען עפּעס אָן קיין פּראָבלעם,עס איז גאַנץ גוט אָדער גוט אָנגענומען,B1,"קוויזינע, משפּחה־שמועס, באַמערקונגען","קאָלאָקוויאַל, הומאָריסטיש","פאָלקס־יידיש, באַזונדער אין גאַליציע",[ˈkɛnən ɛs ˈtʁɪŋkən mɪt a ˈtɛpl],די זופּ איז אַזוי געשמאַק — מען קען עס טרינקען מיט אַ טעפּל.,דיין דערקלערונג איז אַזוי קלאָר — איך קען עס טרינקען מיט אַ טעפּל.,"יענער נאָוול איז אַזוי פּאָעטיש, איך קען עס טרינקען מיט אַ טעפּל."
געבן אַ פּאַטש אין לופֿט,ווערבאַלער אויסדרוק מיט דירעקטן אַבדזשעקט און לאָקאַטיוו,צו טאָן עפּעס אָן קיין באמתדיקער השפּעה,צו טאָן עפּעס אומניץ,B2,"פּאָליטיק, קאָמענטאַרן, דיבאַטן","קריטיש, ציניש",אוניווערסעלער אויסדרוק פֿון פוליטישער קולטור,[ˈɡeɪbən a patʃ ɪn lʊft],די רייד האָבן זיך געפֿילט ווי אַ פּאַטש אין לופֿט.,זיין גערעדע האָט נישט געטאָן קיין רושם — נאָר אַ פּאַטש אין לופֿט.,"זיי האָבן געהאַלטן אַ טאַליע, אָבער געגעבן אַ פּאַטש אין לופֿט."
הענגען דעם הונט אויף מיר,פיגוראַטיווע פעסטע קלאָזע מיט דערשטעלונג,צו באַשולדיקן מיך אָן ריכטיקער סיבה,צו שולדיגן מיך אומגערעכט,C1,"אַרבעט, משפּחה־פֿאַרהעלטנס","דראַמאַטיש, עמאָציאָנעל",הונט סימבאָליזירט שלעכטס און אשמה אין מיזרח־אייראָפּע,[ˈhɛŋən dɛm hʊnt ɔyf miʁ],"איך האָב גאָרניט געטאָן, וואָס הענגסטו דעם הונט אויף מיר?",זיי האָבן געטאָן אַ פֿעלד און געהאַנגען דעם הונט אויף מיר.,איך בין מיאַדער פון מענטשן וואָס הענגען דעם הונט אויף מיר.
טאָן זיך אַ גולם,פּראָנאָמינאַלער רפלקסיווער ווערב,שפּילן זיך נאָטיש נישט־קלוג אָדער ניט־וויסנדיק,פּרעטענדירן נישט וויסן אָדער פֿאַרשטיין,B2,"הומאָר, משפּחה, געזעלשאַפֿט","הומאָריסטיש, שפּאָטלעך",דער גולם איז אַ קונסטלעכע פיגור וואָס טוט אָן אומוויסנישקייט,[ton zɪχ a ˈɡɔləm],"דו טוסט זיך אַ גולם, אָבער דו ווייסט גענוי וואָס גייט פאָר.",כ'האָב געזען ווי ער טוט זיך אַ גולם פֿאַר די קינדער.,"טו dich נישט אַ גולם, מיר ווייסן ביידע וואָס עס פּאַסט נישט."
האַקן אַ טשײַניק,"פֿעסטע ווערבאַלער אויסדרוק, אַקטיוו פאָרעם",צו רעדן צו פֿיל אָדער אָן קיין עיקר,רעדן אומניץ אָדער צו פֿיל,A2,"דיילי שמועסן, קינדערשפּיל, נאַרישקייט","קאָלאָקוויאַל, הומאָריסטיש",אַרויסגעוואָקסן פֿון מזרח־אייראָפּע ייִדיש־טײַטש מיט גאַס־הומאָר,[ˈhakən a ˈtʃajnik],"גיי שוין, האַק נישט אַ טשײַניק!",כ'האָב אים געזאָגט צו שטיל זײַן — ער האָט געהאַקט אַ טשײַניק שטונדען לאַנג.,"ווען איך וויל קאָנצענטrieren, זאָל קיינער נישט האַקן אַ טשײַניק."
פֿאַרשמעלצן ווי אַ שנײ אין זון,פּאָעטישע סימיליע מיט פּאַסיוו פֿאַרבינדונג,צו פאַרשוואַנדן אָדער אַראָפּגיין שנעל,צו ווערן ווייניקער אָדער פאַרלוירן זיך גיך,B1,"געפֿילן, פינאַנצן, אומשטאַנד","פּאָעטיש, עמאָציאָנעל",באַזירט אויף נאַטור־בילדער פֿון מזרח־אייראָפּע,[faʁʃmɛltsn vi a ʃnej ɪn zun],זייַן בטחון איז פֿאַרשמעלצן ווי אַ שנײ אין זון.,"איך האָב געהאַט אַ שיין קאַפּיטאַל, אָבער עס האָט זיך פֿאַרשמאָלצן ווי אַ שנײ אין זון.",זייער לייַדנשאַפֿט פֿאַר ייִדיש האָט זיך פֿאַרשמעלצן ווי אַ שנײ אין זון.
