Idiom (Boro),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Boro)",First Example Sentence,Second Example Sentence,Third Example Sentence
Gwjwnai gwdan,Fixed verbal clause (adverbial + progressive verb form),To act foolishly or behave without reasoning in a situation requiring judgment.,Jwngni buddhi nai jwngnai.,B2,"Daily speech, humor, mild sarcasm","Colloquial, ironic",Rooted in agrarian metaphors of wandering livestock in Kokrajhar villages.,/ɡʷdʒʷnai ɡʷdan/,"Nwng gwjwnai gwdan, sikhlao mwnnai nai.",Bi meetingni majang gwjwnai gwdanbai.,Angni fisa gwjwnai gwdan jwngnai mwjang nai.
Dwisa mwjang jwngni jwla mwjang,Parallel compound clause with adjectival predicates,Good days reflect a good future; prosperity follows preparation.,Rwjabnai swrwngthai jwngnai mwjang phwrwi.,C1,"Literature, speeches, motivational discourse","Poetic, formal",Associated with Bwisagu agricultural optimism and renewal symbolism.,/dʷisa mʷdʒaŋ dʒʷŋni dʒʷla mʷdʒaŋ/,Gaonni dwisa mwjang jwngni jwla mwjang jwngnai sikhlao phwrwi.,"Bwisaguni majang, dwisa mwjang jwngni jwla mwjang jwngnai mwnnai.",Angni swrwngthai phwrwi dwisa mwjang jwngni jwla mwjang.
Khonthai nai mwnnai khou,Negative existential + infinitive verb construction,To ignore someone deliberately despite knowing the truth.,Sothai mwnnai thangnai jwngnai.,B2,"Family disputes, politics, social criticism","Ironic, mildly accusatory",Common in Kokrajhar village council discourse.,/kʰɔn.tʰai nai mʷnnai kʰou/,Bi khonthai nai mwnnai khou jwngnai mwjang nai.,Nwngha angni khobor khonthai nai mwnnai khou.,Jwngha rajnitini khonthai nai mwnnai khou jwngnai.
Jwhwla jwngnai khamthi sikhlao,Metaphorical clause using body-part noun + abstract noun,Hardship teaches deeper wisdom than comfort.,Dukhuni majang sikhlao mwnnai.,C1,"Literary writing, moral teaching","Reflective, serious",Historically used in oral storytelling among Boro elders.,/dʒʷhʷla dʒʷŋnai kʰam.tʰi sikʰ.lao/,Anga jwla jwngnai khamthi sikhlao mwnnai.,Bi dukhuni majang jwla jwngnai khamthi sikhlao jwngnai.,Jwngni fisa jwla jwngnai khamthi sikhlao phwrwi.
Rwjabnai swrwngthai jwngnai mwjang,Gerundive construction with evaluative predicate,Continuous learning leads to excellence.,Nwngha swrwngthai jwngnai phwrwi.,B1,"Education, workplace","Encouraging, neutral",Modern educational motto used in Bodoland schools.,/rʷdʒabnai sʷrʷŋ.tʰai dʒʷŋnai mʷdʒaŋ/,Skulni rwjabnai swrwngthai jwngnai mwjang phwrwi.,Angni rwjabnai swrwngthai jwngnai mwjang mwnnai.,Bi rwjabnai swrwngthai jwngnai mwjang jwngnai.
Gwjabnai hathai sikhlao,Compound verbal idiom (effort + learning verb),Practical effort builds real knowledge.,Hathai phwrwi jwngnai sikhlao mwnnai.,B2,"Training, agriculture, craftwork","Colloquial, motivational",Derived from traditional farming and weaving practices.,/ɡʷdʒabnai hɑ.tʰai sikʰ.lao/,Angni gwjabnai hathai sikhlao jwngnai mwjang.,Bi khamthi majang gwjabnai hathai sikhlao phwrwi.,Nwng gwjabnai hathai sikhlao jwngnai.
Dwimwnai gwdan jwngnai mwjang nai,Negative evaluative clause,Acting blindly without understanding leads to failure.,Budhi nai jwngnai asafal phwrwi.,C2,"Political critique, advanced discourse","Critical, formal",Used in political commentary within BTC governance contexts.,/dʷi.mʷnnai ɡʷdan dʒʷŋnai mʷdʒaŋ nai/,Rajnitini majang dwimwnai gwdan jwngnai mwjang nai.,Bi dwimwnai gwdan jwngnai mwjang nai phwrwi.,Anga dwimwnai gwdan jwngnai mwjang nai mwnnai.
Bima rwngjao jwngnai nai,Declarative negation with kinship noun,Favoritism does not create fairness.,Paksha-pat jwngnai nyay nai.,B2,"Family, governance, social ethics","Neutral, advisory",Common in discussions about village leadership fairness.,/bima rʷŋ.dʒao dʒʷŋnai nai/,Bima rwngjao jwngnai nai jwngnai mwnnai.,Gaonni majang bima rwngjao jwngnai nai.,Jwngha bima rwngjao jwngnai nai phwrwi.
Hathai sikhlao jwngnai mwjang phwrwi,Resultative clause (action + outcome verb),Skillful work earns respect.,Hathai mwjang jwngnai gorai mwnnai.,B1,"Workplace, craftsmanship","Positive, respectful",Associated with traditional Boro weaving communities.,/hɑ.tʰai sikʰ.lao dʒʷŋnai mʷdʒaŋ pʰʷrwi/,Bi hathai sikhlao jwngnai mwjang phwrwi.,Angni dada hathai sikhlao jwngnai mwjang phwrwi.,Gaonni majang hathai sikhlao jwngnai mwjang phwrwi.
Gwjwnai khamthi jwngnai phwrwi,Metaphorical clause (folly + consequence verb),Foolish actions bring consequences.,Gwjwnai jwngnai asubidha mwnnai.,B2,"Daily life, warning contexts","Colloquial, cautionary",Used widely in Kokrajhar informal speech.,/ɡʷdʒʷnai kʰam.tʰi dʒʷŋnai pʰʷrwi/,Nwng gwjwnai khamthi jwngnai phwrwi mwnnai.,Bi gwjwnai khamthi jwngnai phwrwi phwrwi.,Anga gwjwnai khamthi jwngnai phwrwi jwngnai.
